Date,AUD,CAD,CHF,EUR,GBP,JPY,NZD
1999-01-04,,,,,,,
1999-01-05,,,,,,,
1999-01-06,,,,,,,
1999-01-07,,,,,,,
1999-01-08,,,,,,,
1999-01-11,,,,,,,
1999-01-12,,,,,,,
1999-01-13,,,,,,,
1999-01-14,,,,,,,
1999-01-15,,,,,,,
1999-01-19,,,,,,,
1999-01-20,,,,,,,
1999-01-21,,,,,,,
1999-01-22,,,,,,,
1999-01-25,,,,,,,
1999-01-26,,,,,,,
1999-01-27,,,,,,,
1999-01-28,,,,,,,
1999-01-29,,,,,,,
1999-02-01,,,,,,,
1999-02-02,,,,,,,
1999-02-03,,,,,,,
1999-02-04,,,,,,,
1999-02-05,,,,,,,
1999-02-08,,,,,,,
1999-02-09,0.05539029600817797,0.04279647790005133,-0.40181349804532485,-0.26799502488881577,-0.36811658428155253,-0.20111596552918476,-0.0898145806569085
1999-02-10,0.05539029600817797,0.04279647790005133,-0.40181349804532485,-0.26799502488881577,-0.36811658428155253,-0.20111596552918476,-0.0898145806569085
1999-02-11,0.05539029600817797,0.04279647790005133,-0.40181349804532485,-0.26799502488881577,-0.36811658428155253,-0.20111596552918476,-0.0898145806569085
1999-02-12,0.05539029600817797,0.04279647790005133,-0.40181349804532485,-0.26799502488881577,-0.36811658428155253,-0.20111596552918476,-0.0898145806569085
1999-02-16,0.05539029600817797,0.04279647790005133,-0.40181349804532485,-0.26799502488881577,-0.36811658428155253,-0.20111596552918476,-0.0898145806569085
1999-02-17,0.22436288479428207,0.047724914227102316,-0.289169435676528,-0.4864795955890384,0.030659157359686773,-0.12934002957026192,-0.712959322147475
1999-02-18,0.22436288479428207,0.047724914227102316,-0.289169435676528,-0.4864795955890384,0.030659157359686773,-0.12934002957026192,-0.712959322147475
1999-02-19,0.22436288479428207,0.047724914227102316,-0.289169435676528,-0.4864795955890384,0.030659157359686773,-0.12934002957026192,-0.712959322147475
1999-02-22,0.22436288479428207,0.047724914227102316,-0.289169435676528,-0.4864795955890384,0.030659157359686773,-0.12934002957026192,-0.712959322147475
1999-02-23,0.20125153073695515,0.14800044691458758,-0.4318916576767266,-0.6565444491371224,-0.11377853714408531,-0.217349216157871,-0.5197625094759611
1999-02-24,0.20125153073695515,0.14800044691458758,-0.4318916576767266,-0.6565444491371224,-0.11377853714408531,-0.217349216157871,-0.5197625094759611
1999-02-25,0.20125153073695515,0.14800044691458758,-0.4318916576767266,-0.6565444491371224,-0.11377853714408531,-0.217349216157871,-0.5197625094759611
1999-02-26,0.20125153073695515,0.14800044691458758,-0.4318916576767266,-0.6565444491371224,-0.11377853714408531,-0.217349216157871,-0.5197625094759611
1999-03-01,0.20125153073695515,0.14800044691458758,-0.4318916576767266,-0.6565444491371224,-0.11377853714408531,-0.217349216157871,-0.5197625094759611
1999-03-02,0.15393336214968958,0.1345939110456908,-0.4533261383677141,-0.6053620649722847,-0.2076507661178306,-0.49467078861964686,-0.1775465855594589
1999-03-03,0.15393336214968958,0.1345939110456908,-0.4533261383677141,-0.6053620649722847,-0.2076507661178306,-0.49467078861964686,-0.1775465855594589
1999-03-04,0.15393336214968958,0.1345939110456908,-0.4533261383677141,-0.6053620649722847,-0.2076507661178306,-0.49467078861964686,-0.1775465855594589
1999-03-05,0.15393336214968958,0.1345939110456908,-0.4533261383677141,-0.6053620649722847,-0.2076507661178306,-0.49467078861964686,-0.1775465855594589
1999-03-08,0.15393336214968958,0.1345939110456908,-0.4533261383677141,-0.6053620649722847,-0.2076507661178306,-0.49467078861964686,-0.1775465855594589
1999-03-09,-0.025164232871854472,0.08771277983235162,-0.15448034174792796,0.005601841063676838,-0.12249427179896666,-0.44901483176103973,-0.1775465855594589
1999-03-10,-0.025164232871854472,0.08771277983235162,-0.15448034174792796,0.005601841063676838,-0.12249427179896666,-0.44901483176103973,-0.1775465855594589
