Date,EURGBP,EURAUD,EURNZD,EURUSD,EURCAD,EURCHF,EURJPY,GBPAUD,GBPNZD,GBPUSD,GBPCAD,GBPCHF,GBPJPY,AUDNZD,AUDUSD,AUDCAD,AUDCHF,AUDJPY,NZDUSD,NZDCAD,NZDCHF,NZDJPY,USDCAD,USDCHF,USDJPY,CADCHF,CADJPY,CHFJPY
1999-01-04,0.7123789274746042,1.91070163004961,2.21202456886369,1.1811953697141506,1.8034490904795653,1.6142215922513583,132.471060713442,2.682142264964351,3.1051235284364123,1.6580998176090203,2.531586801525452,2.2659592107444873,185.95589454485162,1.1577027695351136,0.6181998021760633,0.9438674579624134,0.8448318496538082,69.3311078140455,0.5339883590537726,0.8152934266033001,0.7297484914828857,59.8867944678806,1.5268,1.3666,112.14999999999999,0.8950746659680378,73.4542834686927,82.06497877945264
1999-01-05,0.7098671057273904,1.8916852875455725,2.1900505703869224,1.1760555098200636,1.789133247089263,1.6104904151475952,130.71856991650006,2.6648442677269717,3.0851557322730283,1.6567263088137838,2.5203777335984094,2.2687210072895954,184.14512922465207,1.1577245881255829,0.6216972334473111,0.9457880012433945,0.8513521914827479,69.10164749766862,0.5369992482010525,0.8169369562882612,0.7353667704865213,59.68746643754699,1.5213,1.3694,111.15,0.9001511864852428,73.0625123249852,81.16693442383526
1999-01-06,0.7031649988363974,1.8514079590411912,2.160809867349313,1.1636025133814287,1.7582033977193388,1.6118222015359551,131.23109145915754,2.6329637597219926,3.072976998179712,1.6548072149594573,2.50041370180374,2.2922389541618404,186.62915770312762,1.167117088806486,0.6284960090503425,0.9496574696750675,0.8705926717365345,70.88177990069764,0.5385029617662898,0.8136779752288638,0.7459343026386646,60.732364028002166,1.511,1.3852,112.78000000000002,0.9167438782263403,74.63931171409664,81.41784579844067
1999-01-07,0.707516339869281,1.8409197012138188,2.1593137254901964,1.1671335200746966,1.764355742296919,1.617997198879552,130.35714285714286,2.6019465522929726,3.0519630484988456,1.6496205872649292,2.493731441768394,2.286869020125372,184.24612339161993,1.1729537817789895,0.6339948012426299,0.9584099410384836,0.8789069929626578,70.81087935078932,0.5405113237122318,0.8170909680557809,0.749310848062267,60.369709745419165,1.5117,1.3863,111.69,0.9170470331414964,73.88370708473903,80.56697684483876
1999-01-08,0.7043327556325824,1.8264586943963026,2.139688041594454,1.1554015020219526,1.749855574812247,1.6140958983246678,128.85037550548816,2.5931758530183724,3.037893700787402,1.6404199475065615,2.484416010498687,2.2916666666666665,182.93963254593174,1.1714954453441297,0.6325910931174089,0.9580592105263157,0.8837297570850202,70.54655870445345,0.5399859603650304,0.8178087369728385,0.7543603866299475,60.219234299908194,1.5145,1.397,111.52000000000001,0.9224166391548366,73.63486299108618,79.82820329277023
1999-01-11,0.7043829296424453,1.8035755478662054,2.109342560553633,1.1534025374855825,1.73840830449827,1.610495963091119,125.52479815455595,2.56050433928279,2.994596364827247,1.6374652038644177,2.4679875552644504,2.286392664155887,178.2053381365646,1.1695337980431029,0.6395088571976721,0.9638677495683315,0.8929462173051097,69.59774892882267,0.5468066491688539,0.8241469816272966,0.7635061242344708,59.508967629046374,1.5072,1.3963,108.83000000000001,0.9264198513800425,72.20674097664543,77.94170307240564
1999-01-12,0.708083140877598,1.8040415704387989,2.109468822170901,1.1547344110854503,1.7430715935334873,1.6039260969976905,129.4110854503464,2.54778212654925,2.9791258969341166,1.6307893020221789,2.461676451402479,2.2651663405088067,182.7625570776256,1.1693016706138388,0.6400819304871024,0.9662036740702811,0.8890738014465852,71.73398194968956,0.5474052988832931,0.826308298664331,0.7603459601488942,61.34771184585067,1.5095,1.389,112.07000000000001,0.9201722424643922,74.24312686319973,80.68394528437724
1999-01-13,0.709288722508189,1.8540009358914367,2.1623771642489475,1.169864295741694,1.789892372484792,1.5892606457650915,132.73280299485262,2.6138875144317995,3.0486557809665187,1.649348507339601,2.5235032162295896,2.2406399472208482,187.13508164275115,1.1663301362948006,0.6309944472488642,0.9654215042907622,0.857205956587582,71.59262998485613,0.5410084397316598,0.8277429127894395,0.7349599653754598,61.38281757195412,1.53,1.3585,113.46,0.8879084967320262,74.15686274509804,83.5185866764814
1999-01-14,0.7071887784921099,1.8509643483343075,2.1686732904734076,1.168907071887785,1.7866744593804793,1.5918176504967856,132.37872589129165,2.6173553719008265,3.066611570247934,1.6528925619834711,2.5264462809917356,2.250909090909091,187.1900826446281,1.1716450899905273,0.6315124723713293,0.9652668140195769,0.8599936848752763,71.51878749605305,0.5389963887241955,0.8238559801649329,0.7340052821646095,61.04134102301514,1.5285,1.3618,113.25,0.8909388289172391,74.09224730127576,83.16199148186224
1999-01-15,0.7025617248174335,1.828329662686913,2.144546192187319,1.159151501101194,1.7723426451837254,1.597890344267996,132.36350991074534,2.602375845570038,3.052466589671672,1.649892756970797,2.5226860254083485,2.274377165484244,188.4012539184953,1.1729537817789895,0.6339948012426299,0.969378051099981,0.8739618335129653,72.3958663538959,0.5405113237122318,0.8264418139560022,0.7450948597373116,61.720988054699745,1.529,1.3785,114.19,0.9015696533682147,74.68279921517332,82.83641639463184
