Date,EURGBP,EURAUD,EURUSD,EURCAD,EURCHF,EURJPY,GBPAUD,GBPUSD,GBPCAD,GBPCHF,GBPJPY,AUDUSD,AUDCAD,AUDCHF,AUDJPY,USDCAD,USDCHF,USDJPY,CADCHF,CADJPY,CHFJPY
1999-01-04,-1.7658073486341936,-1.5400000000000005,-1.5100000000000002,,1.2579999999999998,2.28,0.22580734863419316,0.2558073486341934,,3.023807348634193,4.0458073486341934,0.03000000000000025,,2.798,3.8200000000000003,,2.768,3.79,,,1.022
1999-01-05,-1.7844956728598738,-1.6099999999999999,-1.5799999999999996,,1.274,2.302,0.17449567285987388,0.20449567285987413,,3.058495672859874,4.086495672859874,0.03000000000000025,,2.884,3.912,,2.8539999999999996,3.8819999999999997,,,1.028
1999-01-06,-1.7808946894102284,-1.6600000000000001,-1.5700000000000003,,1.2759999999999998,2.3339999999999996,0.1208946894102283,0.21089468941022815,,3.0568946894102282,4.114894689410228,0.08999999999999986,,2.936,3.9939999999999998,,2.846,3.904,,,1.058
1999-01-07,-1.6801931319634358,-1.5999999999999996,-1.5899999999999999,,1.25,2.407,0.08019313196343614,0.09019313196343592,,2.930193131963436,4.087193131963436,0.009999999999999787,,2.8499999999999996,4.007,,2.84,3.997,,,1.157
1999-01-08,-1.6845819363652872,-1.6900000000000004,-1.71,,1.259,2.292,-0.005418063634713199,-0.025418063634712773,,2.943581936365287,3.976581936365287,-0.019999999999999574,,2.9490000000000003,3.982,,2.969,4.002,,,1.0330000000000001
1999-01-11,-1.6789617283489529,-1.8899999999999997,-1.75,,1.3200000000000003,2.303,-0.21103827165104683,-0.07103827165104715,,2.998961728348953,3.981961728348953,0.13999999999999968,,3.21,4.193,,3.0700000000000003,4.053,,,0.9829999999999999
1999-01-12,-1.681560602870587,-1.94,-1.6599999999999997,,1.42,2.3369999999999997,-0.258439397129413,0.021560602870587253,,3.101560602870587,4.018560602870587,0.28000000000000025,,3.36,4.277,,3.0799999999999996,3.997,,,0.917
1999-01-13,-1.698900117030563,-1.87,-1.6600000000000001,,1.3790000000000002,2.286,-0.171099882969437,0.03890011703056295,,3.0779001170305635,3.984900117030563,0.20999999999999996,,3.2490000000000006,4.156000000000001,,3.0390000000000006,3.946,,,0.9069999999999999
1999-01-14,-1.7157170203404326,-1.9300000000000002,-1.5399999999999996,,1.338,2.31,-0.21428297965956755,0.17571702034043302,,3.0537170203404327,4.025717020340433,0.39000000000000057,,3.2680000000000002,4.24,,2.8779999999999997,3.8499999999999996,,,0.9720000000000001
1999-01-15,-1.7317510368617985,-1.85,-1.6599999999999997,,1.3079999999999998,2.28,-0.11824896313820155,0.07175103686179884,,3.0397510368617984,4.011751036861798,0.1900000000000004,,3.158,4.13,,2.9679999999999995,3.9399999999999995,,,0.9720000000000001
1999-01-19,-1.8203730232364332,-1.9699999999999998,-1.75,,1.3010000000000002,2.201,-0.1496269767635665,0.07037302323643324,,3.1213730232364334,4.021373023236434,0.21999999999999975,,3.271,4.170999999999999,,3.051,3.951,,,0.8999999999999999
1999-01-20,-1.7774669787168524,-1.98,-1.7600000000000002,,1.333,2.256,-0.20253302128314754,0.01746697871685221,,3.110466978716852,4.033466978716852,0.21999999999999975,,3.3129999999999997,4.236,,3.093,4.016,,,0.9229999999999999
1999-01-21,-1.7362068918242346,-1.9300000000000002,-1.73,,1.3219999999999998,2.25,-0.19379310817576556,0.006206891824234617,,3.058206891824234,3.9862068918242346,0.20000000000000018,,3.252,4.18,,3.0519999999999996,3.98,,,0.928
1999-01-22,-1.7066215141431513,-1.88,-1.71,,1.248,2.2399999999999998,-0.17337848585684856,-0.0033784858568486342,,2.9546215141431516,3.946621514143151,0.16999999999999993,,3.128,4.12,,2.958,3.9499999999999997,,,0.9919999999999999
1999-01-25,-1.7984667104959402,-1.8400000000000003,-1.73,,1.259,2.203,-0.0415332895040601,0.06846671049594022,,3.05746671049594,4.00146671049594,0.11000000000000032,,3.099,4.043,,2.989,3.933,,,0.944
1999-01-26,-1.8156963829633748,-1.8200000000000003,-1.75,,1.3179999999999998,2.238,-0.004303617036625518,0.06569638296337477,,3.1336963829633744,4.053696382963374,0.07000000000000028,,3.138,4.058,,3.0679999999999996,3.988,,,0.92
1999-01-27,-1.7843929869040571,-1.9,-1.6700000000000004,,1.3319999999999999,2.2319999999999998,-0.11560701309594279,0.11439298690405675,,3.116392986904057,4.016392986904057,0.22999999999999954,,3.2319999999999998,4.132,,3.0020000000000002,3.902,,,0.9
1999-01-28,-1.7930469955867152,-1.8299999999999996,-1.69,,1.322,2.23,-0.03695300441328442,0.10304699558671526,,3.1150469955867153,4.023046995586715,0.13999999999999968,,3.1519999999999997,4.06,,3.012,3.92,,,0.908
1999-01-29,-1.7686594701067553,-1.8000000000000003,-1.69,,1.322,2.208,-0.031340529893244984,0.07865947010675534,,3.0906594701067553,3.9766594701067555,0.11000000000000032,,3.1220000000000003,4.008,,3.012,3.898,,,0.886
1999-02-01,-1.7286192714947135,-1.7899999999999996,-1.7200000000000002,,1.362,2.234,-0.061380728505286086,0.00861927149471331,,3.0906192714947136,3.962619271494714,0.0699999999999994,,3.1519999999999997,4.024,,3.0820000000000003,3.9540000000000006,,,0.8720000000000001
1999-02-02,-1.7293997555733842,-1.7800000000000002,-1.75,,1.3980000000000001,2.2070000000000003,-0.05060024442661604,-0.020600244426615788,,3.1273997555733843,3.9363997555733845,0.03000000000000025,,3.1780000000000004,3.9870000000000005,,3.148,3.9570000000000003,,,0.809
1999-02-03,-1.7634783562595362,-1.8800000000000003,-1.7399999999999998,,1.432,2.26,-0.11652164374046414,0.023478356259536426,,3.195478356259536,4.023478356259536,0.14000000000000057,,3.3120000000000003,4.140000000000001,,3.1719999999999997,4.0,,,0.8280000000000001
1999-02-04,-1.7069034019246772,-1.8099999999999996,-1.7799999999999994,,1.4200000000000002,2.335,-0.10309659807532245,-0.0730965980753222,,3.126903401924677,4.041903401924677,0.03000000000000025,,3.2299999999999995,4.145,,3.1999999999999993,4.114999999999999,,,0.915
1999-02-05,-1.6506132543463412,-1.8599999999999994,-1.8099999999999996,,1.4080000000000001,2.329,-0.20938674565365822,-0.1593867456536584,,3.0586132543463416,3.9796132543463414,0.04999999999999982,,3.268,4.189,,3.218,4.138999999999999,,,0.921
1999-02-08,-1.6392535616843422,-1.8300000000000005,-1.77,,1.4519999999999997,2.417,-0.1907464383156583,-0.1307464383156578,,3.0912535616843417,4.056253561684342,0.0600000000000005,,3.282,4.247,,3.2219999999999995,4.186999999999999,,,0.9650000000000001
1999-02-09,-1.660009622856093,-1.8000000000000003,-1.7600000000000002,,1.4869999999999999,2.444,-0.13999037714390727,-0.09999037714390724,,3.1470096228560926,4.1040096228560925,0.040000000000000036,,3.287,4.244,,3.247,4.204,,,0.957
1999-02-10,-1.644524735940851,-1.79,-1.7599999999999998,,1.4529999999999998,2.4219999999999997,-0.145475264059149,-0.11547526405914876,,3.097524735940851,4.066524735940851,0.03000000000000025,,3.243,4.212,,3.2129999999999996,4.1819999999999995,,,0.969
1999-02-11,-1.6353762743430558,-1.8900000000000006,-1.79,,1.4629999999999999,2.4219999999999997,-0.2546237256569448,-0.15462372565694427,,3.098376274343056,4.0573762743430555,0.10000000000000053,,3.3530000000000006,4.312,,3.253,4.212,,,0.959
1999-02-12,-1.6878874134415494,-1.8999999999999995,-1.92,,1.4270000000000003,2.39,-0.2121125865584501,-0.23211258655845057,,3.11488741344155,4.07788741344155,-0.020000000000000462,,3.327,4.29,,3.3470000000000004,4.3100000000000005,,,0.963
