date,USD,GBP,CHF
1990-01-02,7.87,11.938172938144552,
1990-01-03,7.94,11.959631367620903,6.147
1990-01-04,7.92,11.917769619142678,6.147
1990-01-05,7.9,11.876286956433754,6.147
1990-01-08,7.9,11.954071972040634,6.444
1990-01-09,7.91,12.06883197220332,6.444
1990-01-10,7.91,12.10904529466021,6.444
1990-01-11,7.91,12.161686589504061,6.444
1990-01-12,7.93,12.153915329242015,6.444
1990-01-16,8.1,12.452152118198294,6.444
1990-01-17,8.09,12.617795094246532,6.444
1990-01-18,8.25,12.77001213682952,6.444
1990-01-19,8.2,12.636145651768583,6.444
1990-01-22,8.18,12.735780586826225,6.8134999999999994
1990-01-23,8.18,12.724741349244436,6.8134999999999994
1990-01-24,8.2,12.619685096013388,6.8134999999999994
1990-01-25,8.24,12.509136908335755,6.8134999999999994
1990-01-26,8.28,12.525386577098802,6.8134999999999994
1990-01-29,8.3,12.467185688692924,6.8415
1990-01-30,8.3,12.487853824498812,6.8415
1990-01-31,8.28,12.46462890532527,6.808
1990-02-01,8.28,12.40988866625169,6.808
1990-02-02,8.37,12.43721665760728,6.808
1990-02-05,8.37,12.514390524262131,6.732
1990-02-06,8.42,12.477197225128995,6.732
1990-02-07,8.42,12.502346530012831,6.732
1990-02-08,8.37,12.429715337362852,6.732
1990-02-09,8.25,12.504237818372266,6.732
1990-02-12,8.32,12.546014280342552,6.7925
1990-02-13,8.21,12.460920969104196,6.7925
1990-02-14,8.27,12.507355661908031,6.7925
1990-02-15,8.35,12.639193937828422,6.7925
1990-02-16,8.36,12.728460979618545,6.7925
1990-02-20,8.52,12.913641322408619,6.7925
1990-02-21,8.5,12.795923145901991,6.7925
1990-02-22,8.45,12.795261761039983,6.7925
1990-02-23,8.43,12.723474851149783,6.7925
1990-02-26,8.38,12.715181061167884,6.88
1990-02-27,8.34,12.690221166835597,6.88
1990-02-28,8.43,12.865682935641216,6.932
1990-03-01,8.53,13.01629150471376,6.932
1990-03-02,8.48,13.061852349498698,6.932
1990-03-05,8.55,13.256695135500983,6.9065
1990-03-06,8.54,13.311136823942302,6.9065
1990-03-07,8.54,13.269657575968061,6.9065
1990-03-08,8.59,13.208827891616393,6.9065
1990-03-09,8.73,13.438367337477054,6.9065
1990-03-12,8.71,13.421133369615745,6.8515
1990-03-13,8.77,13.497192582299189,6.8515
1990-03-14,8.69,13.409344683557414,6.8515
1990-03-15,8.71,13.440799741442696,6.8515
1990-03-16,8.64,13.339397955207602,6.8515
1990-03-19,8.68,13.425442790835177,6.8185
1990-03-20,8.68,13.485386218947609,6.8185
1990-03-21,8.69,13.601368177356537,6.8185
1990-03-22,8.62,13.542248283441937,6.8185
1990-03-23,8.61,13.548306648512193,6.8185
1990-03-26,8.61,13.340572057912107,6.908
1990-03-27,8.59,13.413157428365018,6.908
1990-03-28,8.57,13.425806055472082,6.908
1990-03-29,8.62,13.380993123627302,6.908
1990-03-30,8.64,13.391360263883097,7.052
1990-04-02,8.62,13.363097568068355,7.186999999999999
1990-04-03,8.61,13.3327876260577,7.186999999999999
1990-04-04,8.54,13.211894354722403,7.186999999999999
1990-04-05,8.54,13.129240289077144,7.186999999999999
1990-04-06,8.52,13.229650554400946,7.186999999999999
1990-04-09,8.54,13.295740554086679,7.0489999999999995
1990-04-10,8.54,13.355212319337129,7.0489999999999995
1990-04-11,8.56,13.36049687130443,7.0489999999999995
1990-04-12,8.57,13.423510197582583,7.0489999999999995
1990-04-13,8.57,13.423510197582583,7.0489999999999995
1990-04-16,8.61,13.423510197582583,7.0489999999999995
1990-04-17,8.7,13.520321172006893,7.021
1990-04-18,8.79,13.555538528230644,7.021
1990-04-19,8.81,13.53824878119008,7.021
1990-04-20,8.82,13.500980092063813,7.021
1990-04-23,8.87,13.534074190058924,7.1015
1990-04-24,8.92,13.511777592506698,7.1015
1990-04-25,8.95,13.607493214793594,7.1015
1990-04-26,9.03,13.638055711559971,7.1015
1990-04-27,8.98,13.69563715705453,7.1015
1990-04-30,8.96,13.724548202920717,7.225
1990-05-01,9.02,13.707089334839786,7.225
1990-05-02,9.05,13.742006893044795,7.225
1990-05-03,8.98,13.642490334902979,7.225
1990-05-04,8.7,13.314732996154143,7.225
1990-05-07,8.74,13.314732996154143,7.246
1990-05-08,8.68,13.355154120917826,7.246
1990-05-09,8.75,13.38551968722515,7.246
1990-05-10,8.69,13.337372112683218,7.246
1990-05-11,8.55,13.248122666242725,7.246
1990-05-14,8.51,13.148475202387594,6.9415
1990-05-15,8.54,13.149729475824836,6.9415
1990-05-16,8.54,13.154063543749272,6.9415
1990-05-17,8.56,12.678587318147125,6.9415
1990-05-18,8.63,12.613778508890519,6.9415
1990-05-21,8.61,12.402243857124194,6.786
1990-05-22,8.54,12.394198545709724,6.786
1990-05-23,8.51,12.513974899168566,6.786
1990-05-24,8.5,12.640723882864657,6.786
1990-05-25,8.53,12.727862304427811,6.786
1990-05-29,8.52,12.718019054002555,6.786
1990-05-30,8.48,12.64497163056714,6.786
1990-05-31,8.5,12.68904547578978,6.6
1990-06-01,8.33,12.533221121347621,6.6
1990-06-04,8.31,12.48420100458154,6.6
1990-06-05,8.34,12.525825342274711,6.5735
1990-06-06,8.34,12.6129930934756,6.5735
1990-06-07,8.34,12.521544300766447,6.5735
1990-06-08,8.33,12.489461676716692,6.5735
1990-06-11,8.36,12.544414489798278,6.676
1990-06-12,8.36,12.4608531641874,6.676
1990-06-13,8.27,12.327900022262417,6.676
1990-06-14,8.24,12.184983712911357,6.676
1990-06-15,8.33,12.292232929499827,6.676
1990-06-18,8.39,12.429576395348779,6.6705000000000005
1990-06-19,8.41,12.419518777968161,6.6705000000000005
1990-06-20,8.43,12.244938118793527,6.6705000000000005
1990-06-21,8.41,12.260964258409086,6.6705000000000005
1990-06-22,8.4,12.2375859696428,6.6705000000000005
1990-06-25,8.45,12.245537454587648,6.6625
1990-06-26,8.41,12.21214891086862,6.6625
1990-06-27,8.37,12.31735279316837,6.6625
1990-06-28,8.31,12.275953313584624,6.6625
1990-06-29,8.24,12.227885408890153,6.5465
1990-07-02,8.25,12.265727290862074,6.635999999999999
1990-07-03,8.2,12.325203554168542,6.635999999999999
1990-07-05,8.22,12.426292976214413,6.635999999999999
1990-07-06,8.32,12.443980786472537,6.635999999999999
1990-07-09,8.39,12.50570577380958,6.5175
1990-07-10,8.4,12.441671105902774,6.5175
1990-07-11,8.4,12.439254301766455,6.5175
1990-07-12,8.2,12.43670647370059,6.5175
1990-07-13,8.13,12.305655911688678,6.5175
1990-07-16,8.15,12.170728095516395,6.442
1990-07-17,8.13,12.211493163839972,6.442
1990-07-18,8.13,12.215505107351179,6.442
1990-07-19,8.13,12.273698574726788,6.442
1990-07-20,8.08,12.189579644195483,6.442
1990-07-23,8.05,12.070224622739872,6.448
1990-07-24,8.12,12.149349496923024,6.448
1990-07-25,8.08,12.265278723652553,6.448
1990-07-26,8.08,12.226901005057833,6.448
1990-07-27,8.0,12.116656767009191,6.448
1990-07-30,7.93,12.084812716329099,6.622999999999999
1990-07-31,7.91,12.09713357522674,6.515499999999999
1990-08-01,7.85,11.984256110871625,6.515499999999999
1990-08-02,7.9,11.981237987480403,6.515499999999999
1990-08-03,7.79,12.122532684949658,6.515499999999999
1990-08-06,7.9,12.198814958053712,6.5
1990-08-07,8.04,12.091673380571505,6.5
1990-08-08,8.02,12.13341678126372,6.5
1990-08-09,7.99,12.13343607758991,6.5
1990-08-10,7.95,12.106281321613244,6.5
1990-08-13,7.94,12.15517087420652,6.64
1990-08-14,7.94,12.159781276458293,6.64
1990-08-15,7.94,12.141277568379437,6.64
1990-08-16,8.09,12.141681110404454,6.64
1990-08-17,8.11,12.194794521058162,6.64
1990-08-20,8.13,12.191014185746047,6.8085
1990-08-21,8.19,12.207917082429017,6.8085
1990-08-22,8.26,12.14901063888238,6.8085
1990-08-23,8.26,12.018841573491203,6.8085
1990-08-24,8.32,11.971299342667468,6.8085
1990-08-27,8.21,11.971299342667468,6.918
1990-08-28,8.23,11.835822164236752,6.918
1990-08-29,8.16,11.847120386787397,6.918
1990-08-30,8.12,11.923020405602543,6.918
1990-08-31,8.07,11.841346249672275,6.932
1990-09-04,8.09,11.865031415950511,6.932
1990-09-05,8.04,11.903633846852147,6.932
1990-09-06,8.06,11.901747636112587,6.932
1990-09-07,8.04,12.044683027120987,6.932
1990-09-10,8.09,11.951605499594454,6.922499999999999
1990-09-11,8.1,11.898529737807156,6.922499999999999
1990-09-12,8.05,11.978231659999263,6.922499999999999
1990-09-13,8.01,11.981016020208699,6.922499999999999
1990-09-14,8.03,12.028040418136102,6.922499999999999
1990-09-17,8.05,11.986110900465755,6.957
1990-09-18,8.03,11.99461770873304,6.957
1990-09-19,8.08,11.991968797982695,6.957
1990-09-20,8.1,11.934568408369394,6.957
1990-09-21,8.12,11.937321434745755,6.957
1990-09-24,8.21,11.977229922375736,6.9045000000000005
1990-09-25,8.18,12.011258853376582,6.9045000000000005
1990-09-26,8.16,12.11064715311987,6.9045000000000005
1990-09-27,8.05,12.130494250915255,6.9045000000000005
1990-09-28,8.02,12.034271130214035,6.781
1990-10-01,7.94,12.014913125954699,6.793
1990-10-02,7.92,11.985937164368337,6.793
