,trend,chop
count,128030.0,128895.0
mean,-0.08457573389599893,0.18180514502898112
std,1.518497781408995,2.6806827559130997
min,-2.864115096128631,-9.866798309692161
25%,-1.2430499644230641,-1.5448258709242415
50%,-0.3741407414134497,0.278873238069415
75%,0.7862824280519991,2.0096654237587446
max,7.804975823909093,13.775457241980748
