b,f,n,retention,best_to,med_to
regime-v5,dispvsown,33,0.9393939393939394,12.73,5.26
regime-v5,pr_jumpratio,34,0.9117647058823529,10.68,3.605
regime-v5,pr_bipow,34,0.9117647058823529,8.84,3.815
regime-v5,zz_bipow,34,0.9117647058823529,8.97,3.335
regime-v5,ps_bipow,34,0.8823529411764706,11.34,1.71
regime-v5,tsexceed,32,0.875,11.42,3.84
regime-v5,rankmove,31,0.8387096774193549,6.78,2.45
regime-v5,minvol,34,0.8235294117647058,12.53,5.695
regime-v5,zs_bipow,34,0.7941176470588235,8.32,2.75
regime-v5,pr_whip,34,0.7941176470588235,7.0,2.225
regime-v5,volaccel,34,0.7941176470588235,11.26,3.7699999999999996
regime-v5,absac1,34,0.7941176470588235,8.13,3.2300000000000004
regime-v5,convex,34,0.7941176470588235,8.16,2.66
trend-duration,cx1._m,703,0.7823613086770982,19.98,5.82
regime-v5,zz_dispvsown,32,0.78125,13.75,6.404999999999999
trend-duration,std,80,0.775,5.45,2.205
trend-duration,ts_bu,1027,0.7721518987341772,13.94,4.71
trend-duration,ts_hi,1027,0.7711781888997079,14.44,4.86
regime-v5,ps_volofvol,34,0.7647058823529411,10.5,3.295
regime-v5,zs_sqac1,34,0.7647058823529411,5.99,2.47
regime-v5,zz_absac1,34,0.7647058823529411,9.39,3.255
regime-v5,zs_absac1,34,0.7647058823529411,8.52,2.9
regime-v5,pr_dispvsown,33,0.7575757575757576,11.35,6.21
trend-duration,pdm,703,0.7539118065433855,16.85,5.09
trend-duration,pdd,703,0.7425320056899004,14.34,5.09
regime-v5,zz_volpersist,34,0.7352941176470589,10.55,4.65
regime-v5,ps_maxvol,34,0.7352941176470589,11.01,3.6399999999999997
regime-v5,zz_gini,34,0.7352941176470589,8.16,2.1149999999999998
regime-v5,pr_quartic,34,0.7352941176470589,9.69,3.625
regime-v5,zz_jumpratio,34,0.7352941176470589,10.08,3.88
regime-v5,zz_rankmove,34,0.7352941176470589,6.37,1.75
regime-v5,pr_sqac1,34,0.7352941176470589,8.5,2.625
regime-v5,pr_sigmadn,34,0.7352941176470589,8.54,2.9
regime-v5,zz_sqac1,34,0.7352941176470589,9.61,2.5549999999999997
regime-v5,zz_volofvol,34,0.7352941176470589,10.33,3.49
regime-v5,bipow,34,0.7352941176470589,7.69,3.5549999999999997
regime-v5,pr_absac1,34,0.7352941176470589,8.41,2.615
trend-duration,ts_sg,2069,0.7259545674238763,15.4,5.84
regime-v5,sqac1,34,0.7058823529411765,8.19,2.965
regime-v5,pr_volaccel,34,0.7058823529411765,10.33,4.035
regime-v5,maxvol,34,0.7058823529411765,10.9,3.545
regime-v5,zz_medabs,34,0.7058823529411765,7.64,2.635
regime-v5,pr_calm,34,0.7058823529411765,12.8,3.62
regime-v5,pr_convex,34,0.7058823529411765,9.63,2.08
trend-duration,bd,702,0.7037037037037037,19.97,5.775
trend-duration,ep_mu,358,0.7011173184357542,12.64,4.395
trend-duration,oc_mu,358,0.7011173184357542,12.64,4.395
trend-duration,ts_su,1919,0.6961959353830119,13.6,4.52
trend-duration,ats,999,0.6956956956956957,22.57,7.4
trend-duration,oc_hi,258,0.6937984496124031,10.94,3.28
trend-duration,dts,999,0.6926926926926927,21.34,6.66
trend-duration,cx1._s,703,0.6913229018492176,17.97,6.45
regime-v5,zz_volkurt,32,0.6875,10.81,2.1550000000000002
trend-duration,ts_sd,1982,0.6871846619576185,15.49,4.61
regime-v5,zs_convex,34,0.6764705882352942,7.46,2.16
regime-v5,maxshare,34,0.6764705882352942,12.2,3.665
regime-v5,volpersist,34,0.6764705882352942,10.44,3.23
regime-v5,jumpratio,34,0.6764705882352942,10.17,3.9450000000000003
regime-v5,whip,34,0.6764705882352942,6.6,2.87
regime-v5,zz_quartic,34,0.6764705882352942,11.44,3.2199999999999998
regime-v5,zz_whip,34,0.6764705882352942,6.87,2.505
regime-v5,pr_maxshare,34,0.6764705882352942,8.61,3.63
trend-duration,ts_vu,950,0.6757894736842105,13.98,3.87
trend-duration,ep_hi,256,0.67578125,10.74,3.4400000000000004
trend-duration,bdd,703,0.6756756756756757,19.61,5.79
regime-v5,ps_dispvsown,33,0.6666666666666666,10.0,5.49
trend-duration,ts_bd,1106,0.6645569620253164,12.31,3.6950000000000003
trend-duration,ts_lo,1106,0.6600361663652803,12.11,3.67
trend-duration,ep_fl,360,0.6555555555555556,12.39,4.99
trend-duration,ptv,703,0.6543385490753911,21.21,4.33
trend-duration,ep_md,527,0.6527514231499051,13.25,3.47
trend-duration,oc_md,527,0.6527514231499051,13.25,3.47
regime-v5,volskew,34,0.6470588235294118,12.93,4.025
regime-v5,pr_minvol,34,0.6470588235294118,11.38,5.029999999999999
regime-v5,zs_medabs,34,0.6470588235294118,5.73,1.76
regime-v5,volofvol,34,0.6470588235294118,10.38,2.995
regime-v5,zz_exceed2,34,0.6470588235294118,10.32,3.645
regime-v5,zz_minvol,34,0.6470588235294118,11.65,5.245
regime-v5,quartic,34,0.6470588235294118,13.77,4.04
regime-v5,pr_absmean,34,0.6470588235294118,8.33,1.5150000000000001
regime-v5,zz_tsexceed,34,0.6470588235294118,8.98,2.87
regime-v5,pr_medabs,34,0.6470588235294118,6.0,2.255
