axis,pair,sep
trend,EURGBP,0.23688098104642483
trend,EURAUD,0.34148245032234237
trend,EURNZD,0.13879212909908722
trend,EURUSD,0.42849828469013085
trend,EURCAD,0.20369480162848966
trend,EURCHF,0.14010196965477634
trend,EURJPY,0.1453250756841268
trend,GBPAUD,0.2880097764487579
trend,GBPNZD,0.24798964150420072
trend,GBPUSD,0.19827707958466714
trend,GBPCAD,0.29101774516356416
trend,GBPCHF,0.21941707447597933
trend,GBPJPY,0.0822350911914855
trend,AUDNZD,0.18581466661856785
trend,AUDUSD,0.3212374293365594
trend,AUDCAD,0.19758531524042636
trend,AUDCHF,0.5109181145918611
trend,AUDJPY,0.13872438576862284
trend,NZDUSD,0.17160193618322436
trend,NZDCAD,0.03483256643536356
trend,NZDCHF,0.3961616008405143
trend,NZDJPY,0.2037052268399544
trend,USDCAD,0.17936607597527346
trend,USDCHF,0.15673166602283634
trend,USDJPY,0.06199460099433517
trend,CADCHF,0.19390793340052237
trend,CADJPY,0.18887008425520357
trend,CHFJPY,0.2673025772667228
chop,EURGBP,0.4496589020547788
chop,EURAUD,0.18145285860733515
chop,EURNZD,0.11692883873135879
chop,EURUSD,0.22910366800171023
chop,EURCAD,0.2725519317823397
chop,EURCHF,0.42544236157465104
chop,EURJPY,0.3130878906102892
chop,GBPAUD,0.18466752532352554
chop,GBPNZD,0.37314092190884923
chop,GBPUSD,0.12356147366049614
chop,GBPCAD,0.449816631061576
chop,GBPCHF,0.35397144367419775
chop,GBPJPY,0.07704428116876622
chop,AUDNZD,0.2685682589817061
chop,AUDUSD,0.5436158555407659
chop,AUDCAD,0.21885926271117326
chop,AUDCHF,0.08734230082430361
chop,AUDJPY,0.3509240892882213
chop,NZDUSD,0.27400386299458274
chop,NZDCAD,0.21962327177285498
chop,NZDCHF,0.1848087587561771
chop,NZDJPY,0.1063401857509068
chop,USDCAD,0.3786777124791377
chop,USDCHF,0.09867971838613301
chop,USDJPY,0.31402086702853255
chop,CADCHF,0.18035914018793126
chop,CADJPY,0.3559704770806112
chop,CHFJPY,0.19221019812479995
