item,is_sep,oos_sep,surrogate,corrected,hi_share,hi_run,hi_diag,coverage,min_share,median_run,diagonal,cells
trend,0.07397318069041488,0.0685594164992542,0.12024897121502762,-0.05168955471577341,0.4363761720904578,30.0,0.9784409179996206,,,,,
chop,0.12619954741815936,0.20328137729867596,0.16794142880668247,0.035339948491993484,0.5363210148924434,24.0,0.9813680580575429,,,,,
grid IS,,0.08410132483163962,,,,,,0.9474954424925423,0.020344356381525007,12.5,0.936764638509152,12.0
grid OOS,,0.08784888530463524,,,,,,1.0,0.024214009928295643,12.0,0.935089848172543,12.0
grid null,,0.08784888530463524,0.09799259279924223,-0.010143707494606996,,,,,,,,
