detector,threshold,caught,n_events,recall,base_rate,lift,median_lag_days
breadth2sig,8.0,24,35,0.6857142857142857,0.04174573055028463,16.425974025974025,0.5
maxabsmove,3.6902027531348582,23,35,0.6571428571428571,0.046347714651858184,14.178538512179063,0.0
paneldisp,4.053817918713363,23,35,0.6571428571428571,0.04976505766766339,13.204904966278358,0.0
legdiv20,5.049382681365396,16,35,0.45714285714285713,0.04696547287154192,9.733594259621658,0.5
avgcorr60,0.12162380262622687,7,35,0.2,0.07004057228272476,2.8554878048780488,6.0
