vintage,scope,state,pair_bars,agreement,expected,kappa
2009,all overlapping days,ALL,127875,0.9089814271749755,0.2651840088368311,0.876134196969574
2009,all overlapping days,trending,37695,0.9078127072556041,,
2009,all overlapping days,ranging,41692,0.9412597140938309,,
2009,all overlapping days,trend-in-range,23806,0.8694866840292363,,
2009,all overlapping days,neither,24682,0.8943359533263107,,
2009,post-vintage only,ALL,79856,0.9094119414946904,0.2651951823302481,0.876718202811208
2009,post-vintage only,trending,22328,0.8996775349337155,,
2009,post-vintage only,ranging,26783,0.9437329649404473,,
2009,post-vintage only,trend-in-range,14515,0.8799862211505339,,
2009,post-vintage only,neither,16230,0.892483056069008,,
2012,all overlapping days,ALL,127862,0.942211133878713,0.26458101999471606,0.9214204858829292
2012,all overlapping days,trending,37686,0.9609404022714005,,
2012,all overlapping days,ranging,41684,0.9443191632280971,,
2012,all overlapping days,trend-in-range,23810,0.9244435111297774,,
2012,all overlapping days,neither,24682,0.9271939064905599,,
2012,post-vintage only,ALL,58016,0.9413437672366244,0.264483810445885,0.9202516088749396
2012,post-vintage only,trending,16581,0.9539231650684519,,
2012,post-vintage only,ranging,19257,0.9478111855429194,,
2012,post-vintage only,trend-in-range,10549,0.9218883306474548,,
2012,post-vintage only,neither,11629,0.9303465474245421,,
2015,all overlapping days,ALL,127888,1.0,0.26511240400865116,1.0
2015,all overlapping days,trending,37695,1.0,,
2015,all overlapping days,ranging,41701,1.0,,
2015,all overlapping days,trend-in-range,23810,1.0,,
2015,all overlapping days,neither,24682,1.0,,
2015,post-vintage only,ALL,36260,1.0,0.2698803259172812,1.0
2015,post-vintage only,trending,9401,1.0,,
2015,post-vintage only,ranging,13066,1.0,,
2015,post-vintage only,trend-in-range,6343,1.0,,
2015,post-vintage only,neither,7450,1.0,,
2018,all overlapping days,ALL,127888,0.9551091580132616,0.2647405811790598,0.9389455737150226
2018,all overlapping days,trending,37695,0.9767077861785383,,
2018,all overlapping days,ranging,41701,0.9517277763123186,,
2018,all overlapping days,trend-in-range,23810,0.9414111717765644,,
2018,all overlapping days,neither,24682,0.9410501580098858,,
2018,post-vintage only,ALL,14532,0.9599504541701074,0.27992818548114895,0.944381178345866
2018,post-vintage only,trending,3599,0.981661572659072,,
2018,post-vintage only,ranging,5662,0.9666195690568704,,
2018,post-vintage only,trend-in-range,2257,0.949490474080638,,
2018,post-vintage only,neither,3014,0.929329794293298,,
2021,all overlapping days,ALL,127887,0.9431373008984494,0.26436856996274494,0.9227021891945659
2021,all overlapping days,trending,37695,0.9775832338506433,,
2021,all overlapping days,ranging,41701,0.93060118462387,,
2021,all overlapping days,trend-in-range,23809,0.9325885169473729,,
2021,all overlapping days,neither,24682,0.9218863949436836,,
2024,all overlapping days,ALL,127887,0.9431373008984494,0.26436856996274494,0.9227021891945659
2024,all overlapping days,trending,37695,0.9775832338506433,,
2024,all overlapping days,ranging,41701,0.93060118462387,,
2024,all overlapping days,trend-in-range,23809,0.9325885169473729,,
2024,all overlapping days,neither,24682,0.9218863949436836,,
