representative,batch,fam,to,si,ao,tsb,stronger_target,n_members,members
z_panelvol_15,cross-sectional,z_panelvol,-17.82,-0.02322,0.893,,,2,z_panelvol_15|zz_panelvol_D15
zd_xsctop_r30_pd,trend-nonmomentum,cross-sectional,-17.26,-0.03643,0.893,5.0,trend,3,zd_xsctop_r30_pd|rc_xsctop_r30_pd|rc_xsctop_r20_ts
