b,f,n,retention,best_to,med_to
regime-v5,zz_dispvsown,32,0.9375,16.5,7.085
regime-v5,dispvsown,33,0.9090909090909091,16.06,6.35
regime-v5,q10q90,34,0.8823529411764706,9.2,3.06
regime-v5,gini,34,0.8823529411764706,13.18,4.359999999999999
regime-v5,pr_tsexceed,34,0.8529411764705882,11.21,3.375
regime-v5,volaccel,34,0.8529411764705882,16.7,4.08
regime-v5,volkurt,32,0.84375,11.39,3.585
regime-v5,maxshare,34,0.8235294117647058,12.72,3.8
regime-v5,zz_tsexceed,34,0.8235294117647058,12.83,4.07
regime-v5,ps_volkurt,32,0.8125,8.84,3.115
regime-v5,volskew,34,0.7941176470588235,11.49,3.5
regime-v5,zs_tsexceed,34,0.7941176470588235,9.09,2.885
regime-v5,zz_quartic,34,0.7941176470588235,12.75,2.9000000000000004
regime-v5,pr_volkurt,32,0.78125,12.48,2.5949999999999998
regime-v5,minvol,34,0.7647058823529411,18.88,6.265000000000001
regime-v5,volofvol,34,0.7647058823529411,13.4,4.915
regime-v5,zz_volpersist,34,0.7647058823529411,15.01,5.545
regime-v5,ps_exceed2,34,0.7647058823529411,17.04,3.2649999999999997
regime-v5,quartic,34,0.7647058823529411,12.02,3.315
trend-duration,dts,1053,0.7606837606837606,27.56,7.55
regime-v5,tsexceed,32,0.75,14.47,4.67
regime-v5,top3share,32,0.75,12.96,4.12
trend-duration,cx2._s,741,0.7489878542510121,26.7,7.1
trend-duration,cx2._m,741,0.747638326585695,27.83,6.78
trend-duration,cx2._x,739,0.7469553450608931,24.36,6.99
trend-duration,ts_sg,2075,0.7465060240963856,21.33,7.05
regime-v5,zz_maxshare,34,0.7352941176470589,13.28,2.9000000000000004
regime-v5,zz_q10q90,34,0.7352941176470589,10.08,3.79
regime-v5,absac1,34,0.7352941176470589,11.42,2.935
regime-v5,zz_exceed2,34,0.7352941176470589,16.77,4.945
regime-v5,pr_volskew,34,0.7352941176470589,12.53,2.475
regime-v5,whip,34,0.7352941176470589,7.78,2.38
regime-v5,ps_maxshare,34,0.7352941176470589,11.85,2.805
regime-v5,sqac1,34,0.7352941176470589,12.04,2.685
regime-v5,ps_volskew,34,0.7352941176470589,9.3,2.465
regime-v5,zz_volaccel,34,0.7352941176470589,16.72,4.375
regime-v5,ps_sqac1,34,0.7352941176470589,7.13,1.78
regime-v5,maxvol,34,0.7352941176470589,13.24,5.380000000000001
regime-v5,jumpratio,34,0.7352941176470589,8.24,3.115
regime-v5,zs_dispvsown,33,0.7272727272727273,15.14,5.36
regime-v5,pr_dispvsown,33,0.7272727272727273,14.43,6.28
trend-duration,cx1._s,741,0.7260458839406208,23.88,7.51
trend-duration,ep_mu,360,0.725,18.5,5.51
trend-duration,oc_mu,360,0.725,18.5,5.51
trend-duration,ats,1053,0.724596391263058,26.83,6.95
trend-duration,cx1._m,741,0.7219973009446694,21.52,7.09
trend-duration,ts_sd,2015,0.7176178660049628,18.6,5.55
trend-duration,cx1._x,739,0.713125845737483,25.62,7.97
trend-duration,ts_su,1962,0.709480122324159,21.06,6.945
regime-v5,zz_minvol,34,0.7058823529411765,19.03,6.925000000000001
regime-v5,pr_maxshare,34,0.7058823529411765,13.53,3.3600000000000003
regime-v5,pr_quartic,34,0.7058823529411765,12.39,3.0650000000000004
regime-v5,zs_maxshare,34,0.7058823529411765,10.44,3.4400000000000004
regime-v5,zz_volskew,34,0.7058823529411765,11.89,2.76
regime-v5,pr_q10q90,34,0.7058823529411765,10.69,2.865
regime-v5,zs_volaccel,34,0.7058823529411765,12.6,2.995
regime-v5,zz_volofvol,34,0.7058823529411765,15.14,5.17
regime-v5,pr_exceed2,34,0.7058823529411765,14.04,4.93
regime-v5,ps_q10q90,34,0.7058823529411765,8.44,1.5350000000000001
regime-v5,ps_quartic,34,0.7058823529411765,9.32,2.285
regime-v5,pr_sqac1,34,0.7058823529411765,6.53,2.255
regime-v5,ps_dispvsown,33,0.696969696969697,14.77,4.07
trend-duration,cx_m,2223,0.6968061178587495,26.47,7.06
trend-duration,ts_bu,1118,0.6958855098389982,17.63,5.485
trend-duration,ts_md,1140,0.6929824561403509,16.28,5.095
trend-duration,bd,736,0.688858695652174,20.68,5.875
trend-duration,ts_hi,1118,0.6851520572450805,17.92,5.52
trend-duration,pdm,741,0.6842105263157895,21.72,5.78
regime-v5,rankmove,31,0.6774193548387096,6.52,2.05
regime-v5,volsplit,34,0.6764705882352942,12.43,3.3600000000000003
regime-v5,zz_sqac1,34,0.6764705882352942,10.04,2.92
regime-v5,zz_gini,34,0.6764705882352942,11.56,3.4850000000000003
regime-v5,zs_volskew,34,0.6764705882352942,10.88,3.33
regime-v5,ps_volaccel,34,0.6764705882352942,14.98,2.915
regime-v5,zs_exceed2,34,0.6764705882352942,15.58,3.915
regime-v5,pr_volaccel,34,0.6764705882352942,15.77,2.9699999999999998
regime-v5,zz_calm,34,0.6764705882352942,8.81,2.9850000000000003
regime-v5,ps_absac1,34,0.6764705882352942,6.76,1.105
trend-duration,cx_s,2223,0.6729644624381467,25.85,6.79
trend-duration,oc_md,538,0.6728624535315985,18.56,4.01
trend-duration,ep_md,538,0.6728624535315985,18.56,4.01
regime-v5,zs_volkurt,32,0.65625,9.87,3.115
regime-v5,zz_top3share,32,0.65625,11.84,2.86
regime-v5,zz_volkurt,32,0.65625,11.45,3.535
trend-duration,ts_mu,1140,0.6526315789473685,18.08,6.08
trend-duration,cx_x,2219,0.6498422712933754,24.52,5.77
regime-v5,absac5,34,0.6470588235294118,9.08,1.875
regime-v5,zz_maxvol,34,0.6470588235294118,15.8,6.05
regime-v5,rangeratio,34,0.6470588235294118,7.01,3.5
regime-v5,zs_sqac1,34,0.6470588235294118,8.04,1.5350000000000001
regime-v5,pr_calm,34,0.6470588235294118,10.28,2.94
regime-v5,ps_rangeratio,34,0.6470588235294118,7.25,2.7199999999999998
trend-duration,pdd,741,0.6464237516869096,17.35,5.45
trend-duration,oc_sg,845,0.6449704142011834,18.8,6.92
trend-duration,ep_su,779,0.6444159178433889,16.92,5.56
trend-duration,oc_su,781,0.6414852752880922,16.97,5.8
trend-duration,bdd,741,0.631578947368421,16.01,6.15
trend-duration,ep_sg,844,0.6232227488151659,19.21,6.49
trend-duration,ts_vu,950,0.6231578947368421,16.13,5.495
trend-duration,ep_fl,360,0.6222222222222222,19.1,5.83
regime-v5,zs_quartic,34,0.6176470588235294,11.09,2.83
regime-v5,ps_minvol,34,0.6176470588235294,13.38,3.645
regime-v5,zs_calm,34,0.6176470588235294,13.48,2.8449999999999998
regime-v5,volpersist,34,0.6176470588235294,13.77,5.505000000000001
regime-v5,ps_maxvol,34,0.6176470588235294,12.11,2.63
regime-v5,zs_q10q90,34,0.6176470588235294,7.57,3.05
regime-v5,zz_whip,34,0.6176470588235294,8.75,1.95
regime-v5,ps_volpersist,34,0.6176470588235294,12.57,2.965
regime-v5,zs_rankret,34,0.6176470588235294,4.96,1.18
