date,open,high,low,close,volume,suspect
2004-06-01,0.881950,0.881950,0.881950,0.881950,2,False
2004-06-02,0.870170,0.870170,0.870170,0.870170,2,False
2004-06-03,0.860920,0.860920,0.860920,0.860920,2,False
2004-06-04,0.862220,0.862220,0.862220,0.862220,2,False
2004-06-07,0.874860,0.874860,0.874860,0.874860,2,False
2004-06-08,0.867530,0.867530,0.867530,0.867530,2,False
2004-06-09,0.865730,0.865730,0.865730,0.865730,2,False
2004-06-10,0.868400,0.868400,0.868400,0.868400,2,False
2004-06-11,0.871690,0.871690,0.871690,0.871690,2,False
2004-06-14,0.863710,0.863710,0.863710,0.863710,2,False
2004-06-15,0.871760,0.871760,0.871760,0.871760,2,False
2004-06-16,0.873280,0.873280,0.873280,0.873280,2,False
2004-06-17,0.854190,0.854190,0.854190,0.854190,2,False
2004-06-18,0.857410,0.857410,0.857410,0.857410,2,False
2004-06-21,0.860180,0.860180,0.860180,0.860180,2,False
2004-06-22,0.859510,0.859510,0.859510,0.859510,2,False
2004-06-23,0.862100,0.862100,0.862100,0.862100,2,False
2004-06-24,0.870960,0.870960,0.870960,0.870960,2,False
2004-06-25,0.873590,0.873590,0.873590,0.873590,2,False
2004-06-28,0.873940,0.873940,0.873940,0.873940,2,False
2004-06-29,0.873860,0.873860,0.873860,0.873860,2,False
2004-06-30,0.873100,0.873100,0.873100,0.873100,2,False
2004-07-01,0.880560,0.880560,0.880560,0.880560,2,False
2004-07-02,0.879820,0.879820,0.879820,0.879820,2,False
2004-07-05,0.879820,0.879820,0.879820,0.879820,2,False
2004-07-06,0.882100,0.882100,0.882100,0.882100,2,False
2004-07-07,0.887270,0.887270,0.887270,0.887270,2,False
2004-07-08,0.882180,0.882180,0.882180,0.882180,2,False
2004-07-09,0.883080,0.883080,0.883080,0.883080,2,False
2004-07-12,0.890990,0.890990,0.890990,0.890990,2,False
2004-07-13,0.896180,0.896180,0.896180,0.896180,2,False
2004-07-14,0.889800,0.889800,0.889800,0.889800,2,False
2004-07-15,0.893620,0.893620,0.893620,0.893620,2,False
2004-07-16,0.897100,0.897100,0.897100,0.897100,2,False
2004-07-19,0.898840,0.898840,0.898840,0.898840,2,False
2004-07-20,0.905430,0.905430,0.905430,0.905430,2,False
2004-07-21,0.894010,0.894010,0.894010,0.894010,2,False
2004-07-22,0.892580,0.892580,0.892580,0.892580,2,False
2004-07-23,0.899120,0.899120,0.899120,0.899120,2,False
2004-07-26,0.897060,0.897060,0.897060,0.897060,2,False
2004-07-27,0.892220,0.892220,0.892220,0.892220,2,False
2004-07-28,0.892460,0.892460,0.892460,0.892460,2,False
2004-07-29,0.895540,0.895540,0.895540,0.895540,2,False
2004-07-30,0.900820,0.900820,0.900820,0.900820,2,False
2004-08-02,0.899930,0.899930,0.899930,0.899930,2,False
2004-08-03,0.903750,0.903750,0.903750,0.903750,2,False
2004-08-04,0.898510,0.898510,0.898510,0.898510,2,False
2004-08-05,0.897460,0.897460,0.897460,0.897460,2,False
2004-08-06,0.892620,0.892620,0.892620,0.892620,2,False
2004-08-09,0.897260,0.897260,0.897260,0.897260,2,False
2004-08-10,0.900090,0.900090,0.900090,0.900090,2,False
2004-08-11,0.902200,0.902200,0.902200,0.902200,2,False
2004-08-12,0.897790,0.897790,0.897790,0.897790,2,False
2004-08-13,0.887940,0.887940,0.887940,0.887940,2,False
2004-08-16,0.891030,0.891030,0.891030,0.891030,2,False
2004-08-17,0.889920,0.889920,0.889920,0.889920,2,False
2004-08-18,0.890670,0.890670,0.890670,0.890670,2,False
2004-08-19,0.901140,0.901140,0.901140,0.901140,2,False
2004-08-20,0.905140,0.905140,0.905140,0.905140,2,False
2004-08-23,0.905960,0.905960,0.905960,0.905960,2,False
2004-08-24,0.896740,0.896740,0.896740,0.896740,2,False
2004-08-25,0.898760,0.898760,0.898760,0.898760,2,False
2004-08-26,0.895620,0.895620,0.895620,0.895620,2,False
2004-08-27,0.900980,0.900980,0.900980,0.900980,2,False
2004-08-30,0.895620,0.895620,0.895620,0.895620,2,False
2004-08-31,0.891700,0.891700,0.891700,0.891700,2,False
2004-09-01,0.886520,0.886520,0.886520,0.886520,2,False
2004-09-02,0.879820,0.879820,0.879820,0.879820,2,False
2004-09-03,0.878820,0.878820,0.878820,0.878820,2,False
2004-09-06,0.879940,0.879940,0.879940,0.879940,2,False
2004-09-07,0.880160,0.880160,0.880160,0.880160,2,False
2004-09-08,0.877770,0.877770,0.877770,0.877770,2,False
2004-09-09,0.868620,0.868620,0.868620,0.868620,2,False
2004-09-10,0.874960,0.874960,0.874960,0.874960,2,False
2004-09-13,0.876540,0.876540,0.876540,0.876540,2,False
2004-09-14,0.883510,0.883510,0.883510,0.883510,2,False
2004-09-15,0.883200,0.883200,0.883200,0.883200,2,False
2004-09-16,0.887000,0.887000,0.887000,0.887000,2,False
2004-09-17,0.885040,0.885040,0.885040,0.885040,2,False
2004-09-20,0.891540,0.891540,0.891540,0.891540,2,False
2004-09-21,0.881720,0.881720,0.881720,0.881720,2,False
2004-09-22,0.890350,0.890350,0.890350,0.890350,2,False
2004-09-23,0.899160,0.899160,0.899160,0.899160,2,False
2004-09-24,0.901220,0.901220,0.901220,0.901220,2,False
2004-09-27,0.900050,0.900050,0.900050,0.900050,2,False
2004-09-28,0.903710,0.903710,0.903710,0.903710,2,False
2004-09-29,0.902810,0.902810,0.902810,0.902810,2,False
2004-09-30,0.906820,0.906820,0.906820,0.906820,2,False
2004-10-01,0.907030,0.907030,0.907030,0.907030,2,False
2004-10-04,0.912460,0.912460,0.912460,0.912460,2,False
2004-10-05,0.914200,0.914200,0.914200,0.914200,2,False
2004-10-06,0.915540,0.915540,0.915540,0.915540,2,False
2004-10-07,0.920680,0.920680,0.920680,0.920680,2,False
2004-10-08,0.919370,0.919370,0.919370,0.919370,2,False
2004-10-11,0.916760,0.916760,0.916760,0.916760,2,False
2004-10-12,0.917390,0.917390,0.917390,0.917390,2,False
2004-10-13,0.908640,0.908640,0.908640,0.908640,2,False
2004-10-14,0.907160,0.907160,0.907160,0.907160,2,False
2004-10-15,0.902520,0.902520,0.902520,0.902520,2,False
2004-10-18,0.893140,0.893140,0.893140,0.893140,2,False
2004-10-19,0.893780,0.893780,0.893780,0.893780,2,False
2004-10-20,0.897300,0.897300,0.897300,0.897300,2,False
2004-10-21,0.897710,0.897710,0.897710,0.897710,2,False
2004-10-25,0.893460,0.893460,0.893460,0.893460,2,False
2004-10-26,0.896500,0.896500,0.896500,0.896500,2,False
2004-10-27,0.898680,0.898680,0.898680,0.898680,2,False
2004-10-28,0.896180,0.896180,0.896180,0.896180,2,False
2004-11-01,0.897380,0.897380,0.897380,0.897380,2,False
2004-11-02,0.899970,0.899970,0.899970,0.899970,2,False
2004-11-03,0.901840,0.901840,0.901840,0.901840,2,False
2004-11-04,0.899560,0.899560,0.899560,0.899560,2,False
2004-11-05,0.898070,0.898070,0.898070,0.898070,2,False
2004-11-08,0.894970,0.894970,0.894970,0.894970,2,False
2004-11-09,0.900940,0.900940,0.900940,0.900940,2,False
2004-11-10,0.896900,0.896900,0.896900,0.896900,2,False
2004-11-11,0.900940,0.900940,0.900940,0.900940,2,False
2004-11-12,0.901720,0.901720,0.901720,0.901720,2,False
2004-11-15,0.912200,0.912200,0.912200,0.912200,2,False
2004-11-16,0.909140,0.909140,0.909140,0.909140,2,False
2004-11-17,0.909050,0.909050,0.909050,0.909050,2,False
2004-11-18,0.910960,0.910960,0.910960,0.910960,2,False
2004-11-19,0.910250,0.910250,0.910250,0.910250,2,False
2004-11-22,0.910040,0.910040,0.910040,0.910040,2,False
2004-11-23,0.910620,0.910620,0.910620,0.910620,2,False
2004-11-24,0.903060,0.903060,0.903060,0.903060,2,False
2004-11-25,0.902690,0.902690,0.902690,0.902690,2,False
2004-11-26,0.900500,0.900500,0.900500,0.900500,2,False
2004-11-29,0.895700,0.895700,0.895700,0.895700,2,False
2004-11-30,0.879940,0.879940,0.879940,0.879940,2,False
2004-12-01,0.886960,0.886960,0.886960,0.886960,2,False
2004-12-02,0.892260,0.892260,0.892260,0.892260,2,False
2004-12-03,0.883700,0.883700,0.883700,0.883700,2,False
2004-12-06,0.882420,0.882420,0.882420,0.882420,2,False
2004-12-07,0.883430,0.883430,0.883430,0.883430,2,False
2004-12-08,0.871120,0.871120,0.871120,0.871120,2,False
2004-12-09,0.867420,0.867420,0.867420,0.867420,2,False
2004-12-10,0.872300,0.872300,0.872300,0.872300,2,False
2004-12-13,0.875460,0.875460,0.875460,0.875460,2,False
2004-12-14,0.873140,0.873140,0.873140,0.873140,2,False
2004-12-15,0.871580,0.871580,0.871580,0.871580,2,False
2004-12-16,0.876580,0.876580,0.876580,0.876580,2,False
2004-12-17,0.884560,0.884560,0.884560,0.884560,2,False
2004-12-20,0.877700,0.877700,0.877700,0.877700,2,False
2004-12-21,0.881720,0.881720,0.881720,0.881720,2,False
2004-12-22,0.880400,0.880400,0.880400,0.880400,2,False
2004-12-23,0.877200,0.877200,0.877200,0.877200,2,False
2004-12-24,0.878890,0.878890,0.878890,0.878890,2,False
2004-12-27,0.883320,0.883320,0.883320,0.883320,2,False
2004-12-28,0.884020,0.884020,0.884020,0.884020,2,False
2004-12-29,0.877700,0.877700,0.877700,0.877700,2,False
2004-12-30,0.882540,0.882540,0.882540,0.882540,2,False
2004-12-31,0.891740,0.891740,0.891740,0.891740,2,False
2005-01-03,0.890400,0.895060,0.885380,0.893700,40674,False
2005-01-04,0.893620,0.897710,0.890470,0.892980,63930,False
2005-01-05,0.893140,0.897380,0.891460,0.893620,65478,False
2005-01-06,0.893620,0.896500,0.890590,0.893930,58270,False
2005-01-07,0.893930,0.901180,0.890710,0.897340,53332,False
2005-01-10,0.897180,0.898880,0.893780,0.895860,49580,False
2005-01-11,0.895780,0.902160,0.893380,0.901430,57783,False
2005-01-12,0.901260,0.903630,0.891540,0.896100,57717,False
2005-01-13,0.896100,0.900620,0.893220,0.896740,54826,False
2005-01-14,0.896740,0.899970,0.893060,0.895260,65873,False
2005-01-17,0.896700,0.899240,0.893620,0.896820,33328,False
2005-01-18,0.896740,0.898920,0.890350,0.895700,60890,False
2005-01-19,0.895780,0.902650,0.893540,0.902000,60843,False
2005-01-20,0.902000,0.907070,0.899810,0.902900,58857,False
2005-01-21,0.902900,0.915120,0.902730,0.912240,57214,False
2005-01-24,0.912000,0.915080,0.907560,0.911360,49021,False
2005-01-25,0.911200,0.915800,0.908390,0.912960,59487,False
2005-01-26,0.912860,0.920000,0.912460,0.917640,58087,False
2005-01-27,0.917560,0.921700,0.915540,0.920430,58725,False
2005-01-28,0.920430,0.923400,0.916680,0.919580,54604,False
2005-01-31,0.918900,0.923240,0.918660,0.922210,56920,False
2005-02-01,0.922210,0.924170,0.916460,0.921700,56329,False
2005-02-02,0.921700,0.928810,0.918900,0.928550,56900,False
2005-02-03,0.928460,0.928720,0.923440,0.926570,60094,False
2005-02-04,0.926400,0.934540,0.923660,0.933230,60337,False
2005-02-07,0.932010,0.943800,0.928980,0.939630,59129,False
2005-02-08,0.939540,0.940520,0.931840,0.936460,55879,False
2005-02-09,0.936460,0.938480,0.933400,0.937860,53458,False
2005-02-10,0.937780,0.949440,0.936200,0.946480,60700,False
2005-02-11,0.946480,0.952240,0.942900,0.951700,47030,False
2005-02-14,0.950160,0.951610,0.941480,0.943880,49403,False
2005-02-15,0.943980,0.944680,0.935190,0.936900,57318,False
2005-02-16,0.936900,0.937520,0.928030,0.931660,64821,False
2005-02-17,0.931320,0.935760,0.930280,0.932790,55530,False
2005-02-18,0.932790,0.934920,0.927600,0.932790,48838,False
2005-02-21,0.934970,0.935410,0.930710,0.933490,33011,False
2005-02-22,0.933490,0.934540,0.919580,0.920520,71365,False
2005-02-23,0.920430,0.923150,0.914120,0.914780,66268,False
2005-02-24,0.914880,0.920940,0.912860,0.919660,65363,False
2005-02-25,0.919660,0.919840,0.913540,0.913700,60260,False
2005-02-28,0.914450,0.921620,0.913620,0.920860,55503,False
2005-03-01,0.920940,0.922380,0.912200,0.917220,64558,False
2005-03-02,0.917060,0.921360,0.910540,0.918820,68778,False
2005-03-03,0.918820,0.925620,0.916380,0.924600,58953,False
2005-03-04,0.924600,0.928680,0.922550,0.925110,54995,False
2005-03-07,0.923230,0.932880,0.922640,0.930880,50315,False
2005-03-08,0.930880,0.932620,0.925020,0.927430,57557,False
2005-03-09,0.927520,0.927600,0.916720,0.919330,60855,False
2005-03-10,0.919330,0.922210,0.908960,0.912860,70115,False
2005-03-11,0.912860,0.916300,0.908720,0.912200,49636,False
2005-03-14,0.911620,0.915800,0.910460,0.912960,54188,False
2005-03-15,0.912960,0.922000,0.912120,0.921740,56251,False
2005-03-16,0.921660,0.921910,0.912860,0.914700,58602,False
2005-03-17,0.914700,0.918240,0.912860,0.917980,56049,False
2005-03-18,0.917900,0.926440,0.916460,0.925200,53433,False
2005-03-21,0.924600,0.928810,0.922800,0.925620,58668,False
2005-03-22,0.925540,0.935580,0.923320,0.929930,61731,False
2005-03-23,0.929930,0.930280,0.921870,0.924000,71933,False
2005-03-24,0.923830,0.928550,0.922040,0.928550,56922,False
2005-03-25,0.928550,0.928760,0.925240,0.925710,10156,False
2005-03-28,0.925460,0.929880,0.924300,0.925670,42967,False
2005-03-29,0.925670,0.930620,0.923660,0.925970,59691,False
2005-03-30,0.926060,0.927860,0.921620,0.924680,60542,False
2005-03-31,0.924680,0.927080,0.921020,0.924600,57614,False
2005-04-01,0.924600,0.930190,0.921400,0.927430,58487,False
2005-04-04,0.927780,0.929930,0.924260,0.928720,51584,False
2005-04-05,0.928720,0.930450,0.924940,0.926660,57495,False
2005-04-06,0.926660,0.927430,0.920090,0.922300,59631,False
2005-04-07,0.922300,0.925970,0.919580,0.924770,61343,False
2005-04-08,0.924680,0.929070,0.923660,0.924000,57940,False
2005-04-11,0.923920,0.927860,0.922210,0.925540,51632,False
2005-04-12,0.925540,0.931840,0.923660,0.929580,57683,False
2005-04-13,0.929500,0.936810,0.928380,0.933320,59491,False
2005-04-14,0.933140,0.940520,0.931840,0.935240,61697,False
2005-04-15,0.935320,0.935760,0.921700,0.922460,63173,False
2005-04-18,0.923230,0.923920,0.908060,0.912040,61284,False
2005-04-19,0.912040,0.913910,0.908640,0.910960,62727,False
2005-04-20,0.910960,0.918140,0.910040,0.913860,60105,False
