date,open,high,low,close,volume,suspect
2004-06-01,88.750000,88.750000,88.750000,88.750000,2,False
2004-06-02,87.910000,87.910000,87.910000,87.910000,2,False
2004-06-03,88.640000,88.640000,88.640000,88.640000,2,False
2004-06-04,89.685000,89.685000,89.685000,89.685000,2,False
2004-06-07,88.555000,88.555000,88.555000,88.555000,2,False
2004-06-08,88.575000,88.575000,88.575000,88.575000,2,False
2004-06-09,88.005000,88.005000,88.005000,88.005000,2,False
2004-06-10,87.795000,87.795000,87.795000,87.795000,2,False
2004-06-11,87.375000,87.375000,87.375000,87.375000,2,False
2004-06-14,88.385000,88.385000,88.385000,88.385000,2,False
2004-06-15,87.655000,87.655000,87.655000,87.655000,2,False
2004-06-16,86.925000,86.925000,86.925000,86.925000,2,False
2004-06-17,87.535000,87.535000,87.535000,87.535000,2,False
2004-06-18,87.475000,87.475000,87.475000,87.475000,2,False
2004-06-21,87.405000,87.405000,87.405000,87.405000,2,False
2004-06-22,87.435000,87.435000,87.435000,87.435000,2,False
2004-06-23,86.575000,86.575000,86.575000,86.575000,2,False
2004-06-24,86.070000,86.070000,86.070000,86.070000,2,False
2004-06-25,86.285000,86.285000,86.285000,86.285000,2,False
2004-06-28,86.405000,86.405000,86.405000,86.405000,2,False
2004-06-29,85.485000,85.485000,85.485000,85.485000,2,False
2004-06-30,87.110000,87.110000,87.110000,87.110000,2,False
2004-07-01,86.785000,86.785000,86.785000,86.785000,2,False
2004-07-02,87.835000,87.835000,87.835000,87.835000,2,False
2004-07-05,88.235000,88.235000,88.235000,88.235000,2,False
2004-07-06,88.505000,88.505000,88.505000,88.505000,2,False
2004-07-07,88.545000,88.545000,88.545000,88.545000,2,False
2004-07-08,88.925000,88.925000,88.925000,88.925000,2,False
2004-07-09,88.475000,88.475000,88.475000,88.475000,2,False
2004-07-12,88.395000,88.395000,88.395000,88.395000,2,False
2004-07-13,87.915000,87.915000,87.915000,87.915000,2,False
2004-07-14,88.795000,88.795000,88.795000,88.795000,2,False
2004-07-15,88.805000,88.805000,88.805000,88.805000,2,False
2004-07-16,88.715000,88.715000,88.715000,88.715000,2,False
2004-07-19,88.165000,88.165000,88.165000,88.165000,2,False
2004-07-20,87.350000,87.350000,87.350000,87.350000,2,False
2004-07-21,87.850000,87.850000,87.850000,87.850000,2,False
2004-07-22,87.925000,87.925000,87.925000,87.925000,2,False
2004-07-23,86.935000,86.935000,86.935000,86.935000,2,False
2004-07-26,86.955000,86.955000,86.955000,86.955000,2,False
2004-07-27,86.965000,86.965000,86.965000,86.965000,2,False
2004-07-28,87.555000,87.555000,87.555000,87.555000,2,False
2004-07-29,87.480000,87.480000,87.480000,87.480000,2,False
2004-07-30,86.875000,86.875000,86.875000,86.875000,2,False
2004-08-02,86.555000,86.555000,86.555000,86.555000,2,False
2004-08-03,86.510000,86.510000,86.510000,86.510000,2,False
2004-08-04,87.075000,87.075000,87.075000,87.075000,2,False
2004-08-05,87.675000,87.675000,87.675000,87.675000,2,False
2004-08-06,88.345000,88.345000,88.345000,88.345000,2,False
2004-08-09,88.210000,88.210000,88.210000,88.210000,2,False
2004-08-10,88.190000,88.190000,88.190000,88.190000,2,False
2004-08-11,87.940000,87.940000,87.940000,87.940000,2,False
2004-08-12,88.275000,88.275000,88.275000,88.275000,2,False
2004-08-13,89.405000,89.405000,89.405000,89.405000,2,False
2004-08-16,89.060000,89.060000,89.060000,89.060000,2,False
2004-08-17,88.510000,88.510000,88.510000,88.510000,2,False
2004-08-18,87.845000,87.845000,87.845000,87.845000,2,False
2004-08-19,87.955000,87.955000,87.955000,87.955000,2,False
2004-08-20,87.275000,87.275000,87.275000,87.275000,2,False
2004-08-23,86.505000,86.505000,86.505000,86.505000,2,False
2004-08-24,86.145000,86.145000,86.145000,86.145000,2,False
2004-08-25,86.535000,86.535000,86.535000,86.535000,2,False
2004-08-26,86.185000,86.185000,86.185000,86.185000,2,False
2004-08-27,85.535000,85.535000,85.535000,85.535000,2,False
2004-08-30,85.845000,85.845000,85.845000,85.845000,2,False
2004-08-31,86.215000,86.215000,86.215000,86.215000,2,False
2004-09-01,86.915000,86.915000,86.915000,86.915000,2,False
2004-09-02,86.790000,86.790000,86.790000,86.790000,2,False
2004-09-03,86.905000,86.905000,86.905000,86.905000,2,False
2004-09-06,86.660000,86.660000,86.660000,86.660000,2,False
2004-09-07,86.300000,86.300000,86.300000,86.300000,2,False
2004-09-08,86.730000,86.730000,86.730000,86.730000,2,False
2004-09-09,86.935000,86.935000,86.935000,86.935000,2,False
2004-09-10,87.155000,87.155000,87.155000,87.155000,2,False
2004-09-13,87.425000,87.425000,87.425000,87.425000,2,False
2004-09-14,87.105000,87.105000,87.105000,87.105000,2,False
2004-09-15,86.640000,86.640000,86.640000,86.640000,2,False
2004-09-16,86.370000,86.370000,86.370000,86.370000,2,False
2004-09-17,86.615000,86.615000,86.615000,86.615000,2,False
2004-09-20,86.430000,86.430000,86.430000,86.430000,2,False
2004-09-21,87.480000,87.480000,87.480000,87.480000,2,False
2004-09-22,87.820000,87.820000,87.820000,87.820000,2,False
2004-09-23,87.905000,87.905000,87.905000,87.905000,2,False
2004-09-24,87.725000,87.725000,87.725000,87.725000,2,False
2004-09-27,88.230000,88.230000,88.230000,88.230000,2,False
2004-09-28,88.460000,88.460000,88.460000,88.460000,2,False
2004-09-29,88.050000,88.050000,88.050000,88.050000,2,False
2004-09-30,88.310000,88.310000,88.310000,88.310000,2,False
2004-10-01,88.475000,88.475000,88.475000,88.475000,2,False
2004-10-04,87.760000,87.760000,87.760000,87.760000,2,False
2004-10-05,88.070000,88.070000,88.070000,88.070000,2,False
2004-10-06,88.050000,88.050000,88.050000,88.050000,2,False
2004-10-07,87.970000,87.970000,87.970000,87.970000,2,False
2004-10-08,87.555000,87.555000,87.555000,87.555000,2,False
2004-10-11,87.430000,87.430000,87.430000,87.430000,2,False
