date,open,high,low,close,volume,suspect
2004-06-01,80.840000,80.840000,80.840000,80.840000,2,False
2004-06-02,80.720000,80.720000,80.720000,80.720000,2,False
2004-06-03,81.300000,81.300000,81.300000,81.300000,2,False
2004-06-04,82.250000,82.250000,82.250000,82.250000,2,False
2004-06-07,81.340000,81.340000,81.340000,81.340000,2,False
2004-06-08,81.250000,81.250000,81.250000,81.250000,2,False
2004-06-09,81.220000,81.220000,81.220000,81.220000,2,False
2004-06-10,80.370000,80.370000,80.370000,80.370000,2,False
2004-06-11,80.720000,80.720000,80.720000,80.720000,2,False
2004-06-14,80.750000,80.750000,80.750000,80.750000,2,False
2004-06-15,80.030000,80.030000,80.030000,80.030000,2,False
2004-06-16,80.180000,80.180000,80.180000,80.180000,2,False
2004-06-17,79.950000,79.950000,79.950000,79.950000,2,False
2004-06-18,79.890000,79.890000,79.890000,79.890000,2,False
2004-06-21,79.780000,79.780000,79.780000,79.780000,2,False
2004-06-22,80.480000,80.480000,80.480000,80.480000,2,False
2004-06-23,79.780000,79.780000,79.780000,79.780000,2,False
2004-06-24,79.660000,79.660000,79.660000,79.660000,2,False
2004-06-25,79.690000,79.690000,79.690000,79.690000,2,False
2004-06-28,80.040000,80.040000,80.040000,80.040000,2,False
2004-06-29,80.490000,80.490000,80.490000,80.490000,2,False
2004-06-30,81.610000,81.610000,81.610000,81.610000,2,False
2004-07-01,81.330000,81.330000,81.330000,81.330000,2,False
2004-07-02,81.810000,81.810000,81.810000,81.810000,2,False
2004-07-05,82.260000,82.260000,82.260000,82.260000,2,False
2004-07-06,82.440000,82.440000,82.440000,82.440000,2,False
2004-07-07,82.280000,82.280000,82.280000,82.280000,2,False
2004-07-08,82.680000,82.680000,82.680000,82.680000,2,False
2004-07-09,82.060000,82.060000,82.060000,82.060000,2,False
2004-07-12,82.180000,82.180000,82.180000,82.180000,2,False
2004-07-13,82.420000,82.420000,82.420000,82.420000,2,False
2004-07-14,82.550000,82.550000,82.550000,82.550000,2,False
2004-07-15,82.960000,82.960000,82.960000,82.960000,2,False
2004-07-16,82.880000,82.880000,82.880000,82.880000,2,False
2004-07-19,82.770000,82.770000,82.770000,82.770000,2,False
2004-07-20,82.730000,82.730000,82.730000,82.730000,2,False
2004-07-21,83.100000,83.100000,83.100000,83.100000,2,False
2004-07-22,83.340000,83.340000,83.340000,83.340000,2,False
2004-07-23,83.400000,83.400000,83.400000,83.400000,2,False
2004-07-26,82.490000,82.490000,82.490000,82.490000,2,False
2004-07-27,83.310000,83.310000,83.310000,83.310000,2,False
2004-07-28,84.050000,84.050000,84.050000,84.050000,2,False
2004-07-29,84.560000,84.560000,84.560000,84.560000,2,False
2004-07-30,83.640000,83.640000,83.640000,83.640000,2,False
2004-08-02,83.110000,83.110000,83.110000,83.110000,2,False
2004-08-03,83.920000,83.920000,83.920000,83.920000,2,False
2004-08-04,84.440000,84.440000,84.440000,84.440000,2,False
2004-08-05,84.800000,84.800000,84.800000,84.800000,2,False
2004-08-06,84.170000,84.170000,84.170000,84.170000,2,False
2004-08-09,83.960000,83.960000,83.960000,83.960000,2,False
2004-08-10,84.275000,84.275000,84.275000,84.275000,2,False
2004-08-11,83.740000,83.740000,83.740000,83.740000,2,False
2004-08-12,83.300000,83.300000,83.300000,83.300000,2,False
2004-08-13,84.560000,84.560000,84.560000,84.560000,2,False
2004-08-16,84.550000,84.550000,84.550000,84.550000,2,False
2004-08-17,84.170000,84.170000,84.170000,84.170000,2,False
2004-08-18,83.850000,83.850000,83.850000,83.850000,2,False
2004-08-19,84.310000,84.310000,84.310000,84.310000,2,False
2004-08-20,84.050000,84.050000,84.050000,84.050000,2,False
2004-08-23,84.020000,84.020000,84.020000,84.020000,2,False
2004-08-24,83.890000,83.890000,83.890000,83.890000,2,False
2004-08-25,84.440000,84.440000,84.440000,84.440000,2,False
2004-08-26,83.890000,83.890000,83.890000,83.890000,2,False
2004-08-27,83.530000,83.530000,83.530000,83.530000,2,False
2004-08-30,83.360000,83.360000,83.360000,83.360000,2,False
2004-08-31,83.160000,83.160000,83.160000,83.160000,2,False
2004-09-01,83.780000,83.780000,83.780000,83.780000,2,False
2004-09-02,84.240000,84.240000,84.240000,84.240000,2,False
2004-09-03,84.970000,84.970000,84.970000,84.970000,2,False
2004-09-06,84.820000,84.820000,84.820000,84.820000,2,False
2004-09-07,84.950000,84.950000,84.950000,84.950000,2,False
2004-09-08,84.760000,84.760000,84.760000,84.760000,2,False
2004-09-09,85.110000,85.110000,85.110000,85.110000,2,False
2004-09-10,84.920000,84.920000,84.920000,84.920000,2,False
2004-09-13,84.560000,84.560000,84.560000,84.560000,2,False
2004-09-14,84.790000,84.790000,84.790000,84.790000,2,False
2004-09-15,84.870000,84.870000,84.870000,84.870000,2,False
2004-09-16,84.910000,84.910000,84.910000,84.910000,2,False
2004-09-17,84.630000,84.630000,84.630000,84.630000,2,False
2004-09-20,84.890000,84.890000,84.890000,84.890000,2,False
2004-09-21,85.180000,85.180000,85.180000,85.180000,2,False
2004-09-22,86.280000,86.280000,86.280000,86.280000,2,False
2004-09-23,86.570000,86.570000,86.570000,86.570000,2,False
2004-09-24,86.830000,86.830000,86.830000,86.830000,2,False
2004-09-27,87.450000,87.450000,87.450000,87.450000,2,False
2004-09-28,87.590000,87.590000,87.590000,87.590000,2,False
2004-09-29,87.260000,87.260000,87.260000,87.260000,2,False
2004-09-30,87.260000,87.260000,87.260000,87.260000,2,False
2004-10-01,87.630000,87.630000,87.630000,87.630000,2,False
2004-10-04,87.270000,87.270000,87.270000,87.270000,2,False
2004-10-05,88.130000,88.130000,88.130000,88.130000,2,False
2004-10-06,88.450000,88.450000,88.450000,88.450000,2,False
2004-10-07,88.220000,88.220000,88.220000,88.220000,2,False
2004-10-08,87.500000,87.500000,87.500000,87.500000,2,False
