gate 1: 128 shards total, 0 already checkpointed, 128 queued now, 8 workers
  floors: {'trend': 0.0789746052852731, 'chop': 0.0948921307658818}   PF >= 1.05
    shard    1:  45000 done, 8.26 ms/combo, 5 min left
    shard    3:  45000 done, 8.27 ms/combo, 5 min left
    shard    7:  45000 done, 8.27 ms/combo, 5 min left
    shard    2:  45000 done, 8.27 ms/combo, 5 min left
    shard    0:  45000 done, 8.27 ms/combo, 5 min left
    shard    4:  45000 done, 8.27 ms/combo, 5 min left
    shard    6:  45000 done, 8.28 ms/combo, 5 min left
    shard    5:  45000 done, 8.29 ms/combo, 5 min left
    shard    1:  50000 done, 8.21 ms/combo, 5 min left
    shard    3:  50000 done, 8.21 ms/combo, 5 min left
    shard    7:  50000 done, 8.21 ms/combo, 5 min left
    shard    0:  50000 done, 8.22 ms/combo, 5 min left
    shard    2:  50000 done, 8.22 ms/combo, 5 min left
    shard    6:  50000 done, 8.22 ms/combo, 5 min left
    shard    4:  50000 done, 8.22 ms/combo, 5 min left
    shard    5:  50000 done, 8.23 ms/combo, 5 min left
    shard    1:  55000 done, 8.18 ms/combo, 4 min left
    shard    3:  55000 done, 8.18 ms/combo, 4 min left
    shard    7:  55000 done, 8.18 ms/combo, 4 min left
    shard    0:  55000 done, 8.18 ms/combo, 4 min left
    shard    2:  55000 done, 8.19 ms/combo, 4 min left
    shard    4:  55000 done, 8.18 ms/combo, 4 min left
    shard    6:  55000 done, 8.19 ms/combo, 4 min left
    shard    5:  55000 done, 8.20 ms/combo, 4 min left
    shard    1:  60000 done, 8.15 ms/combo, 3 min left
    shard    7:  60000 done, 8.15 ms/combo, 3 min left
    shard    3:  60000 done, 8.16 ms/combo, 3 min left
    shard    0:  60000 done, 8.16 ms/combo, 3 min left
    shard    2:  60000 done, 8.17 ms/combo, 3 min left
    shard    4:  60000 done, 8.16 ms/combo, 3 min left
    shard    6:  60000 done, 8.17 ms/combo, 3 min left
    shard    5:  60000 done, 8.18 ms/combo, 3 min left
    shard    1:  65000 done, 8.14 ms/combo, 2 min left
    shard    7:  65000 done, 8.14 ms/combo, 2 min left
    shard    3:  65000 done, 8.14 ms/combo, 2 min left
    shard    0:  65000 done, 8.14 ms/combo, 2 min left
    shard    2:  65000 done, 8.15 ms/combo, 3 min left
    shard    4:  65000 done, 8.14 ms/combo, 2 min left
    shard    6:  65000 done, 8.15 ms/combo, 3 min left
    shard    5:  65000 done, 8.16 ms/combo, 3 min left
    shard    1:  70000 done, 8.14 ms/combo, 2 min left
    shard    7:  70000 done, 8.14 ms/combo, 2 min left
    shard    3:  70000 done, 8.14 ms/combo, 2 min left
    shard    0:  70000 done, 8.14 ms/combo, 2 min left
    shard    4:  70000 done, 8.14 ms/combo, 2 min left
    shard    2:  70000 done, 8.15 ms/combo, 2 min left
    shard    6:  70000 done, 8.15 ms/combo, 2 min left
    shard    5:  70000 done, 8.16 ms/combo, 2 min left
    shard    1:  75000 done, 8.11 ms/combo, 1 min left
    shard    3:  75000 done, 8.12 ms/combo, 1 min left
    shard    7:  75000 done, 8.12 ms/combo, 1 min left
    shard    6:  75000 done, 8.12 ms/combo, 1 min left
    shard    0:  75000 done, 8.12 ms/combo, 1 min left
    shard    4:  75000 done, 8.12 ms/combo, 1 min left
    shard    2:  75000 done, 8.12 ms/combo, 1 min left
    shard    5:  75000 done, 8.14 ms/combo, 1 min left
    shard    1:  80000 done, 8.09 ms/combo, 0 min left
    shard    3:  80000 done, 8.10 ms/combo, 0 min left
    shard    0:  80000 done, 8.10 ms/combo, 0 min left
    shard    7:  80000 done, 8.10 ms/combo, 0 min left
    shard    6:  80000 done, 8.10 ms/combo, 0 min left
    shard    2:  80000 done, 8.10 ms/combo, 0 min left
    shard    4:  80000 done, 8.10 ms/combo, 0 min left
    shard    5:  80000 done, 8.11 ms/combo, 0 min left
  shard    1:    83418 seen | eligible  67936/ 56291 | survivors  4802/ 1321  (trend/chop)
  shard    0:    83418 seen | eligible  67968/ 56362 | survivors  4961/ 1289  (trend/chop)
  shard    7:    83418 seen | eligible  67939/ 56335 | survivors  4858/ 1347  (trend/chop)
  shard    3:    83418 seen | eligible  67965/ 56350 | survivors  4839/ 1291  (trend/chop)
  shard    6:    83418 seen | eligible  67913/ 56377 | survivors  4801/ 1336  (trend/chop)
  shard    2:    83418 seen | eligible  67943/ 56406 | survivors  4819/ 1317  (trend/chop)
  shard    4:    83418 seen | eligible  67944/ 56314 | survivors  4974/ 1298  (trend/chop)
  shard    5:    83418 seen | eligible  67896/ 56256 | survivors  4779/ 1296  (trend/chop)
    shard    8:   5000 done, 7.49 ms/combo, 10 min left
    shard   11:   5000 done, 7.52 ms/combo, 10 min left
    shard    9:   5000 done, 7.53 ms/combo, 10 min left
