sid,c1,c2,vol,base,slice,mode,ip1,risk1
B|trend|center_of_gravity_signals|relative_vigor_index_signals|volatility_ratio_volume_signals|sma_baseline,center_of_gravity_signals,relative_vigor_index_signals,volatility_ratio_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 25}, ""c1"": {""length"": 5, ""signal_length"": 30}, ""c2"": {""len"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""length"": 5}}","{""atr_len"": 9, ""atr_mult"": 1.48, ""be_pct"": 0.07, ""tp_mult"": 1.75, ""trail_arm"": 1.1, ""trail_mult"": 1.35}"
B|trend|fx_sniper_ergodic_cci_signals|donchian_breakout_signals|variance_volume_signals|mcginley_dynamic_index,fx_sniper_ergodic_cci_signals,donchian_breakout_signals,variance_volume_signals,mcginley_dynamic_index,trend,B,"{""base"": {""mci_length"": 14}, ""c1"": {""cci_length"": 14, ""ema1_length"": 9, ""ema2_length"": 3, ""trigger_length"": 50}, ""c2"": {""length"": 25}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 33, ""atr_mult"": 1.5, ""be_pct"": 0.06, ""tp_mult"": 2.2, ""trail_arm"": 1.4, ""trail_mult"": 1.4}"
B|trend|relative_vigor_index_signals|relative_vigor_index_signals|chaikin_volatility_volume_signals|tma_baseline,relative_vigor_index_signals,relative_vigor_index_signals,chaikin_volatility_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 37}, ""c1"": {""len"": 43}, ""c2"": {""len"": 66}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 2, ""roc_len"": 6}}","{""atr_len"": 27, ""atr_mult"": 1.25, ""be_pct"": 0.01, ""tp_mult"": 3.0, ""trail_arm"": 1.0, ""trail_mult"": 1.45}"
B|trend|coppock_curve_signals|center_of_gravity_signals|variance_volume_signals|tma_baseline,coppock_curve_signals,center_of_gravity_signals,variance_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 16}, ""c1"": {""long_roc"": 14, ""short_roc"": 11, ""smooth_len"": 10}, ""c2"": {""length"": 10, ""signal_length"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 46, ""atr_mult"": 1.41, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.0, ""trail_mult"": 1.75}"
B|trend|kalman_filter_signals|ssl_channel_signals|variance_volume_signals|tma_baseline,kalman_filter_signals,ssl_channel_signals,variance_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 20}, ""c1"": {""k"": 1, ""sharpness"": 1}, ""c2"": {""len"": 2}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 3, ""atr_mult"": 1.29, ""be_pct"": 0.01, ""tp_mult"": 2.15, ""trail_arm"": 1.15, ""trail_mult"": 1.4}"
B|trend|waddah_attar_explosion_signals|hieken_ashi_smoothed_signals|fractal_dimension_volume_signals|sma_baseline,waddah_attar_explosion_signals,hieken_ashi_smoothed_signals,fractal_dimension_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 20}, ""c1"": {""bbLen"": 87, ""bbStd"": 2, ""fastEma"": 11, ""sensitivity"": 53, ""slowEma"": 40}, ""c2"": {""alma_offset1"": 0.85, ""alma_offset2"": 0.85, ""alma_sigma1"": 6, ""alma_sigma2"": 6, ""ama_smooth1"": 0.181, ""ama_smooth2"": 0.181, ""frama_t1_a"": 1, ""frama_t1_b"": 168, ""frama_t2_a"": 1, ""frama_t2_b"": 168, ""lsma_offset1"": 0, ""lsma_offset2"": 0, ""ma_len1"": 6, ""ma_len2"": 8, ""vol_factor1"": 0.287918, ""vol_factor2"": 0.82}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""fd_threshold"": 1.5, ""length"": 30}}","{""atr_len"": 50, ""atr_mult"": 1.15, ""be_pct"": 0.06, ""tp_mult"": 3.0, ""trail_arm"": 1.0, ""trail_mult"": 1.2}"
B|trend|dspo_signals|didi_index_signals|variance_volume_signals|ema_baseline,dspo_signals,didi_index_signals,variance_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 132}, ""c1"": {""len"": 2}, ""c2"": {""long_p"": 87, ""medium"": 8}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 66, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 50, ""atr_mult"": 1.1, ""be_pct"": 0.01, ""tp_mult"": 3.0, ""trail_arm"": 1.2, ""trail_mult"": 0.5}"
B|trend|laguerre_filter_signals|ssl_channel_signals|variance_volume_signals|sma_baseline,laguerre_filter_signals,ssl_channel_signals,variance_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 25}, ""c1"": {""alpha"": 0.2}, ""c2"": {""len"": 4}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 87, ""hline"": 0, ""lookback"": 25}}","{""atr_len"": 2, ""atr_mult"": 1.2, ""be_pct"": 0.05, ""tp_mult"": 2.85, ""trail_arm"": 1.15, ""trail_mult"": 1.5}"
B|trend|schaff_trend_cycle_signals|coral_signals|variance_volume_signals|vidya,schaff_trend_cycle_signals,coral_signals,variance_volume_signals,vidya,trend,B,"{""base"": {""vda_length"": 2}, ""c1"": {""cycleLen"": 10, ""d1"": 3, ""d2"": 4, ""lowerBand"": 2, ""macdFast"": 19, ""macdSlow"": 50, ""stc_midline"": 62, ""upperBand"": 75}, ""c2"": {""const_d"": 14, ""smooth_period"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 5, ""filter_lookback"": 5, ""hline"": 0, ""lookback"": 25}}","{""atr_len"": 50, ""atr_mult"": 1.45, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 2.0, ""trail_mult"": 1.0}"
B|trend|dspo_signals|laguerre_filter_signals|waddah_attar_explosion_volume_signals|sma_baseline,dspo_signals,laguerre_filter_signals,waddah_attar_explosion_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 20}, ""c1"": {""len"": 11}, ""c2"": {""alpha"": 0.106734}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bbLen"": 20, ""bbStd"": 2, ""fastEma"": 7, ""sensitivity"": 23, ""slowEma"": 14}}","{""atr_len"": 46, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 2.75, ""trail_arm"": 1.3, ""trail_mult"": 2.0}"
B|trend|parabolic_sar_signals|schaff_trend_cycle_signals|variance_volume_signals|wma_baseline,parabolic_sar_signals,schaff_trend_cycle_signals,variance_volume_signals,wma_baseline,trend,B,"{""base"": {""ma_length"": 37}, ""c1"": {""sar_increment"": 0.024657, ""sar_maximum"": 0.2, ""sar_start"": 0.016223}, ""c2"": {""cycleLen"": 8, ""d1"": 2, ""d2"": 3, ""lowerBand"": 25, ""macdFast"": 66, ""macdSlow"": 5, ""stc_midline"": 62, ""upperBand"": 75}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 38, ""atr_mult"": 1.05, ""be_pct"": 0.01, ""tp_mult"": 2.2, ""trail_arm"": 1.05, ""trail_mult"": 1.6}"
B|trend|center_of_gravity_signals|donchian_breakout_signals|variance_volume_signals|frama_baseline,center_of_gravity_signals,donchian_breakout_signals,variance_volume_signals,frama_baseline,trend,B,"{""base"": {""length"": 19}, ""c1"": {""length"": 10, ""signal_length"": 2}, ""c2"": {""length"": 20}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 4, ""atr_mult"": 1.15, ""be_pct"": 0.01, ""tp_mult"": 3.0, ""trail_arm"": 1.6, ""trail_mult"": 1.35}"
B|trend|donchian_breakout_signals|linreg_slope_signals|choppiness_index_volume_signals|ema_baseline,donchian_breakout_signals,linreg_slope_signals,choppiness_index_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 25}, ""c1"": {""length"": 25}, ""c2"": {""length"": 14, ""r2_floor"": 0.246569}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ci_threshold"": 61.8, ""length"": 26}}","{""atr_len"": 12, ""atr_mult"": 1.31, ""be_pct"": 0.06, ""tp_mult"": 1.5, ""trail_arm"": 1.0, ""trail_mult"": 1.25}"
B|trend|laguerre_filter_signals|polychromatic_momentum_signals|chaikin_volatility_volume_signals|tma_baseline,laguerre_filter_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 25}, ""c1"": {""alpha"": 0.106734}, ""c2"": {""len"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 12, ""roc_len"": 3}}","{""atr_len"": 50, ""atr_mult"": 1.2, ""be_pct"": 0.01, ""tp_mult"": 2.75, ""trail_arm"": 1.3, ""trail_mult"": 0.5}"
B|trend|rex_oscillator_signals|fisher_transform_signals|variance_volume_signals|frama_baseline,rex_oscillator_signals,fisher_transform_signals,variance_volume_signals,frama_baseline,trend,B,"{""base"": {""length"": 19}, ""c1"": {""almaOffset"": 0.85, ""almaSigma"": 6, ""framaFast"": 34, ""framaSlow"": 89, ""jurikPhase"": 1, ""jurikPower"": 1, ""lsOffset"": 0, ""modFBW"": 0.5, ""modFilter"": 0.8, ""sigAlmaOff"": 0.85, ""sigAlmaSig"": 6, ""sigFramaFast"": 34, ""sigFramaSlow"": 89, ""sigJurikPhase"": 1, ""sigJurikPower"": 1, ""sigLsOff"": 0, ""sigModFBW"": 0.5, ""sigModFilter"": 0.8, ""sigSmooth"": 220, ""sigVolAdj"": 10, ""smooth"": 26, ""volAdj"": 10}, ""c2"": {""length"": 19}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 5, ""filter_lookback"": 25, ""hline"": 0, ""lookback"": 200}}","{""atr_len"": 9, ""atr_mult"": 1.39, ""be_pct"": 0.08, ""tp_mult"": 2.8, ""trail_arm"": 1.5, ""trail_mult"": 0.5}"
B|trend|donchian_breakout_signals|dspo_signals|chaikin_volatility_volume_signals|sma_baseline,donchian_breakout_signals,dspo_signals,chaikin_volatility_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 37}, ""c1"": {""length"": 132}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 12, ""roc_len"": 4}}","{""atr_len"": 43, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 2.7, ""trail_arm"": 1.75, ""trail_mult"": 0.65}"
B|trend|kase_peak_oscillator_signals|kase_peak_oscillator_signals|variance_volume_signals|rma_baseline,kase_peak_oscillator_signals,kase_peak_oscillator_signals,variance_volume_signals,rma_baseline,trend,B,"{""base"": {""ma_length"": 200}, ""c1"": {""long_cycle"": 15, ""sharpness"": 40, ""short_cycle"": 8}, ""c2"": {""long_cycle"": 185, ""sharpness"": 40, ""short_cycle"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 132}}","{""atr_len"": 3, ""atr_mult"": 1.15, ""be_pct"": 0.01, ""tp_mult"": 2.8, ""trail_arm"": 1.95, ""trail_mult"": 0.9}"
B|trend|qqe_mod_signals|donchian_breakout_signals|variance_volume_signals|tma_baseline,qqe_mod_signals,donchian_breakout_signals,variance_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 25}, ""c1"": {""fast_factor"": 3.016846, ""rsi_len"": 5, ""rsi_period"": 2}, ""c2"": {""length"": 16}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 8, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.0, ""trail_mult"": 1.4}"
B|trend|didi_index_signals|ichimoku_signals|variance_volume_signals|ema_baseline,didi_index_signals,ichimoku_signals,variance_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 20}, ""c1"": {""long_p"": 20, ""medium"": 8}, ""c2"": {""base_len"": 26, ""conversion_len"": 17, ""displacement"": 32, ""span_b_len"": 64}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 25}}","{""atr_len"": 27, ""atr_mult"": 1.2, ""be_pct"": 0.01, ""tp_mult"": 2.65, ""trail_arm"": 2.0, ""trail_mult"": 1.25}"
B|trend|kalman_filter_signals|center_of_gravity_signals|variance_volume_signals|sma_baseline,kalman_filter_signals,center_of_gravity_signals,variance_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 200}, ""c1"": {""k"": 4, ""sharpness"": 3}, ""c2"": {""length"": 12, ""signal_length"": 2}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 2, ""hline"": 0, ""lookback"": 2}}","{""atr_len"": 44, ""atr_mult"": 1.15, ""be_pct"": 0.05, ""tp_mult"": 2.8, ""trail_arm"": 1.0, ""trail_mult"": 0.5}"
B|trend|relative_vigor_index_signals|dspo_signals|chaikin_volatility_volume_signals|fantail_vma,relative_vigor_index_signals,dspo_signals,chaikin_volatility_volume_signals,fantail_vma,trend,B,"{""base"": {""fma_adx_length"": 2, ""fma_ma_length"": 7, ""fma_weighting"": 43}, ""c1"": {""len"": 2}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 12}}","{""atr_len"": 44, ""atr_mult"": 1.49, ""be_pct"": 0.05, ""tp_mult"": 1.45, ""trail_arm"": 1.7, ""trail_mult"": 1.05}"
B|trend|vortex_signals|fx_sniper_ergodic_cci_signals|variance_volume_signals|sma_baseline,vortex_signals,fx_sniper_ergodic_cci_signals,variance_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 25}, ""c1"": {""period"": 14}, ""c2"": {""cci_length"": 14, ""ema1_length"": 4, ""ema2_length"": 3, ""trigger_length"": 22}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 16, ""hline"": 0, ""lookback"": 132}}","{""atr_len"": 3, ""atr_mult"": 1.3, ""be_pct"": 0.1, ""tp_mult"": 2.3, ""trail_arm"": 1.0, ""trail_mult"": 0.6}"
B|trend|dspo_signals|vortex_signals|variance_volume_signals|wma_baseline,dspo_signals,vortex_signals,variance_volume_signals,wma_baseline,trend,B,"{""base"": {""ma_length"": 20}, ""c1"": {""len"": 92}, ""c2"": {""period"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 37, ""atr_mult"": 1.5, ""be_pct"": 0.01, ""tp_mult"": 1.6, ""trail_arm"": 1.4, ""trail_mult"": 1.4}"
B|trend|mama_fama_signals|fx_sniper_ergodic_cci_signals|chaikin_volatility_volume_signals|frama_baseline,mama_fama_signals,fx_sniper_ergodic_cci_signals,chaikin_volatility_volume_signals,frama_baseline,trend,B,"{""base"": {""length"": 19}, ""c1"": {""fast_limit"": 0.405565, ""slow_limit"": 0.040557}, ""c2"": {""cci_length"": 26, ""ema1_length"": 6, ""ema2_length"": 3, ""trigger_length"": 4}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 100, ""roc_len"": 2}}","{""atr_len"": 50, ""atr_mult"": 1.29, ""be_pct"": 0.17, ""tp_mult"": 2.7, ""trail_arm"": 1.35, ""trail_mult"": 0.6}"
B|trend|coppock_curve_signals|parabolic_sar_signals|variance_volume_signals|mcginley_dynamic_index,coppock_curve_signals,parabolic_sar_signals,variance_volume_signals,mcginley_dynamic_index,trend,B,"{""base"": {""mci_length"": 40}, ""c1"": {""long_roc"": 92, ""short_roc"": 14, ""smooth_len"": 10}, ""c2"": {""sar_increment"": 0.02, ""sar_maximum"": 0.162226, ""sar_start"": 0.02}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 3}}","{""atr_len"": 31, ""atr_mult"": 1.36, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.0, ""trail_mult"": 1.95}"
B|trend|j_tpo_signals|chandelier_exit_signals|variance_volume_signals|frama_baseline,j_tpo_signals,chandelier_exit_signals,variance_volume_signals,frama_baseline,trend,B,"{""base"": {""length"": 19}, ""c1"": {""ema_len"": 200, ""len"": 75}, ""c2"": {""atr_mult"": 13, ""atr_period"": 22}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 57, ""hline"": 0, ""lookback"": 7}}","{""atr_len"": 5, ""atr_mult"": 1.42, ""be_pct"": 0.05, ""tp_mult"": 2.6, ""trail_arm"": 1.1, ""trail_mult"": 2.0}"
B|trend|relative_vigor_index_signals|donchian_breakout_signals|chaikin_volatility_volume_signals|tma_baseline,relative_vigor_index_signals,donchian_breakout_signals,chaikin_volatility_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 132}, ""c1"": {""len"": 19}, ""c2"": {""length"": 7}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 8, ""roc_len"": 6}}","{""atr_len"": 3, ""atr_mult"": 1.37, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.7, ""trail_mult"": 1.55}"
B|trend|waddah_attar_explosion_signals|schaff_trend_cycle_signals|variance_volume_signals|frama_baseline,waddah_attar_explosion_signals,schaff_trend_cycle_signals,variance_volume_signals,frama_baseline,trend,B,"{""base"": {""length"": 12}, ""c1"": {""bbLen"": 25, ""bbStd"": 2, ""fastEma"": 200, ""sensitivity"": 15, ""slowEma"": 6}, ""c2"": {""cycleLen"": 100, ""d1"": 3, ""d2"": 3, ""lowerBand"": 25, ""macdFast"": 230, ""macdSlow"": 94, ""stc_midline"": 27, ""upperBand"": 75}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 25, ""hline"": 0, ""lookback"": 200}}","{""atr_len"": 7, ""atr_mult"": 1.1, ""be_pct"": 0.05, ""tp_mult"": 2.55, ""trail_arm"": 1.75, ""trail_mult"": 0.95}"
B|trend|fisher_transform_signals|dspo_signals|fractal_dimension_volume_signals|ema_baseline,fisher_transform_signals,dspo_signals,fractal_dimension_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 20}, ""c1"": {""length"": 12}, ""c2"": {""len"": 5}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""fd_threshold"": 1.5, ""length"": 3}}","{""atr_len"": 3, ""atr_mult"": 1.47, ""be_pct"": 0.05, ""tp_mult"": 1.95, ""trail_arm"": 1.0, ""trail_mult"": 1.45}"
B|trend|parabolic_sar_signals|dpo_signals|chaikin_volatility_volume_signals|sma_baseline,parabolic_sar_signals,dpo_signals,chaikin_volatility_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 37}, ""c1"": {""sar_increment"": 0.00304, ""sar_maximum"": 0.2, ""sar_start"": 0.02}, ""c2"": {""len"": 142}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 43, ""roc_len"": 3}}","{""atr_len"": 50, ""atr_mult"": 1.33, ""be_pct"": 0.05, ""tp_mult"": 1.9, ""trail_arm"": 1.95, ""trail_mult"": 0.65}"
B|trend|relative_vigor_index_signals|parabolic_sar_signals|chaikin_volatility_volume_signals|kama_baseline,relative_vigor_index_signals,parabolic_sar_signals,chaikin_volatility_volume_signals,kama_baseline,trend,B,"{""base"": {""fast_length"": 20, ""length"": 5, ""slow_length"": 3}, ""c1"": {""len"": 66}, ""c2"": {""sar_increment"": 0.024657, ""sar_maximum"": 0.106734, ""sar_start"": 0.024657}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 10, ""roc_len"": 3}}","{""atr_len"": 15, ""atr_mult"": 1.2, ""be_pct"": 0.02, ""tp_mult"": 2.3, ""trail_arm"": 1.0, ""trail_mult"": 1.3}"
B|trend|center_of_gravity_signals|vortex_signals|variance_volume_signals|kama_baseline,center_of_gravity_signals,vortex_signals,variance_volume_signals,kama_baseline,trend,B,"{""base"": {""fast_length"": 2, ""length"": 10, ""slow_length"": 37}, ""c1"": {""length"": 10, ""signal_length"": 3}, ""c2"": {""period"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 7, ""hline"": 0, ""lookback"": 200}}","{""atr_len"": 28, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 2.55, ""trail_arm"": 1.0, ""trail_mult"": 1.2}"
B|trend|kuskus_starlight_signals|relative_vigor_index_signals|chaikin_volatility_volume_signals|fantail_vma,kuskus_starlight_signals,relative_vigor_index_signals,chaikin_volatility_volume_signals,fantail_vma,trend,B,"{""base"": {""fma_adx_length"": 2, ""fma_ma_length"": 7, ""fma_weighting"": 5}, ""c1"": {""index_smooth"": 0.7, ""price_smooth"": 0.7, ""range_periods"": 7}, ""c2"": {""len"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 22}}","{""atr_len"": 50, ""atr_mult"": 1.05, ""be_pct"": 0.03, ""tp_mult"": 1.3, ""trail_arm"": 1.5, ""trail_mult"": 1.1}"
B|trend|volatility_quality_signals|dpo_signals|variance_volume_signals|sma_baseline,volatility_quality_signals,dpo_signals,variance_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 20}, ""c1"": {""atr_pct"": 0.075, ""smooth"": 10}, ""c2"": {""len"": 94}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 57, ""hline"": 0, ""lookback"": 25}}","{""atr_len"": 50, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 2.6, ""trail_arm"": 1.25, ""trail_mult"": 1.5}"
B|trend|coppock_curve_signals|kuskus_starlight_signals|variance_volume_signals|wma_baseline,coppock_curve_signals,kuskus_starlight_signals,variance_volume_signals,wma_baseline,trend,B,"{""base"": {""ma_length"": 25}, ""c1"": {""long_roc"": 3, ""short_roc"": 11, ""smooth_len"": 10}, ""c2"": {""index_smooth"": 7.0, ""price_smooth"": 4.605533, ""range_periods"": 85}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 43, ""filter_lookback"": 87, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 31, ""atr_mult"": 1.1, ""be_pct"": 0.01, ""tp_mult"": 1.8, ""trail_arm"": 1.0, ""trail_mult"": 1.65}"
B|trend|lemantrend_signals|hieken_ashi_smoothed_signals|chaikin_volatility_volume_signals|frama_baseline,lemantrend_signals,hieken_ashi_smoothed_signals,chaikin_volatility_volume_signals,frama_baseline,trend,B,"{""base"": {""length"": 10}, ""c1"": {""fast_period"": 28, ""medium_period"": 210, ""slow_period"": 16, ""smooth"": 2}, ""c2"": {""alma_offset1"": 0.85, ""alma_offset2"": 0.85, ""alma_sigma1"": 6, ""alma_sigma2"": 6, ""ama_smooth1"": 0.181, ""ama_smooth2"": 0.181, ""frama_t1_a"": 1, ""frama_t1_b"": 168, ""frama_t2_a"": 1, ""frama_t2_b"": 168, ""lsma_offset1"": 0, ""lsma_offset2"": 0, ""ma_len1"": 8, ""ma_len2"": 8, ""vol_factor1"": 1.010934, ""vol_factor2"": 0.665127}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 79}}","{""atr_len"": 5, ""atr_mult"": 1.47, ""be_pct"": 0.05, ""tp_mult"": 2.65, ""trail_arm"": 1.95, ""trail_mult"": 0.5}"
B|trend|rex_oscillator_signals|relative_vigor_index_signals|variance_volume_signals|fantail_vma,rex_oscillator_signals,relative_vigor_index_signals,variance_volume_signals,fantail_vma,trend,B,"{""base"": {""fma_adx_length"": 2, ""fma_ma_length"": 26, ""fma_weighting"": 2}, ""c1"": {""almaOffset"": 0.85, ""almaSigma"": 6, ""framaFast"": 34, ""framaSlow"": 89, ""jurikPhase"": 1, ""jurikPower"": 1, ""lsOffset"": 0, ""modFBW"": 0.5, ""modFilter"": 0.8, ""sigAlmaOff"": 0.85, ""sigAlmaSig"": 6, ""sigFramaFast"": 34, ""sigFramaSlow"": 89, ""sigJurikPhase"": 1, ""sigJurikPower"": 1, ""sigLsOff"": 0, ""sigModFBW"": 0.5, ""sigModFilter"": 0.8, ""sigSmooth"": 22, ""sigVolAdj"": 10, ""smooth"": 92, ""volAdj"": 10}, ""c2"": {""len"": 12}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 200}}","{""atr_len"": 6, ""atr_mult"": 1.05, ""be_pct"": 0.05, ""tp_mult"": 2.85, ""trail_arm"": 1.45, ""trail_mult"": 0.5}"
