sep,residual,median_run,diagonal,trending,range,drifting,run_trending,run_drifting,run_range,N,lookback,surr,corr
0.42381018961316075,0.020001242956579346,16.0,0.9582493862318561,0.24290530899559257,0.6293215520065953,0.12777313899781215,13.0,11.0,24.0,2,12.0,0.4279099660831401,-0.004099776469979333
0.47912949551903694,0.01991837918462047,14.0,0.9481042490131069,0.2805508290971349,0.5909259043975439,0.12852326650532123,11.0,10.0,20.0,3,18.0,0.45791239003986695,0.021217105479169995
0.48274908958698537,0.019721577726218076,14.0,0.9461166671311529,0.2815511411665258,0.5890743871513102,0.12937447168216398,11.0,10.0,19.0,4,24.0,0.46582031630674425,0.016928773280241116
0.47037516554150804,0.019887305270135935,15.0,0.9489616077595376,0.28853145079472436,0.5862254819073385,0.1252430672979371,12.0,12.0,20.0,5,29.0,0.4581882655778978,0.01218689996361022
0.459201581536724,0.02050878355982766,16.0,0.9532356277817675,0.28428365974366565,0.5966223932997758,0.11909394695655852,14.0,13.0,22.0,6,35.0,0.46336616394272107,-0.0041645824059970415
0.46434456168228866,0.021026682134570818,18.0,0.9565423961179295,0.28839113782085196,0.5978056160992022,0.11380324607994582,15.0,14.0,24.0,7,41.0,0.4663676353757257,-0.0020230736934370164
0.4570459882758461,0.022393934371892632,19.0,0.9595253512762935,0.2816214956241656,0.5984933567841325,0.11988514759170181,16.0,14.0,25.0,8,47.0,0.47029635006278114,-0.013250361786935061
0.4566838637908661,0.02456910838581372,20.0,0.9618881518193133,0.2828229197638364,0.5983413328802617,0.11883574735590197,17.0,15.0,26.0,9,52.0,0.46972023802503415,-0.013036374234168036
0.4390634116087786,0.026071014252568747,21.0,0.9639902495592734,0.2916290001807991,0.5937443500271199,0.114626649792081,18.0,16.0,28.0,10,58.0,0.4617329293466502,-0.022669517737871625
0.43773595654208697,0.027645425919787914,22.0,0.9661254492284824,0.28965113182423435,0.5954940079893475,0.1148548601864181,19.0,16.0,30.0,11,63.0,0.44769766942772266,-0.009961712885635687
0.4413724411813468,0.029675588332780944,23.0,0.9675937931355473,0.2905560477801855,0.5975085131139316,0.11193543910588286,21.0,17.0,30.0,12,68.0,0.4381075946613021,0.003264846520044662
0.4415414457577057,0.0319543420616506,24.0,0.9694339929371483,0.2956055596571759,0.5999743202901807,0.10442012005264341,22.0,17.0,32.0,13,73.0,0.42927773226668686,0.012263713491018846
0.43372001231159285,0.03311443486907528,26.0,0.97108931323761,0.29661371013530163,0.5979731539310316,0.10541313593366686,23.0,19.0,33.0,14,79.0,0.41818086384853004,0.015539148463062813
0.42437333298933677,0.0337566291017567,27.0,0.9724754462160685,0.2991156134426757,0.5973843597577316,0.10350002679959265,24.0,19.0,35.0,15,84.0,0.41462307436777,0.009750258621566754
0.405592990881639,0.035538200198873104,28.0,0.973553201876024,0.3024497116406946,0.5977360841128522,0.09981420424645324,25.0,19.0,37.5,16,90.0,0.4052716038965528,0.0003213869850862139
0.3837627629072382,0.038127693072588675,29.0,0.9744081072539518,0.3046423225611923,0.5967177454960533,0.09863993194275437,26.0,19.0,39.0,17,95.0,0.39271668711404845,-0.008953924206810238
0.36135463414337254,0.04089327146171695,30.0,0.9753981982270267,0.30270206056417126,0.5965052486068513,0.10079269082897749,27.0,19.0,40.0,18,101.0,0.3805411261824862,-0.019186492039113656
0.3535092386740317,0.05089907192575405,31.0,0.9761149682474086,0.305423987776929,0.5960275019098549,0.0985485103132162,28.0,19.0,40.0,19,106.0,0.37161851037044713,-0.018109271696415408
0.3454005658218293,0.053447132913490236,31.0,0.9767897256903754,0.3048673728442616,0.5940098923225072,0.1011227348332312,28.0,19.0,42.0,20,111.0,0.3612683366431858,-0.015867770821356486
0.3352167714073096,0.05775604905535303,32.0,0.9772759177263366,0.3065473573124615,0.5919773986456776,0.10147524404186087,30.0,19.0,43.0,21,116.0,0.34894280378796705,-0.013726032380657449
0.31420992278102133,0.0607184289028837,33.0,0.9779892258666124,0.3069958756974923,0.5917932996625571,0.1012108246399506,30.0,19.0,44.5,22,121.0,0.34081902336141995,-0.026609100580398615
0.3025898197072947,0.06369116672190922,34.0,0.9786365128780226,0.30808119918137067,0.5906300127219426,0.10128878809668676,31.0,19.0,46.0,23,126.0,0.33216148412766555,-0.029571664420370847
0.2980248912828325,0.06595956247928403,35.0,0.9792988495559484,0.3052807842441448,0.5906560503903477,0.10406316536550746,32.0,20.0,47.0,24,133.0,0.3251437693317337,-0.02711887804890123
0.29302924829318977,0.07083816705336432,36.0,0.979676136960095,0.3070285937238727,0.5922189398584249,0.10075246641770247,32.0,22.0,48.0,25,138.0,0.31438932815126275,-0.021360079858072978
0.2994414338989221,0.07418379184620483,37.0,0.9803425422739672,0.3076458347318252,0.5923899666599539,0.0999641986082209,33.0,20.0,49.0,26,144.0,0.3030056035008302,-0.0035641696019081404
0.29234635152335187,0.07692865429234341,38.0,0.9808349019745097,0.30645106994176197,0.5939383058226826,0.0996106242355555,34.5,18.0,51.0,27,149.0,0.2988198560432259,-0.0064735045198740515
0.28163785029546895,0.07825447464368573,39.0,0.9813007436378295,0.30830776837586665,0.5939835260537819,0.0977087055703514,35.0,19.0,51.0,28,154.0,0.2890663779316468,-0.007428527636177851
0.271075990561801,0.07932134570765659,40.0,0.9816392204175151,0.30713498188691135,0.5923880026100848,0.10047701550300385,36.0,20.0,52.0,29,158.0,0.2814871834413527,-0.010411192879551723
0.25455935222876513,0.07973566456745107,41.0,0.9820678021784311,0.3061814825653378,0.5946469171375188,0.09917160029714338,36.0,21.0,54.0,30,165.0,0.27316755960180794,-0.018608207373042807
