cfg,windows,classifier,n,mfe,mae,bars,eff,fav20,ratio
established,10/24/80,three-state weighted (ribbon.py sweep),2276,0.01266118913334223,-0.014756415544400341,9.767135325131811,0.20838871933328398,0.4648506151142355,0.8580125095587191
transition starting,10/24/80,three-state weighted (ribbon.py sweep),1745,0.014853264855248866,-0.013921913420786214,10.294555873925502,0.21908927091699432,0.5065902578796562,1.0668982349130323
transition confirming,10/24/80,three-state weighted (ribbon.py sweep),3961,0.014431747806230162,-0.014750210458017146,10.136834132794748,0.21553530827050427,0.48422115627366824,0.9784096198021438
unresolved,10/24/80,three-state weighted (ribbon.py sweep),3403,0.013878931506635403,-0.015510614824391583,9.94093446958566,0.21668570760251016,0.4725242433147223,0.8948021508992513
