,crisis_excluded,all_in
total_R,79.53,87.94
years,10.14,10.14
avg_annual_R,7.84,8.67
max_dd_R,1.47,1.47
sortino,4.83,4.78
sharpe,2.67,2.8
calmar,54.23,59.97
worst_month_R,-1.2,-1.09
worst_month,2014-11-30,2019-11-30
best_month_R,4.92,5.12
n_trades,1778,1908
days_with_any_position,3491,3607
days_2plus,3112,3277
pct_days_2plus,89.1,90.9
max_simultaneous,9,10
mean_simultaneous_when_live,3.65,3.81
mean_pairwise_corr,0.0515,0.0479
max_pairwise_corr,0.6302,0.5671
