indicator,parameter,default,grid_points,response_R,response_max_R,n_combos,note,n_measurements,rank_in_indicator,in_cap6,is_top1
fx_sniper_ergodic_cci_exit,trigger_length,5.0,10,0.036374089339205,0.0573837311837912,8,,1,2,True,False
fx_sniper_ergodic_cci_exit,ema1_length,5.0,10,0.0282309796008896,0.0616572269103326,8,,1,3,True,False
fx_sniper_ergodic_cci_exit,ema2_length,3.0,8,0.0257164820719307,0.0573071138474603,8,,1,4,True,False
fx_sniper_ergodic_cci_signals,trigger_length,5.0,10,0.07828218462330425,0.1766934813703571,16,,2,1,True,True
fx_sniper_ergodic_cci_signals,cci_length,14.0,12,0.0757811708160481,0.1471828303370154,16,,2,2,True,False
fx_sniper_ergodic_cci_signals,ema1_length,5.0,10,0.06326184934560039,0.1577719821851275,16,,2,3,True,False
fx_sniper_ergodic_cci_signals,ema2_length,3.0,8,0.0540972502335504,0.1710437093372527,16,,2,4,True,False
glitch_index_exit,length,30.0,13,0.0441281015393928,0.0587141887092505,8,,1,1,True,True
glitch_index_exit,smooth,3.0,8,0.0290821222694826,0.0713387244529032,8,,1,2,True,False
glitch_index_exit,multiplier,1.0,6,0.0250716288462992,0.0573273274653928,8,,1,3,True,False
glitch_index_signals,length,30.0,13,0.15517245698412468,0.2618416076791314,16,,2,1,True,True
glitch_index_signals,smooth,3.0,8,0.08729753059512925,0.1871697072026321,16,,2,2,True,False
glitch_index_signals,multiplier,1.0,6,0.0,0.0,0,,2,3,True,False
halftrend_exit,amplitude,50.0,13,0.0121682819740142,0.0214176766398315,8,,1,1,True,True
halftrend_signals,amplitude,50.0,13,0.1153423927282036,0.2400110891358521,16,,2,1,True,True
hieken_ashi_smoothed_exit,ma_len1,8.0,11,0.0308661045233506,0.0448993516220149,8,,1,1,True,True
hieken_ashi_smoothed_exit,ma_len2,8.0,11,0.0308661045233506,0.0448993516220149,8,,1,2,True,False
hieken_ashi_smoothed_signals,ma_len1,8.0,11,0.1102247944801232,0.2416262320694331,16,,2,1,True,True
hieken_ashi_smoothed_signals,ma_len2,8.0,11,0.1102247944801232,0.2416262320694331,16,,2,2,True,False
hieken_ashi_smoothed_signals,vol_factor1,0.82,13,0.10101258077600715,0.2199560114503299,16,,2,3,True,False
hieken_ashi_smoothed_signals,vol_factor2,0.82,13,0.10101258077600715,0.2199560114503299,16,,2,4,True,False
hieken_ashi_smoothed_signals,alma_offset1,0.85,13,0.0,0.0,16,,2,5,True,False
hieken_ashi_smoothed_signals,alma_offset2,0.85,13,0.0,0.0,16,,2,6,True,False
hieken_ashi_smoothed_signals,alma_sigma1,6.0,10,0.0,0.0,16,,2,7,False,False
hieken_ashi_smoothed_signals,alma_sigma2,6.0,10,0.0,0.0,16,,2,8,False,False
hieken_ashi_smoothed_signals,ama_smooth1,0.181,13,0.0,0.0,16,,2,9,False,False
hieken_ashi_smoothed_signals,ama_smooth2,0.181,13,0.0,0.0,16,,2,10,False,False
hieken_ashi_smoothed_signals,frama_t1_a,1.0,6,0.0,0.0,16,,2,11,False,False
hieken_ashi_smoothed_signals,frama_t1_b,168.0,13,0.0,0.0,16,,2,12,False,False
