family,n_built,built_share,real_survivors,real_share,null_survivors,null_share
cross-sectional,966,0.5500074017559242,3,2.7027027027027026,0,0.0
multi-timeframe,10403,5.923112836922236,6,5.405405405405405,3,1.8633540372670807
own-price,1080,0.6149151075532072,1,0.9009009009009009,0,0.0
regime-v5,8065,4.591935502237607,3,2.7027027027027026,0,0.0
trend-duration,107040,60.94491954860676,88,79.27927927927928,138,85.71428571428571
trend-nonmomentum,48080,27.37510960292426,10,9.00900900900901,20,12.422360248447205
