budget,draw,median_year_pct,total_return_pct,max_dd_pct,trades
team1,0,-1.121815216096607,-6.533497382293697,7.52322200682577,179225
team2,0,-1.6827228241449113,-9.800246073440544,11.284833010238652,179225
team1,1,-1.1375556629084083,-4.487145598202633,5.839632306824821,176024
team2,1,-1.7063334943626125,-6.730718397303949,8.759448460237223,176024
team1,2,-1.0304227035181142,-5.268933671776513,6.082754992094261,169406
team2,2,-1.5456340552771712,-7.90340050766477,9.124132488141392,169406
team1,3,-1.4388640597135107,-6.511347755781289,7.979009590824812,169755
team2,3,-2.158296089570266,-9.767021633671934,11.968514386237203,169755
team1,4,-0.7779451704991823,-4.45860411214394,5.940660150001975,170098
team2,4,-1.1669177557487735,-6.687906168215911,8.910990225002966,170098
team1,5,-0.32642593673762105,-6.1543020433933995,6.868945643450762,175483
team2,5,-0.48963890510643177,-9.231453065090097,10.303418465176152,175483
team1,6,-1.0864864285631437,-6.23674397090277,7.875037632206143,173890
team2,6,-1.6297296428447152,-9.355115956354155,11.812556448309207,173890
team1,7,-0.4291274054718683,-2.4156425078389883,5.568266098295469,170042
team2,7,-0.643691108207802,-3.6234637617584817,8.352399147443204,170042
team1,8,-1.3182690177230598,-4.702023690260709,6.207568605961179,176707
team2,8,-1.9774035265845897,-7.053035535391064,9.311352908941764,176707
team1,9,-1.6000457277514193,-6.830788300198522,7.8493913950009215,168870
team2,9,-2.4000685916271296,-10.246182450297784,11.774087092501386,168870
team1,10,0.40685773124872776,0.18999278661964647,3.471299369923032,174841
team2,10,0.6102865968730916,0.2849891799294695,5.206949054884547,174841
team1,11,-1.3499765223837723,-5.504219067507472,6.481707641701554,173387
team2,11,-2.024964783575658,-8.256328601261206,9.722561462552346,173387
team1,12,-0.5607374545575289,-1.4964790663673386,4.732367861145676,177423
team2,12,-0.8411061818362934,-2.244718599551009,7.098551791718507,177423
team1,13,-0.7647307705164721,-4.958132199379191,5.93285419278792,170475
team2,13,-1.147096155774708,-7.437198299068787,8.899281289181877,170475
team1,14,-2.553630077380464,-6.665607650514701,7.426319465212735,166070
team2,14,-3.8304451160706963,-9.998411475772052,11.139479197819105,166070
team1,15,-1.4242640856786601,-4.682300811066716,5.821693995025627,170188
team2,15,-2.1363961285179895,-7.023451216600074,8.732540992538437,170188
team1,16,-1.6823990602427992,-6.135300586788729,7.353989701679366,172639
team2,16,-2.523598590364198,-9.202950880183094,11.030984552519044,172639
team1,17,-0.48474828805784226,-1.8624291453548505,4.649746648058897,171333
team2,17,-0.7271224320867635,-2.7936437180322766,6.974619972088345,171333
team1,18,-1.2111086047327095,-6.006787259776105,7.174743515551045,177346
team2,18,-1.816662907099064,-9.010180889664156,10.762115273326566,177346
team1,19,-1.0166359840428838,-3.2023370303503125,5.279989274354294,174820
team2,19,-1.524953976064326,-4.80350554552547,7.919983911531446,174820
team1,20,-1.6317382519784895,-4.788481290071603,5.732462602001294,173250
team2,20,-2.447607377967735,-7.182721935107406,8.59869390300195,173250
team1,21,-1.0050874679612476,-4.918833830996451,6.002341361400877,184682
team2,21,-1.5076312019418714,-7.378250746494677,9.003512042101312,184682
team1,22,-1.2202459771019178,-2.3840372004242387,4.92539366865668,167956
team2,22,-1.8303689656528763,-3.5760558006363574,7.388090502985021,167956
team1,23,-1.247545484505665,-5.740029309074371,6.991860692311467,175805
team2,23,-1.8713182267584976,-8.61004396361156,10.487791038467185,175805
team1,24,-1.2241103277401257,-4.919115133512951,6.126669977867247,173349
team2,24,-1.8361654916101893,-7.378672700269426,9.190004966800878,173349
