c1,c2,vol,base,exit_ind,slice,mode,ex_n,ex_total_R,ex_expectancy_R,ex_win_rate,ex_profit_factor,ex_sharpe,ex_sortino,ex_max_dd_R,ex_ulcer_R,ex_calmar,ex_max_trade_share,cr_n,cr_total_R,cr_expectancy_R,cr_win_rate,cr_profit_factor,cr_sharpe,cr_sortino,cr_max_dd_R,cr_ulcer_R,cr_calmar,cr_max_trade_share,all_total_R,crisis_share_of_total_R,risk_atr_len,risk_atr_mult,risk_tp_mult,risk_trail_mult,risk_trail_arm,risk_be_pct
adx_dmi_signals,aroon_signals,variance_volume_signals,wma_baseline,j_tpo_exit,trend,C,130,21.082089091289227,0.1621699160868402,0.2538461538461538,1.8062675409016984,3.2910850173449564,16.481634847688657,8.501915547007007,2.7997958660117725,2.479686956983584,0.1390688687972932,10,2.1186248561726213,0.2118624856172621,0.2,2.0808802354105835,3.2155363678985487,19.314386031207533,1.0000000000000018,0.5408125965844695,2.1186248561726178,1.3407856289800064,23.20071394746185,0.0913172267444122,45,1.05,2.6,0.5,1.85,0.01
adx_dmi_signals,aroon_signals,variance_volume_signals,wma_baseline,price_momentum_oscillator_exit,trend,C,128,11.730997626355794,0.0916484189559046,0.1953125,1.392396991981317,1.810114608228771,9.506304119051928,6.463587936098911,2.832469517068649,1.8149358749864897,0.2279340137330227,14,-1.8092247648410495,-0.1292303403457892,0.1428571428571428,0.6088426982557795,-3.0585329046025507,-11.927577367195928,3.0000000000000098,1.362245276689193,-0.6030749216136813,-0.8152663111095496,9.921772861514745,-0.1823489400627981,7,1.0,2.95,0.5,1.75,0.05
adx_dmi_signals,aroon_signals,variance_volume_signals,wma_baseline,supertrend_exit,trend,C,124,14.49961597096718,0.1169323868626385,0.2096774193548387,1.511835030148191,2.123866563245675,12.248946953247216,7.3078026668620115,3.0460278165685604,1.9841280111075237,0.3263605471047709,14,-1.7156475624067702,-0.1225462544576264,0.1428571428571428,0.6290742398089824,-2.8325445008466916,-11.310656051762418,3.0000000000000098,1.362245276689193,-0.5718825208022549,-0.8597336844234041,12.783968408560405,-0.1342030508506214,7,1.0,2.95,2.0,1.75,0.05
adx_dmi_signals,aroon_signals,variance_volume_signals,wma_baseline,volatility_quality_exit,trend,C,126,19.786406530494556,0.1570349724642425,0.238095238095238,1.7160524355366844,2.956203310345104,15.338521078228448,9.508427996142007,3.5793660816869437,2.0809335190341436,0.153727796645911,10,1.866214820450068,0.1866214820450068,0.2,1.926734608539019,3.021854772174097,17.188277576254656,1.0000000000000029,0.5577734745754962,1.8662148204500633,1.3690642858088902,21.652621350944617,0.0861888632421243,50,1.0,2.65,0.6,2.0,0.05
adx_dmi_signals,bears_bulls_impulse_signals,variance_volume_signals,frama_baseline,j_tpo_exit,trend,C,130,7.169514472929238,0.0551501113302249,0.3153846153846154,1.2439409762143532,1.2864004725015603,5.373496291270892,5.818007627952898,2.840433780112973,1.2322971937133531,0.4609615938091374,16,150.06729780497068,9.379206112810667,0.25,30.531568323169843,3.891871684328049,832.9737548200757,2.6868120418392323,1.2909592535764236,55.8532921053322,1.018403823366158,157.2368122778999,0.9544030792213096,3,1.0,1.85,0.95,1.1,0.03
adx_dmi_signals,center_of_gravity_signals,efficiency_ratio_volume_signals,frama_baseline,ichimoku_exit,trend,C,138,11.849892503174026,0.0858687862548842,0.3478260869565217,1.3794526489758223,1.875539579799714,8.022084251228813,10.28240163657975,4.524701868865819,1.1524440419656348,0.2654222640694743,2,318.08735495865756,159.04367747932878,1.0,inf,11.313893436665367,,0.0,0.0,,0.9960702618934268,329.9372474618315,0.9640844051578482,2,1.0,2.5,1.95,1.7,0.05
adx_dmi_signals,center_of_gravity_signals,efficiency_ratio_volume_signals,frama_baseline,qqe_mod_exit,trend,C,138,8.704667206001687,0.0630772985942151,0.3405797101449275,1.2787374677775,1.4772723304654358,5.8928444867115894,10.886291906339729,5.184212726517026,0.7995989158560453,0.2480429605532163,2,318.08735495865756,159.04367747932878,1.0,inf,11.313893436665367,,0.0,0.0,,0.9960702618934268,326.79202216465916,0.973363281183114,2,1.0,2.5,1.95,1.7,0.01
adx_dmi_signals,donchian_breakout_signals,variance_volume_signals,wma_baseline,parabolic_sar_exit,trend,C,134,21.000587366332365,0.1567208012412863,0.2238805970149253,1.710231000589711,2.9063410735640174,16.29145572582004,7.5274132860200496,2.7731831328867655,2.7898810080396093,0.1391922392199232,14,-2.151656917548271,-0.1536897798248765,0.1428571428571428,0.5638635012395072,-3.658680249769686,-18.553181673324985,3.4917643050146667,1.6143710758018075,-0.6162090936258751,-0.697137163349066,18.848930448784092,-0.1141527326123202,11,1.0,3.0,0.5,2.0,0.06
adx_dmi_signals,dspo_signals,variance_volume_signals,wma_baseline,coral_exit,trend,C,188,1.181432020716279,0.0062842128761504,0.2393617021276596,1.0226514375745803,0.1300155087210525,0.6886258404249301,10.338950236125786,4.8321472333635995,0.1142700171423772,2.205128087486408,12,159.80830113293715,13.317358427744765,0.8333333333333334,1297.4012662475573,4.8070980651818305,,0.1232707073755818,0.0419098414327356,1296.4012662475632,0.95703793976606,160.98973315365345,0.992661444940786,3,1.0,2.85,0.5,1.55,0.17
adx_dmi_signals,dspo_signals,variance_volume_signals,wma_baseline,donchian_breakout_exit,trend,C,132,19.389462112633304,0.1468898644896462,0.2575757575757575,1.70698331601969,3.039312012951244,15.452009596646247,8.727448445806791,2.894010619690161,2.221664468490697,0.1548798346080467,14,3.1222262059790715,0.2230161575699336,0.2857142857142857,1.9267077251958145,3.641394358849256,21.686324277985925,1.7045188256944872,0.8160228922254352,1.83173465667471,0.7951322628914851,22.51168831861237,0.1386935605090825,50,1.05,2.55,0.5,1.9,0.05
adx_dmi_signals,dspo_signals,variance_volume_signals,wma_baseline,glitch_index_exit,trend,C,132,19.223007973578284,0.1456288482846839,0.25,1.6883643693296555,2.9574401949983335,15.25164824571538,8.70363892199727,2.98811608419777,2.208617354862313,0.1562209561204604,14,3.169845253598126,0.2264175181141518,0.2857142857142857,1.9408415311354792,3.6826669142591753,22.01707613270359,1.7045188256944872,0.8160228922254352,1.8596716010494097,0.7831873766081257,22.39285322717641,0.1415561126328975,50,1.05,2.6,0.5,1.95,0.01
adx_dmi_signals,dspo_signals,variance_volume_signals,wma_baseline,vortex_exit,trend,C,128,22.623504224517376,0.176746126754042,0.25,1.7674291724126223,3.1768807852840655,17.725812105200394,7.714078702155945,2.5309555283554728,2.93275517375711,0.1463210145478268,12,-0.5599907041592429,-0.0466658920132702,0.1666666666666666,0.8486282507917995,-0.959906182544138,-4.2678177525685985,1.999999999999999,0.9571281042747164,-0.2799953520796216,-2.9276366293895606,22.063513520358136,-0.0253808489587361,36,1.0,3.0,0.65,1.0,0.08
adx_dmi_signals,ehlers_reverse_ema_signals,variance_volume_signals,wma_baseline,coral_exit,trend,C,130,16.175180205364246,0.1244244631181865,0.2076923076923077,1.5747063183100578,2.451176563811186,13.102571992065297,6.463587936098916,2.70851690248494,2.502507951508855,0.1653084132676978,14,-2.2193701278124025,-0.1585264377008859,0.1428571428571428,0.5592515756015419,-3.7351916551669806,-20.507306451756143,3.6206293084680303,1.6937515867228723,-0.6129791090796499,-0.6646029796994197,13.955810077551844,-0.1590283986009738,7,1.0,2.95,0.5,2.0,0.05
adx_dmi_signals,ehlers_reverse_ema_signals,variance_volume_signals,wma_baseline,glitch_index_exit,trend,C,126,11.831433044571952,0.0939002622585075,0.238095238095238,1.3817045102815,1.8997746824150636,8.628390390848047,6.9372535022041495,2.9504838803999767,1.7054923884232849,0.223294317369766,6,-1.900598765540165,-0.3167664609233608,0.0,0.0,-35.245568015977774,-35.245568015977774,1.6592385287122404,0.8937305892901508,-1.1454644601432007,0.2630749893483668,9.930834279031778,-0.1913835949868923,39,1.0,2.55,0.6,1.95,0.01
adx_dmi_signals,fx_sniper_ergodic_cci_signals,efficiency_ratio_volume_signals,frama_baseline,bears_bulls_impulse_exit,trend,C,120,16.521031283389863,0.1376752606949155,0.4333333333333333,1.7036997374245892,3.353867796092497,13.231895803501036,3.67704514802673,1.8209949726788577,4.493018338993146,0.1219721454138955,4,322.17375412932734,80.54343853233183,1.0,inf,8.099072003043904,,0.0,0.0,,0.985005024233058,338.6947854127172,0.9512214772859344,2,1.0,2.05,0.5,1.0,0.2
adx_dmi_signals,fx_sniper_ergodic_cci_signals,efficiency_ratio_volume_signals,frama_baseline,chandelier_exit_exit,trend,C,120,19.82114174919878,0.1651761812433231,0.425,1.84426522806661,3.477574260728099,15.874994595253163,3.6556018376597095,1.7030087786113095,5.422128182835179,0.162376885945725,4,322.5116732270084,80.6279183067521,1.0,inf,8.112285285374147,,0.0,0.0,,0.9838108474238348,342.33281497620715,0.942099790373364,2,1.0,2.5,0.65,1.7,0.05
