item,is_sep,oos_sep,surrogate,corrected,hi_share,hi_run,hi_diag,coverage,min_share,median_run,diagonal,cells
trend,0.10557625098097465,0.05213629474219384,0.09720723038066816,-0.045070935638474315,0.42802156536666486,28.0,0.9796909769016203,,,,,
chop,0.1505667310356734,0.1551588808596438,0.1731168711960935,-0.01795799033644971,0.5565420310069202,24.0,0.9814104882459312,,,,,
grid IS,,0.06364354617653799,,,,,,0.9616194710975895,0.026092549455898204,12.5,0.9352503305175404,12.0
grid OOS,,0.07164852048968139,,,,,,1.0,0.03212005793680597,12.0,0.9356497425591129,12.0
grid null,,0.07164852048968139,0.0786977663306876,-0.007049245841006219,,,,,,,,
