,,n,mfe,mae,bars,eff,fav20,ratio
trending (straight+large),young (<= typical),1011,0.014801968821133785,-0.015320944806624211,10.2324431256182,0.2151600593991444,0.4886251236399604,0.9661263719672144
trending (straight+large),old (> typical),1964,0.014505322254329234,-0.016101520271350946,9.955193482688392,0.20775355544577725,0.4638492871690428,0.9008666268698994
drifting (straight+small),young (<= typical),1211,0.013219652184973653,-0.015007157917059182,9.617671345995046,0.21605968480770185,0.44838976052848883,0.8808897899279379
drifting (straight+small),old (> typical),1771,0.012596862412700447,-0.015608493769242573,10.193111236589498,0.21823386331641106,0.46696781479390176,0.8070517629012534
volatile chop (choppy+large),young (<= typical),1021,0.015135007827234495,-0.015738815897615447,10.096963761018609,0.2218429896634203,0.4877571008814887,0.9616357371285833
volatile chop (choppy+large),old (> typical),1340,0.015234155120237961,-0.014530426933540284,10.23358208955224,0.22281220230268348,0.5082089552238805,1.0484313496028996
dead (choppy+small),young (<= typical),1343,0.013725137609270415,-0.01497973320304192,10.169769173492181,0.22374935255050338,0.4832464631422189,0.9162471335926907
dead (choppy+small),old (> typical),1584,0.013829796414748723,-0.014640056044421031,9.98989898989899,0.2182856894814054,0.4880050505050505,0.9446546087519195
