bucket,n,hazard
1-2,17336,0.10532994923857868
3-5,19286,0.12210930208441356
6-10,19252,0.12175358404321629
11-20,14982,0.13629688960085437
21-40,3658,0.1440677966101695
40+,190,0.14736842105263157
