,trend,chop
count,189760.0,190373.0
mean,-0.09427716979929307,0.15447605828714958
std,1.5495703337879498,2.6854136800139865
min,-2.7582682901890134,-10.039109596973315
25%,-1.2598820577357983,-1.5717553295210889
50%,-0.4040355327299815,0.2692880194963635
75%,0.7701725112309712,1.976035612375131
max,8.932087083848227,13.182209032154281
