,team1|NO_CUT,team2|NO_CUT
2016-01-05,0.0,0.0
2016-01-06,0.0,0.0
2016-01-07,0.05544883024354495,0.08317324536531742
2016-01-08,0.018944596217117835,0.02841689432567675
2016-01-11,-0.009465613702813484,-0.014198420554220223
2016-01-12,0.007208777611774303,0.010813166417661453
2016-01-13,0.04661677593527244,0.06992516390290866
2016-01-14,-0.01110814842889583,-0.016662222643343744
2016-01-15,0.05809645863152421,0.0871446879472863
2016-01-18,-0.00025265299363809327,-0.00037897949045713984
2016-01-19,-0.019089200661300067,-0.0286338009919501
2016-01-20,-0.02191823400481875,-0.03287735100722813
2016-01-21,-0.04958901429376011,-0.07438352144064014
2016-01-22,-0.014538929136915535,-0.021808393705373304
2016-01-25,-0.007338019620393341,-0.011007029430590011
2016-01-26,-0.03287091070402788,-0.04930636605604182
2016-01-27,0.01616523144766747,0.024247847171501205
2016-01-28,-0.013304278057373935,-0.0199564170860609
2016-01-29,0.056703860176848926,0.08505579026527338
2016-02-01,-0.08664733126610359,-0.12997099689915537
2016-02-02,-0.11681980103536414,-0.1752297015530462
2016-02-03,-0.009476020793550324,-0.014214031190325485
2016-02-04,0.013809628579153823,0.020714442868730733
2016-02-05,-0.07700205995543002,-0.11550308993314502
2016-02-08,0.05451074238512968,0.08176611357769452
2016-02-09,0.025102480160731883,0.03765372024109782
2016-02-10,0.04444452893319879,0.06666679339979818
2016-02-11,0.08853624335159509,0.1328043650273926
2016-02-12,-0.15431436206930543,-0.23147154310395812
2016-02-15,-0.09153006873851592,-0.13729510310777387
2016-02-16,0.08093657554628862,0.12140486331943293
2016-02-17,-0.02607164849064776,-0.039107472735971635
2016-02-18,-0.0012297519316186612,-0.0018446278974279917
2016-02-19,-0.016123972873857702,-0.024185959310786553
2016-02-22,0.12393165705518276,0.18589748558277414
2016-02-23,0.051726311492743815,0.07758946723911571
2016-02-24,0.08189046625008206,0.12283569937512308
2016-02-25,0.019143317868021703,0.028714976802032555
2016-02-26,0.01785916971337788,0.026788754570066815
2016-02-29,0.004620731425148249,0.006931097137722373
2016-03-01,-0.022616869090376558,-0.033925303635564834
2016-03-02,-0.04408137966685164,-0.06612206950027745
2016-03-03,-0.0780245269575837,-0.11703679043637553
2016-03-04,0.0475948210258224,0.0713922315387336
2016-03-07,0.02260044520018129,0.033900667800271934
2016-03-08,-0.05050814628743628,-0.07576221943115441
2016-03-09,-0.027809024713574534,-0.0417135370703618
2016-03-10,-0.18936508469233093,-0.2840476270384964
2016-03-11,-0.016305929222955477,-0.024458893834433216
2016-03-14,-0.04767884550188481,-0.07151826825282721
2016-03-15,-0.036777588530493024,-0.05516638279573953
2016-03-16,-0.03733696423583079,-0.056005446353746186
2016-03-17,0.05125464315639609,0.07688196473459413
2016-03-18,-0.05668452855957892,-0.08502679283936837
2016-03-21,-0.014029172578148804,-0.021043758867223206
2016-03-22,0.05921711630476338,0.08882567445714507
2016-03-23,-0.048347336018011146,-0.07252100402701671
2016-03-24,-0.057904320030711824,-0.08685648004606772
2016-03-25,-0.011190384875663395,-0.01678557731349509
2016-03-28,-0.07031224282715132,-0.10546836424072698
2016-03-29,0.011135875328887216,0.016703812993330822
2016-03-30,0.11824105632687064,0.17736158449030595
2016-03-31,0.03476669836167828,0.052150047542517425
2016-04-01,0.08399935493028192,0.12599903239542287
2016-04-04,-0.11888640723006132,-0.17832961084509197
2016-04-05,0.08481034813044197,0.12721552219566293
2016-04-06,0.10267839804148356,0.15401759706222531
2016-04-07,0.22186321144191748,0.33279481716287623
2016-04-08,-0.06318870095062402,-0.09478305142593603
2016-04-11,-0.07862379372672754,-0.11793569059009129
2016-04-12,-0.06445664754976338,-0.09668497132464506
2016-04-13,-0.00774921522688361,-0.011623822840325414
2016-04-14,-0.055745622923120096,-0.08361843438468013
2016-04-15,0.06711041732218141,0.10066562598327211
2016-04-18,-0.026999166425375004,-0.040498749638062506
2016-04-19,0.06618421709174044,0.09927632563761066
2016-04-20,0.003771688691184883,0.0056575330367773236
2016-04-21,-0.12278405641847315,-0.1841760846277097
2016-04-22,-0.019100533899331217,-0.028650800848996825
2016-04-25,-0.05120859011351373,-0.07681288517027059
2016-04-26,0.0853040427152968,0.12795606407294519
2016-04-27,-0.074947364566625,-0.11242104684993748
2016-04-28,-0.06368997490555312,-0.09553496235832966
2016-04-29,0.0074459336262958035,0.011168900439443704
2016-05-02,-0.0030769631240245123,-0.004615444686036768
2016-05-03,-0.0874839426604424,-0.1312259139906636
2016-05-04,0.009813332659606148,0.014719998989409221
2016-05-05,-0.033859705956687684,-0.050789558935031516
2016-05-06,0.10614613451472066,0.15921920177208096
2016-05-09,-0.07434462531062169,-0.11151693796593252
2016-05-10,-0.0828530790187995,-0.12427961852819923
2016-05-11,-0.002538351438255096,-0.0038075271573826436
2016-05-12,-0.08046337000577887,-0.1206950550086683
2016-05-13,0.03516271631701295,0.05274407447551942
2016-05-16,-0.05421069792300002,-0.08131604688450002
2016-05-17,-0.04682582177693331,-0.07023873266539996
