pair,sep,funding
EURAUD,-0.7573702443914632,False
USDCHF,0.6113948631313264,True
NZDJPY,-0.47916803443981854,True
CHFJPY,-0.32481525236880826,True
EURJPY,-0.2854945726245279,True
AUDCHF,-0.2842885526406608,True
EURCAD,-0.2832488153976501,False
EURCHF,-0.24714963487032762,True
NZDCAD,0.24434548857563546,False
GBPJPY,0.2373542176210441,True
CADJPY,-0.22330497865508475,True
USDCAD,0.21765017102503184,False
AUDCAD,-0.20566274373672538,False
EURUSD,0.19853968027523491,False
EURNZD,-0.19348622980965138,False
AUDJPY,-0.18906407924316926,True
GBPUSD,0.17904021705549994,False
GBPNZD,0.177802097618413,False
AUDNZD,0.1395844375699938,False
AUDUSD,0.1370388638247079,False
EURGBP,-0.10102079901928257,False
GBPAUD,0.08364724544326049,False
CADCHF,0.06867291268961724,True
NZDCHF,-0.06321860631517355,True
GBPCHF,0.0540176092020744,True
NZDUSD,-0.04346202242429683,False
USDJPY,-0.026369601956915047,True
GBPCAD,-0.01967079996390006,False
