budget,structure,real_median_year,n,null_mean,null_p95,null_max,pctile_of_real,p_value,p_resolution
team1,NO_CUT,-0.532834542381696,25,-1.0717146089897025,0.15477062705749128,0.514161615455159,84.0,0.16,0.04
team2,NO_CUT,-0.799251813572544,25,-1.6075719134845539,0.23215594058623695,0.7712424231827386,84.0,0.16,0.04
