cell,eff,turn,eff_lift,turn_lift,agree_eff,data_pct
BASELINE,0.21778090717788387,0.5080011913787502,0.0,0.0,,1.0
all 3 aligned,0.22069451011411848,0.5091501967559947,0.002913602936234605,0.0011490053772444941,0.7142857142857143,0.680588649409726
2 of 3,0.2092797278658282,0.5062176451337012,-0.008501179312055657,-0.0017835462450490613,0.7857142857142857,0.25155691541210873
daily alone,0.2195104103033431,0.5029063925618038,0.0017295031254592197,-0.005094798816946411,0.4642857142857143,0.06785443517816528
aligned trend,0.2296861116663998,0.5060361551977751,0.011905204488515925,-0.0019650361809750994,0.8571428571428571,0.29845391530380155
aligned mid,0.22871668794787955,0.4960725818359283,0.010935780769995684,-0.011928609542821933,0.6785714285714286,0.16344904148164194
aligned chop,0.20366263683841623,0.5226567493753922,-0.014118270339467637,0.014655557996641977,0.8571428571428571,0.21868569262428247
