# VOTE-TIMING LEAK (HANDOFF 0d, 15 Sep 2026): built with entry-day votes -- every number in this file is contaminated and may not be quoted. Readers pass comment='#'.
slice,inside,trades,mean_R,sum_R,win_rate,R_per_year,book
A-trend,neither,212042,0.0030352731649775,643.6053924481773,0.313112496580866,128.72107848963546,5pm TIRi ACTw
A-trend,ranging,448924,-0.0416913102490706,-18716.22976225379,0.2900981012376259,-3743.2459524507585,5pm TIRi ACTw
A-trend,trend-in-range,175854,-0.0729504051450532,-12828.620546378192,0.2722656294426058,-2565.7241092756385,5pm TIRi ACTw
A-trend,trending,243504,-0.0478866031978853,-11660.579425097863,0.2850425455023326,-2332.115885019573,5pm TIRi ACTw
B-chop,neither,52172,-0.0029243809704909,-152.57080399245356,0.2908264969715556,-30.51416079849071,5pm TIRi ACTw
B-chop,ranging,101839,-0.0296191448201269,-3016.3840893369083,0.2814442404187001,-603.2768178673816,5pm TIRi ACTw
B-chop,trend-in-range,42753,-0.0969523331239004,-4145.003098046114,0.258344443664772,-829.0006196092229,5pm TIRi ACTw
B-chop,trending,60700,-0.0646835177141908,-3926.289525251384,0.271334431630972,-785.2579050502768,5pm TIRi ACTw
B-trend,neither,262388,-0.0070570296305869,-1851.67989071045,0.2809312925896001,-370.33597814209,5pm TIRi ACTw
B-trend,ranging,551518,-0.0235187222121956,-12970.998637025732,0.2741379247821467,-2594.1997274051464,5pm TIRi ACTw
B-trend,trend-in-range,224176,-0.0514703236712066,-11538.411279316431,0.2508564699164942,-2307.682255863286,5pm TIRi ACTw
B-trend,trending,311732,-0.0282462971428892,-8805.274700947157,0.2746461704284449,-1761.0549401894314,5pm TIRi ACTw
