signal,module,independent,transferred,n_sources
z_paneldisp_40,sig3,False,False,0
z_panelvol_40,sig3,True,False,0
z_panelvol_60,sig3,False,False,0
zz_panelvol_D40,sig4,False,False,0
zz_paneldisp_D40,sig4,False,False,0
zz_panelvol_D60,sig4,False,False,0
zz_coex3_D120,sig5,False,True,1
cx4_m375,sig6,True,True,1
zb_cx3_m120,sig6,False,True,1
zd_cx3_x375,sig6,True,True,1
ra_cx2.5_m10,sig6,True,True,1
ra_cx2.5_m120,sig6,True,True,1
rc_cx3_s30,sig6,True,True,1
cx1.5_x150_ch,sig6,True,True,1
za_cx4_m750_ch,sig6,True,True,1
zb_cx2_s90_ch,sig6,False,True,1
zc_cx2_s150_ch,sig6,False,True,1
ra_cx2_x25_ch,sig6,False,True,1
ra_cx2_m75_ch,sig6,False,True,1
rb_dts_60_750_ch,sig6,True,True,1
rb_pdm_50_ch,sig6,False,True,1
rc_ats_60_500_ch,sig6,True,True,1
rc_ats_120_750_ch,sig6,False,True,1
rc_cx1.5_x180_ch,sig6,True,True,1
ts_dd0.02_ol,sig6,True,True,19
ra_oc750_fl_8_pl,sig6,True,True,19
ra_ep750_fl_8_pl,sig6,False,True,19
za_xsctop_r20_pv,sig7,True,False,0
rd_xsctop_r15_pd,sig7,True,False,0
