structure,step,build,trade,cut_applied,passers,members,curve_bins,size_scale,scale_binds,cap_pct,cap_bound_days,net_min_votes,curve_mode,opposition,vote_on_entry_day,dip_budget,day_budget,build_median_year_pct
ALLPASS,1,2011-2015,2016-2016,False,104,104,6,1.6237614871285304,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.710168540999595
SLICE_BALANCED,1,2011-2015,2016-2016,False,104,104,6,1.6237614871285304,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.710168540999595
ALLPASS,2,2012-2016,2017-2017,False,104,104,6,1.1912486605624566,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,3.9080228388997873
SLICE_BALANCED,2,2012-2016,2017-2017,False,104,104,6,1.1912486605624566,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,3.9080228388997873
ALLPASS,3,2013-2017,2018-2018,False,104,104,6,0.8915224851851149,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.146350920341499
SLICE_BALANCED,3,2013-2017,2018-2018,False,104,104,6,0.8915224851851149,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.146350920341499
ALLPASS,4,2014-2018,2019-2019,False,104,104,6,1.0765058129847949,DIP95,2.0,2,0.5,fitted,net,False,5.4,3.6,6.8166711871498915
SLICE_BALANCED,4,2014-2018,2019-2019,False,104,104,6,1.0765058129847949,DIP95,2.0,2,0.5,fitted,net,False,5.4,3.6,6.8166711871498915
ALLPASS,5,2015-2019,2020-2020,False,104,104,6,1.0300107999242811,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,3.870119595429652
SLICE_BALANCED,5,2015-2019,2020-2020,False,104,104,6,1.0300107999242811,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,3.870119595429652
