# SUPERSEDED NAME -- kept, data untouched.
# This file contains the generation-1 NINE-BOX summary: the nine states
# strong/medium/weak x trend/transitional/chop, with share, median run
# length and run count. It is a 9-row summary table. It does NOT contain
# four shape states and it does NOT contain per-day labels.
# Correctly-named copy: ninebox_state_summary.csv
# Per-day labels:       states_g1_ninebox.csv
# Superseded by:        generation 4, states_g4_twoscore4.csv
,share,median_len,runs
strong trend,0.10180264666041472,7.0,1943
medium trend,0.107085547566948,5.0,2879
weak trend,0.08928310930499114,6.0,2151
strong transitional,0.10636657288736064,4.0,3988
medium transitional,0.13467750338647494,3.0,5749
weak transitional,0.11586433260393873,3.0,4851
strong chop,0.09796811503594874,5.0,2838
medium chop,0.1332395540273002,4.0,4414
weak chop,0.1137126185266229,5.0,3553
