b,f,n,retention,best_to,med_to
regime-v5,zs_volpersist,34,0.6470588235294118,13.36,4.645
regime-v5,zs_minvol,34,0.6470588235294118,17.35,4.6899999999999995
regime-v5,pr_sigmadn,34,0.6470588235294118,11.23,1.73
regime-v5,zs_maxvol,34,0.6470588235294118,14.26,2.49
trend-duration,pvr,741,0.6396761133603239,21.35,5.12
trend-duration,hz_bu,3371,0.6377929397804806,16.89,3.36
trend-duration,hz_hi,3371,0.6360130525066746,17.25,3.36
trend-duration,hz_sg,6380,0.6300940438871473,17.68,4.085
trend-duration,cd_mx,382,0.6230366492146597,13.99,3.125
trend-duration,hz_su,6086,0.6212619125862635,19.72,3.56
trend-duration,ts_vd,950,0.62,17.29,5.109999999999999
regime-v5,pr_whip,34,0.6176470588235294,9.6,1.8050000000000002
regime-v5,ps_rankret,34,0.6176470588235294,4.33,1.13
regime-v5,pr_bipow,34,0.6176470588235294,6.31,1.625
regime-v5,jumpratio,34,0.6176470588235294,8.21,3.115
regime-v5,zz_absac5,34,0.6176470588235294,10.5,2.125
regime-v5,ps_volpersist,34,0.6176470588235294,12.52,2.885
regime-v5,ps_rangeratio,34,0.6176470588235294,7.59,2.4749999999999996
regime-v5,zz_whip,34,0.6176470588235294,8.84,1.95
regime-v5,ps_volofvol,34,0.6176470588235294,10.56,2.2800000000000002
regime-v5,ps_sqac1,34,0.6176470588235294,7.11,1.67
regime-v5,zs_quartic,34,0.6176470588235294,11.54,2.8200000000000003
trend-duration,hz_vu,2848,0.6116573033707865,14.59,3.09
trend-duration,hz_md,3420,0.6108187134502924,15.96,3.07
trend-duration,cd_ef,382,0.6099476439790575,11.55,2.775
trend-duration,ts_fl,480,0.6020833333333333,16.33,7.31
trend-duration,rch,780,0.6012820512820513,19.45,3.745
trend-duration,ep_bu,456,0.5986842105263158,18.02,3.935
trend-duration,oc_bu,461,0.596529284164859,16.46,4.18
trend-duration,ep_hi,317,0.5962145110410094,18.42,4.58
trend-nonmomentum,duration,5461,0.5942135140084234,22.76,3.14
trend-nonmomentum,structure,7439,0.5904019357440516,14.56,2.33
regime-v5,zz_sigmadn,34,0.5882352941176471,9.48,2.18
regime-v5,pr_absac1,34,0.5882352941176471,9.13,2.175
regime-v5,ps_posq,34,0.5882352941176471,5.99,1.99
regime-v5,ps_absac1,34,0.5882352941176471,6.74,1.025
regime-v5,pr_jumpratio,34,0.5882352941176471,6.5,1.86
regime-v5,zz_gini,34,0.5882352941176471,11.59,3.2800000000000002
trend-duration,xkt,741,0.582995951417004,21.61,3.92
trend-duration,hz_sd,6192,0.582687338501292,17.73,3.45
trend-duration,cd_vr,382,0.5785340314136126,11.42,3.085
regime-v5,zz_halfsplit,34,0.5588235294117647,5.79,1.465
regime-v5,zz_exceed3,34,0.5588235294117647,12.64,5.135
regime-v5,ps_volaccel,34,0.5588235294117647,14.75,2.99
regime-v5,ps_volsplit,34,0.5588235294117647,11.51,2.035
regime-v5,pr_exceed3,34,0.5588235294117647,13.57,5.265
regime-v5,zz_archlm,34,0.5588235294117647,8.88,2.49
regime-v5,zs_posq,34,0.5588235294117647,6.8,1.47
trend-duration,hz_vd,2850,0.5533333333333333,15.57,3.34
trend-nonmomentum,conditional,7238,0.5530533296490743,14.36,2.64
trend-duration,ep_lo,539,0.5528756957328386,13.12,2.99
trend-duration,cd_wh,382,0.5392670157068062,11.63,2.085
trend-duration,ep_bd,536,0.539179104477612,15.13,3.0149999999999997
trend-duration,hz_mu,3420,0.5383040935672515,16.68,3.04
trend-nonmomentum,cross-sectional,18914,0.5355821084910648,23.6,2.28
trend-nonmomentum,acceleration,4763,0.5349569598992232,18.43,2.4
regime-v5,pr_top3share,32,0.53125,11.36,2.42
regime-v5,pr_absac5,34,0.5294117647058824,11.35,2.5949999999999998
regime-v5,zs_archlm,34,0.5294117647058824,6.74,2.015
regime-v5,pr_absmean,34,0.5294117647058824,10.73,3.88
regime-v5,zs_absac5,34,0.5294117647058824,8.42,2.1
regime-v5,ps_whip,34,0.5294117647058824,8.65,2.27
regime-v5,zz_posq,34,0.5294117647058824,3.51,1.02
regime-v5,zs_rangeratio,34,0.5294117647058824,8.55,3.265
regime-v5,zz_rankret,34,0.5294117647058824,6.32,1.27
