# VOTE-TIMING LEAK (HANDOFF 0d, 15 Sep 2026): built with entry-day votes -- every number in this file is contaminated and may not be quoted. Readers pass comment='#'.
budget,structure,step,passers,members,scale,build_dip95_pct,build_max_dd_pct,build_worst_day_pct
team1,ALLPASS,1,2323,2323,1.0188376829057852,3.6,1.8841632734615938,0.9683320667230317
team1,ALLPASS,2,2142,2142,1.0721482648879899,3.6,1.9288559998002885,1.0284683541705892
team1,SLICE_BALANCED,1,2323,2323,0.4832626466213346,3.6,2.053743453817367,0.33714354335122654
team1,SLICE_BALANCED,2,2142,2142,0.24853098671291457,3.6,2.3913392061719962,0.1982124822386848
team2,ALLPASS,1,2323,2323,1.5282565243586779,5.4,2.8262449101923908,1.4524981000845476
team2,ALLPASS,2,2142,2142,1.608222397331985,5.4,2.893283999700433,1.542702531255884
team2,SLICE_BALANCED,1,2323,2323,0.724893969932002,5.4,3.0806151807260505,0.5057153150268399
team2,SLICE_BALANCED,2,2142,2142,0.3727964800693719,5.4,3.587008809257995,0.29731872335802717
team1,NO_CUT,1,8235,8235,1.0514772267637322,3.6,1.87951804750757,1.1110820022435999
team1,NO_CUT,2,8235,8235,1.0619919653147623,3.6,2.2600147280367646,0.9840827932803101
team1,NO_CUT_SLICE_BALANCED,1,8235,8235,0.9558307889671014,3.6,2.033850134912541,0.675219759184352
team1,NO_CUT_SLICE_BALANCED,2,8235,8235,0.8586255576111045,3.6,2.0879272157780493,0.6203482919891474
team2,NO_CUT,1,8235,8235,1.5772158401455985,5.4,2.819277071261355,1.6666230033654001
team2,NO_CUT,2,8235,8235,1.5929879479721434,5.4,3.390022092055147,1.4761241899204653
team2,NO_CUT_SLICE_BALANCED,1,8235,8235,1.433746183450652,5.4,3.0507752023688113,1.0128296387765279
team2,NO_CUT_SLICE_BALANCED,2,8235,8235,1.2879383364166568,5.4,3.131890823667074,0.9305224379837211
