trades,hit_rate_pct,r_per_unit,worst_dip_R,member,period,dim,bucket,vs_all_r,dow_spread_real,dow_spread_null_mean,dow_spread_p
10,0.0,-0.8804,7.804,g04,OOS,holiday_window,any,-1.191,1.2300350251009928,0.7863177383459502,0.074
90,46.7,0.5488,2.326,g05,IS,all,all,,0.28013955238024046,0.3916999905563505,0.765
22,36.4,0.6849,1.249,g05,IS,entry_dow,Mon,0.1361,0.28013955238024046,0.3916999905563505,0.765
10,40.0,0.3075,1.239,g05,IS,entry_dow,Tue,-0.2413,0.28013955238024046,0.3916999905563505,0.765
18,66.7,0.8554,1.0,g05,IS,entry_dow,Wed,0.3066,0.28013955238024046,0.3916999905563505,0.765
26,46.2,0.5017,1.452,g05,IS,entry_dow,Thu,-0.0471,0.28013955238024046,0.3916999905563505,0.765
14,42.9,0.2005,2.545,g05,IS,entry_dow,Fri,-0.3483,0.28013955238024046,0.3916999905563505,0.765
24,25.0,0.2087,3.286,g05,IS,holiday_window,any,-0.3401,0.28013955238024046,0.3916999905563505,0.765
112,42.9,0.3573,4.605,g05,OOS,all,all,,0.28013955238024046,0.3916999905563505,0.765
10,40.0,0.0833,0.508,g05,OOS,entry_dow,Mon,-0.274,0.28013955238024046,0.3916999905563505,0.765
26,46.2,0.4822,2.474,g05,OOS,entry_dow,Tue,0.1249,0.28013955238024046,0.3916999905563505,0.765
40,45.0,0.4049,5.46,g05,OOS,entry_dow,Wed,0.0476,0.28013955238024046,0.3916999905563505,0.765
22,45.5,0.2661,1.647,g05,OOS,entry_dow,Thu,-0.0912,0.28013955238024046,0.3916999905563505,0.765
14,28.6,0.3286,1.126,g05,OOS,entry_dow,Fri,-0.0287,0.28013955238024046,0.3916999905563505,0.765
10,40.0,0.3696,1.702,g05,OOS,holiday_window,any,0.0123,0.28013955238024046,0.3916999905563505,0.765
116,58.6,0.4967,3.903,g06,IS,all,all,,0.4314744925599517,0.42758644173307286,0.468
30,53.3,0.4333,5.903,g06,IS,entry_dow,Mon,-0.0634,0.4314744925599517,0.42758644173307286,0.468
16,75.0,0.5825,1.0,g06,IS,entry_dow,Tue,0.0858,0.4314744925599517,0.42758644173307286,0.468
20,60.0,0.8891,2.0,g06,IS,entry_dow,Wed,0.3924,0.4314744925599517,0.42758644173307286,0.468
36,66.7,0.523,1.51,g06,IS,entry_dow,Thu,0.0263,0.4314744925599517,0.42758644173307286,0.468
14,28.6,-0.0935,3.473,g06,IS,entry_dow,Fri,-0.5902,0.4314744925599517,0.42758644173307286,0.468
18,33.3,-0.1727,4.151,g06,IS,holiday_window,any,-0.6694,0.4314744925599517,0.42758644173307286,0.468
76,44.7,0.167,5.699,g06,OOS,all,all,,0.4314744925599517,0.42758644173307286,0.468
8,62.5,0.4922,1.0,g06,OOS,entry_dow,Mon,0.3252,0.4314744925599517,0.42758644173307286,0.468
8,50.0,0.3341,1.0,g06,OOS,entry_dow,Tue,0.1671,0.4314744925599517,0.42758644173307286,0.468
28,32.1,0.0911,4.204,g06,OOS,entry_dow,Wed,-0.0759,0.4314744925599517,0.42758644173307286,0.468
22,45.5,0.0268,2.0,g06,OOS,entry_dow,Thu,-0.1402,0.4314744925599517,0.42758644173307286,0.468
10,60.0,0.2947,1.0,g06,OOS,entry_dow,Fri,0.1277,0.4314744925599517,0.42758644173307286,0.468
18,55.6,0.4875,1.086,g06,OOS,holiday_window,any,0.3205,0.4314744925599517,0.42758644173307286,0.468
63,44.4,0.7225,4.353,g07,IS,all,all,,1.4030428253555884,0.9350356228377972,0.089
22,54.5,1.1718,2.072,g07,IS,entry_dow,Mon,0.4493,1.4030428253555884,0.9350356228377972,0.089
5,20.0,-0.6589,2.783,g07,IS,entry_dow,Tue,-1.3814,1.4030428253555884,0.9350356228377972,0.089
11,18.2,-0.0788,3.138,g07,IS,entry_dow,Wed,-0.8013,1.4030428253555884,0.9350356228377972,0.089
9,44.4,0.5573,2.001,g07,IS,entry_dow,Thu,-0.1652,1.4030428253555884,0.9350356228377972,0.089
16,56.2,1.1803,2.31,g07,IS,entry_dow,Fri,0.4578,1.4030428253555884,0.9350356228377972,0.089
6,66.7,1.7563,1.0,g07,IS,holiday_window,any,1.0338,1.4030428253555884,0.9350356228377972,0.089
63,41.3,0.5227,10.237,g07,OOS,all,all,,1.4030428253555884,0.9350356228377972,0.089
11,63.6,1.0876,2.0,g07,OOS,entry_dow,Mon,0.5649,1.4030428253555884,0.9350356228377972,0.089
15,20.0,-0.1261,5.792,g07,OOS,entry_dow,Tue,-0.6488,1.4030428253555884,0.9350356228377972,0.089
11,54.5,1.204,1.0,g07,OOS,entry_dow,Wed,0.6813,1.4030428253555884,0.9350356228377972,0.089
18,44.4,0.6528,7.899,g07,OOS,entry_dow,Thu,0.1301,1.4030428253555884,0.9350356228377972,0.089
8,25.0,-0.2668,2.426,g07,OOS,entry_dow,Fri,-0.7895,1.4030428253555884,0.9350356228377972,0.089
15,46.7,0.8666,2.0,g07,OOS,holiday_window,any,0.3439,1.4030428253555884,0.9350356228377972,0.089
78,53.8,0.5865,3.499,g08,IS,all,all,,0.4602183871465072,0.5474111113973736,0.626
16,62.5,0.5572,1.0,g08,IS,entry_dow,Mon,-0.0293,0.4602183871465072,0.5474111113973736,0.626
12,66.7,0.5496,2.0,g08,IS,entry_dow,Tue,-0.0369,0.4602183871465072,0.5474111113973736,0.626
14,57.1,1.3115,1.0,g08,IS,entry_dow,Wed,0.725,0.4602183871465072,0.5474111113973736,0.626
28,50.0,0.4028,2.28,g08,IS,entry_dow,Thu,-0.1837,0.4602183871465072,0.5474111113973736,0.626
8,25.0,0.0744,1.534,g08,IS,entry_dow,Fri,-0.5121,0.4602183871465072,0.5474111113973736,0.626
14,42.9,-0.0462,2.012,g08,IS,holiday_window,any,-0.6327,0.4602183871465072,0.5474111113973736,0.626
66,42.4,0.3423,3.524,g08,OOS,all,all,,0.4602183871465072,0.5474111113973736,0.626
6,66.7,1.0905,0.234,g08,OOS,entry_dow,Mon,0.7482,0.4602183871465072,0.5474111113973736,0.626
6,33.3,0.4202,1.148,g08,OOS,entry_dow,Tue,0.0779,0.4602183871465072,0.5474111113973736,0.626
26,38.5,0.2941,2.714,g08,OOS,entry_dow,Wed,-0.0482,0.4602183871465072,0.5474111113973736,0.626
20,40.0,0.1298,1.439,g08,OOS,entry_dow,Thu,-0.2125,0.4602183871465072,0.5474111113973736,0.626
8,50.0,0.4104,1.0,g08,OOS,entry_dow,Fri,0.0681,0.4602183871465072,0.5474111113973736,0.626
16,50.0,0.7526,1.117,g08,OOS,holiday_window,any,0.4103,0.4602183871465072,0.5474111113973736,0.626
130,38.5,0.4001,4.242,g09,IS,all,all,,1.0314225312841887,0.43088907966017514,0.002
20,40.0,0.4112,3.291,g09,IS,entry_dow,Mon,0.0111,1.0314225312841887,0.43088907966017514,0.002
28,35.7,0.2645,3.368,g09,IS,entry_dow,Tue,-0.1356,1.0314225312841887,0.43088907966017514,0.002
30,43.3,0.659,3.492,g09,IS,entry_dow,Wed,0.2589,1.0314225312841887,0.43088907966017514,0.002
26,61.5,0.867,1.5,g09,IS,entry_dow,Thu,0.4669,1.0314225312841887,0.43088907966017514,0.002
26,11.5,-0.2279,6.985,g09,IS,entry_dow,Fri,-0.628,1.0314225312841887,0.43088907966017514,0.002
26,46.2,0.5913,2.853,g09,IS,holiday_window,any,0.1912,1.0314225312841887,0.43088907966017514,0.002
92,34.8,0.2226,7.579,g09,OOS,all,all,,1.0314225312841887,0.43088907966017514,0.002
10,20.0,-0.0774,3.351,g09,OOS,entry_dow,Mon,-0.3,1.0314225312841887,0.43088907966017514,0.002
24,41.7,0.3008,3.0,g09,OOS,entry_dow,Tue,0.0782,1.0314225312841887,0.43088907966017514,0.002
14,14.3,-0.211,4.413,g09,OOS,entry_dow,Wed,-0.4336,1.0314225312841887,0.43088907966017514,0.002
28,57.1,0.7403,2.349,g09,OOS,entry_dow,Thu,0.5177,1.0314225312841887,0.43088907966017514,0.002
16,12.5,-0.2338,6.927,g09,OOS,entry_dow,Fri,-0.4564,1.0314225312841887,0.43088907966017514,0.002
16,37.5,0.2436,2.351,g09,OOS,holiday_window,any,0.021,1.0314225312841887,0.43088907966017514,0.002
150,40.7,0.4566,6.335,g10,IS,all,all,,0.7875748454879368,0.40410390841358446,0.006
30,33.3,0.066,4.136,g10,IS,entry_dow,Mon,-0.3906,0.7875748454879368,0.40410390841358446,0.006
10,0.0,-0.4446,4.223,g10,IS,entry_dow,Tue,-0.9012,0.7875748454879368,0.40410390841358446,0.006
32,31.2,0.2261,5.118,g10,IS,entry_dow,Wed,-0.2305,0.7875748454879368,0.40410390841358446,0.006
30,60.0,0.9103,2.0,g10,IS,entry_dow,Thu,0.4537,0.7875748454879368,0.40410390841358446,0.006
