slot,option,n_crossers,gate2_enrichment,gate1_enrichment
c1,center_of_gravity_signals,98,1.009083958854601,2.187283674461823
c1,ehlers_reverse_ema_signals,66,0.8818452380952381,1.6536269920215068
c1,polychromatic_momentum_signals,74,0.9961473808550269,1.745547815307841
c1,schaff_trend_cycle_signals,40,0.5764871832287563,1.66103062669533
c1,bears_bulls_impulse_signals,36,0.5741320846116583,1.3924661752316718
c1,qqe_mod_signals,58,0.9825843339050886,1.304199859778867
c1,relative_vigor_index_signals,73,1.2437410154677706,1.3525756640377773
c1,j_tpo_signals,67,1.1681141512209474,1.3976068669157873
c1,volatility_quality_signals,70,1.280071591680553,1.2373785652691904
c1,laguerre_filter_signals,57,1.0959120109013043,1.2555657638729918
c1,vortex_signals,76,1.50970769643336,1.1095384414744422
c1,coral_signals,50,1.0180031608603037,1.091801029906481
c1,fisher_transform_signals,50,1.0320445837687218,1.060023895335522
c1,dspo_signals,56,1.2028998115122518,1.089174336126272
c1,fx_sniper_ergodic_cci_signals,48,1.0615315718763993,1.055894249454662
c1,hieken_ashi_smoothed_signals,33,0.74075,1.0016708485167574
c1,parabolic_sar_signals,69,1.5605449965651477,1.0085980427524674
c1,rex_oscillator_signals,57,1.2956731875719216,0.9811466029065654
c1,coppock_curve_signals,64,1.4848641453292617,0.9562225840113924
c1,ssl_channel_signals,55,1.3989612842304062,0.9012279301702212
c1,kalman_filter_signals,60,1.5752259436469962,0.8831873738917319
c1,didi_index_signals,33,0.866374269005848,0.8414403750276968
c1,linreg_slope_signals,14,0.3697147950089127,0.8684804328381962
c1,donchian_breakout_signals,50,1.3361291486291487,0.875660239278194
c1,kase_peak_oscillator_signals,24,0.723123856009762,0.7380132377913928
c1,lemantrend_signals,38,1.1847011784511785,1.0631328801641513
c1,supertrend_signals,33,1.050709219858156,0.73391192644694
c1,halftrend_signals,17,0.5530412823891084,0.7758840185119998
c1,ichimoku_signals,15,0.49698087889969805,0.8708699900063468
c1,price_momentum_oscillator_signals,21,0.6983501683501684,0.7379178472478395
c1,trend_direction_force_index_signals,16,0.5441689623507805,0.8069994471543399
c1,chandelier_exit_signals,19,0.6486576794561586,0.6633470300937133
c1,dpo_signals,23,0.7973440973440974,0.6927509458763343
c1,mama_fama_signals,18,0.6936402653140851,0.5790391423180067
c1,waddah_attar_explosion_signals,18,0.7517124735729388,0.7453692724208543
c1,kuskus_starlight_signals,28,1.2086829836829838,0.522608840698327
c1,aroon_signals,17,0.8479966329966331,0.4692663005490594
c1,glitch_index_signals,4,0.3356556216369301,0.2985637804736121
c1,adx_dmi_signals,5,1.4964646464646463,0.0871024433561112
c2,fx_sniper_ergodic_cci_signals,96,1.3489258785033433,1.600968732061402
c2,kuskus_starlight_signals,41,0.5937585532746823,1.5461550099324022
c2,fisher_transform_signals,109,1.6476226915620855,1.412249032520095
c2,coral_signals,90,1.3743042671614099,1.4158866779172463
c2,laguerre_filter_signals,53,0.8106912394816994,1.5608982649781575
c2,center_of_gravity_signals,83,1.2915760726852579,1.4173049584104234
c2,chandelier_exit_signals,50,0.8486566993183251,1.323167800276125
c2,supertrend_signals,40,0.67892535945466,1.3423635544636665
