level,position_days,share_pct,size
1,3482,14.7249122510255,1.0
2,3878,16.399543282445975,3.0
3,2070,8.753753118788852,6.0
4,2397,10.136592379583034,6.0
5,1188,5.023893094261428,6.0
6,1519,6.423647820019453,6.0
7,891,3.7679198206960716,6.0
8,1050,4.440309553008838,6.0
9,550,2.3258764325284393,6.0
10,663,2.803738317757009,6.0
11,397,1.678859897661437,6.0
12,562,2.3766228274199688,6.0
13,308,1.3024908022159258,6.0
14,483,2.0425423943840655,6.0
15,284,1.2009980124328667,6.0
16,350,1.4801031843362795,6.0
17,207,0.8753753118788853,6.0
18,274,1.1587093500232588,6.0
19,192,0.8119423182644733,6.0
20,214,0.9049773755656109,6.0
21,106,0.4482598215418446,6.0
22,223,0.943037171734258,6.0
23,106,0.4482598215418446,6.0
24,160,0.6766185985537277,6.0
25,66,0.2791051719034127,6.0
26,131,0.5539814775658646,6.0
27,64,0.2706474394214911,6.0
28,125,0.5286082801200997,6.0
29,83,0.3509958979997463,6.0
30,79,0.33408043303590307,6.0
31,58,0.2452742419757263,6.0
32,73,0.3087072355901383,6.0
33,44,0.18607011460227513,6.0
34,56,0.2368165094938047,6.0
35,53,0.2241299107709223,6.0
36,49,0.20721444580707912,6.0
37,35,0.14801031843362794,6.0
38,80,0.3383092992768639,6.0
39,30,0.12686598722882395,6.0
40,50,0.21144331204803993,6.0
41,25,0.10572165602401996,6.0
42,43,0.18184124836131432,6.0
43,35,0.14801031843362794,6.0
44,31,0.13109485346978475,6.0
45,14,0.059204127373451175,6.0
46,52,0.2199010445299615,6.0
47,30,0.12686598722882395,6.0
48,42,0.17761238212035355,6.0
49,14,0.059204127373451175,6.0
50,30,0.12686598722882395,6.0
51,22,0.09303505730113756,6.0
52,29,0.12263712098786315,6.0
53,19,0.08034845857825516,6.0
54,38,0.16069691715651033,6.0
55,23,0.09726392354209837,6.0
56,16,0.06766185985537278,6.0
57,10,0.042288662409607984,6.0
58,35,0.14801031843362794,6.0
59,9,0.038059796168647186,6.0
60,18,0.07611959233729437,6.0
61,7,0.029602063686725587,6.0
62,31,0.13109485346978475,6.0
63,9,0.038059796168647186,6.0
64,35,0.14801031843362794,6.0
65,20,0.08457732481921597,6.0
66,25,0.10572165602401996,6.0
67,14,0.059204127373451175,6.0
68,38,0.16069691715651033,6.0
69,11,0.04651752865056878,6.0
70,5,0.021144331204803992,6.0
71,6,0.02537319744576479,6.0
72,16,0.06766185985537278,6.0
73,2,0.008457732481921597,6.0
74,12,0.05074639489152958,6.0
75,12,0.05074639489152958,6.0
76,15,0.06343299361441197,6.0
77,10,0.042288662409607984,6.0
78,7,0.029602063686725587,6.0
79,17,0.07189072609633357,6.0
80,12,0.05074639489152958,6.0
81,1,0.004228866240960799,6.0
82,13,0.05497526113249038,6.0
83,2,0.008457732481921597,6.0
84,7,0.029602063686725587,6.0
85,2,0.008457732481921597,6.0
86,9,0.038059796168647186,6.0
87,3,0.012686598722882395,6.0
88,16,0.06766185985537278,6.0
89,4,0.016915464963843194,6.0
90,17,0.07189072609633357,6.0
91,4,0.016915464963843194,6.0
92,11,0.04651752865056878,6.0
93,5,0.021144331204803992,6.0
94,9,0.038059796168647186,6.0
95,6,0.02537319744576479,6.0
96,8,0.03383092992768639,6.0
97,3,0.012686598722882395,6.0
98,5,0.021144331204803992,6.0
100,2,0.008457732481921597,6.0
101,1,0.004228866240960799,6.0
102,1,0.004228866240960799,6.0
103,3,0.012686598722882395,6.0
104,3,0.012686598722882395,6.0
105,2,0.008457732481921597,6.0
106,2,0.008457732481921597,6.0
107,1,0.004228866240960799,6.0
108,3,0.012686598722882395,6.0
112,1,0.004228866240960799,6.0
113,1,0.004228866240960799,6.0
114,2,0.008457732481921597,6.0
115,1,0.004228866240960799,6.0
118,2,0.008457732481921597,6.0
121,1,0.004228866240960799,6.0
123,1,0.004228866240960799,6.0
125,5,0.021144331204803992,6.0
127,2,0.008457732481921597,6.0
129,3,0.012686598722882395,6.0
130,2,0.008457732481921597,6.0
131,1,0.004228866240960799,6.0
133,1,0.004228866240960799,6.0
134,1,0.004228866240960799,6.0
135,3,0.012686598722882395,6.0
148,2,0.008457732481921597,6.0
155,1,0.004228866240960799,6.0
161,3,0.012686598722882395,6.0
169,1,0.004228866240960799,6.0
171,1,0.004228866240960799,6.0
