si,ti,mi,ai,cti,so,to,mo,ao,cto,dec,held,signal,scorable,kind,pass,on_rate
-0.00300028628207738,-1.798669152035415,-0.6114472602182954,0.5714285714285714,28,0.0008766203404895478,0.4826547074482075,0.3821203297956711,0.5714285714285714,28,0.2683399039239787,False,eff_trail_5,True,quintile,False,
-0.009473615134238528,-5.689033883528095,-0.843709428708108,0.75,28,0.0020846950834376987,1.149613950769626,0.1686320108228092,0.5714285714285714,28,0.2020754269188294,False,eff_trail_10,True,quintile,False,
-0.010988615423327935,-6.566078116914513,-0.8882354229361829,0.7857142857142857,28,-0.0014217550783050537,-0.7953804468980447,-0.3977921984101488,0.42857142857142855,28,0.12113478285448795,True,eff_trail_15,True,quintile,False,
-0.009835893877757018,-5.893332461592911,-0.8931535017046811,0.6785714285714286,28,-0.009912465724813496,-5.524274714931832,-0.7911670266885179,0.6428571428571429,28,0.9373770699233,True,eff_trail_20,True,quintile,False,
-0.005688837222593113,-3.390000779218075,-0.9487208396727773,0.5357142857142857,28,-0.006695529361218339,-3.711880280236041,-0.9246634621385919,0.6428571428571429,28,1.0949496834901051,True,persist_ratio,True,quintile,False,
-0.0057093948516921955,-3.4026787156728817,-0.9503244967544928,0.5357142857142857,28,-0.00667589848261263,-3.701049720850617,-0.9235479930910575,0.6071428571428571,28,1.0876870930550762,True,persist_log,True,quintile,False,
-0.0043472992017436485,-2.6112623056585096,-0.7688301638513877,0.4642857142857143,28,-0.006606747115783296,-3.649470669733075,-0.7390006581404346,0.6428571428571429,28,1.3975886918080984,True,persist_diff,True,quintile,False,
-0.0036517752598768938,-2.1904295572691717,-0.78630231068588,0.5714285714285714,28,-0.006815305906989866,-3.7555281982059676,-0.703467281657167,0.6785714285714286,28,1.7145167648705484,True,ts_slope,True,quintile,False,
0.005038645171459855,3.0096254103839057,0.9561226862066442,0.75,28,-0.0038730814822136306,-2.1197873026950633,-0.625545367212327,0.5714285714285714,28,0.70433592678388,False,ts_curve,True,quintile,False,
0.009336462552622882,5.566257514306039,0.9255622922844134,0.7142857142857143,28,0.005626451585010156,3.121118605842285,0.9551554641453338,0.6428571428571429,28,0.560721202319617,True,ts_disp,True,quintile,False,
-0.0006827438325548331,-0.3401675346449102,,0.4642857142857143,28,0.0032195359465286228,1.0139565722002817,,0.6785714285714286,28,2.9807564477272,False,xh_agree,True,binary,False,0.8433171292666353
0.0005894631327358485,0.4661585297952956,,0.6071428571428571,28,-0.001593293814792397,-1.258953165255398,,0.6785714285714286,28,2.700697476903925,False,xh_ends,True,binary,False,0.5491349119230569
-0.0040402942123701005,-1.3231535390249112,,0.6071428571428571,28,-0.004388898038984014,-1.1525602126635954,,0.5714285714285714,28,0.87107064952792,True,mtf_agree,True,binary,False,0.7600360671161989
-0.0011331781085897091,-0.6513443866241309,,0.6785714285714286,28,-0.0006241253567331373,-0.22215754200981638,,0.5,28,0.34107539202301607,True,conf_2of4,True,binary,False,0.5989232136323245
-0.004552358583692803,-2.0410899483347307,,0.6785714285714286,28,-0.0025948231905803137,-1.0050485431533291,,0.5357142857142857,28,0.492407766729399,True,conf_3of4,True,binary,False,0.36963566985520885
-0.006617361063773169,-2.7041618477486544,,0.75,28,-0.0020221658797817915,-0.7642311023900626,,0.5,28,0.2826129297794516,True,conf_4of4,True,binary,False,0.1763368355025874
-0.007250832333827016,-2.167346793498806,,0.6428571428571429,28,-0.006168837217136213,-1.6791884163248665,,0.6785714285714286,28,0.7747668353591479,True,conf_3of4_and_persist,True,binary,False,0.07797553708640427
-0.002399895429870131,-0.7659604223456876,,0.5714285714285714,28,-0.0031660541379067092,-0.9779481075959793,,0.5357142857142857,28,1.2767606250478292,True,conf_3of4_and_mtf,True,binary,False,0.21329256181067377
-0.004506042373801367,-1.1940946107406247,,0.5714285714285714,28,-0.005733591113009146,-1.4720482761744147,,0.6071428571428571,28,1.2327735699781712,True,conf_all_three,True,binary,False,0.059184046834979874
