book,suffix,slice,budget,median_year_pct,worst_year_pct,dip95_pct,profit_factor,build_median_year_pct,retention,retention_flag,p_random_entry,p_regime_shuffle
always-on (no routing),_modec_smoke,ALL (book),team1,-0.6921271977606145,-1.2983181101242958,7.253964121257423,1.0172033965213136,3.2329120133173737,-0.2140878548223788,FIT,,n/a (no state read)
always-on (no routing),_modec_smoke,ALL (book),team2,-1.0381907966409216,-1.947477165186444,10.880946181886138,1.0172033965213136,4.849368019976061,-0.2140878548223788,FIT,,n/a (no state read)
always-on (no routing),_modec_smoke,C-trend,team1,-0.6921271977606145,-1.2983181101242958,7.253964121257423,1.0172033965213136,,,,book-level,book-level
always-on (no routing),_modec_smoke,C-trend,team2,-1.0381907966409216,-1.947477165186444,10.880946181886138,1.0172033965213136,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,_modec_smoke_routed,ALL (book),team1,1.3348191999685082,-3.628588895051285,6.791076049370152,1.0986742166072254,4.978048475315269,0.2681410610176856,ok,,0.0
routed: chop RANGING + trend TRENDING,_modec_smoke_routed,ALL (book),team2,2.002228799952763,-5.303498105938021,10.08034192131852,1.1000615053601863,7.470658616604695,0.2680123537572041,ok,,0.0
routed: chop RANGING + trend TRENDING,_modec_smoke_routed,C-trend,team1,1.3348191999685082,-3.628588895051285,6.791076049370152,1.0986742166072254,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,_modec_smoke_routed,C-trend,team2,2.002228799952763,-5.303498105938021,10.08034192131852,1.1000615053601863,,,,book-level,book-level
chop RANGING + trend UNGATED,_modec_smoke_tgalways,ALL (book),team1,-0.5916860237597823,-1.2414203786598534,7.394003485403182,1.0201504529165994,3.6385892538511553,-0.1626141294001597,FIT,,1.0
chop RANGING + trend UNGATED,_modec_smoke_tgalways,ALL (book),team2,-0.8875290356396738,-1.86213056798978,11.09100522810478,1.0201504529165992,5.457883880776733,-0.1626141294001597,FIT,,1.0
chop RANGING + trend UNGATED,_modec_smoke_tgalways,C-trend,team1,-0.5916860237597823,-1.2414203786598534,7.394003485403182,1.0201504529165994,,,,book-level,book-level
chop RANGING + trend UNGATED,_modec_smoke_tgalways,C-trend,team2,-0.8875290356396738,-1.86213056798978,11.09100522810478,1.0201504529165992,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,_modec_smoke_tgnotrang,ALL (book),team1,-1.533974571412926,-2.0710904813407804,8.323791102616939,0.996856674982786,3.5868181980058074,-0.4276700091088481,FIT,,1.0
chop RANGING + trend NOT-RANGING,_modec_smoke_tgnotrang,ALL (book),team2,-2.3009618571193897,-3.1066357220111716,12.4856866539254,0.996856674982786,5.380227297008713,-0.4276700091088481,FIT,,1.0
chop RANGING + trend NOT-RANGING,_modec_smoke_tgnotrang,C-trend,team1,-1.533974571412926,-2.0710904813407804,8.323791102616939,0.996856674982786,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,_modec_smoke_tgnotrang,C-trend,team2,-2.3009618571193897,-3.1066357220111716,12.4856866539254,0.996856674982786,,,,book-level,book-level
