signal,kind,si,so,to,ao,mo,null,corrected
eff_trail_5,quintile,-0.0013546802144162,0.0028113652051319,1.513881682286735,0.6785714285714286,0.4633887239018571,0.00290225307542775,-9.088787029585014e-05
eff_trail_10,quintile,-0.004751865930864,0.0016999569181557,0.9242335967259652,0.6071428571428571,0.5514607158663999,0.0030444298706844,-0.0013444729525287
eff_trail_15,quintile,-0.0068535772953604,-0.0022802183002845,-1.255290053687488,0.4642857142857143,-0.2117933091242601,0.0024129452047026,-0.00013272690441809998
eff_trail_20,quintile,-0.0080129802521611,-0.0100907064132838,-5.53859051922006,0.6428571428571429,-0.8129203844421745,0.0029863405858991,0.007104365827384699
persist_ratio,quintile,-0.0033313034379915,-0.0062036632089981,-3.3381808941000535,0.5714285714285714,-0.7809236633944173,0.00169321272456805,0.00451045048443005
persist_log,quintile,-0.0032124566028308,-0.0062194443814804,-3.348690042636113,0.5714285714285714,-0.7798393050701833,0.0016947930635059,0.0045246513179745
persist_diff,quintile,-0.0016600219401402,-0.0080934384333007,-4.354541428161127,0.7142857142857143,-0.904114492908984,0.00307447432887405,0.00501896410442665
ts_slope,quintile,-0.0022357097505237,-0.0076712779248923,-4.140025229042549,0.7857142857142857,-0.911560234062159,0.0028461764161357497,0.00482510150875655
ts_curve,quintile,0.0024583919588486,-0.0017281032009301,-0.927314176687818,0.4285714285714285,-0.3023273005066267,0.00157355437447005,0.00015454882646004993
ts_disp,quintile,0.0050339129019543,0.0086863022987021,4.7252001343700245,0.6428571428571429,0.8346388423990463,0.0021553114145769,0.006530990884125199
xh_agree,binary,-4.050187215752411e-05,0.0040013783167382,1.320261161271735,0.6428571428571429,,0.0033431255912358,0.0006582527255023997
xh_ends,binary,0.0006045081939349,-0.0008593423061465,-0.6970297382214782,0.5714285714285714,,0.0011589278918875,-0.000299585585741
mtf_agree,binary,-0.001768020345283,-0.002248285971638,-0.6056699321182427,0.5,,0.001990233965403,0.0002580520062350003
conf_2of4,binary,0.0002811353752615,0.0007937414037635,0.2715188327471186,0.5357142857142857,,0.0019648504064788998,-0.0011711090027153998
conf_3of4,binary,-0.001131003775941,-0.0014423470985732,-0.5632469453624893,0.4642857142857143,,0.001894404433551,-0.0004520573349777999
conf_4of4,binary,-0.0024997161385494,-0.0030500963981137,-1.081707525317901,0.4642857142857143,,0.0019975636085241,0.0010525327895896
conf_3of4_and_persist,binary,-0.0028364806695196,-0.0057794501882698,-1.73611927755168,0.6071428571428571,,0.0024687504822007997,0.0033106997060690004
conf_3of4_and_mtf,binary,-8.421022274993183e-05,-0.0032005573606621,-0.9753707685952564,0.4642857142857143,,0.0020602587175644,0.0011402986430977002
conf_all_three,binary,-0.0024470789324339,-0.0044203704140662,-1.0872884808759893,0.5357142857142857,,0.0024531940187137,0.0019671763953524996
