block,W,kind,n,agree,excess
is,5,transition into trending,708,0.4788135593220339,-0.023069679849340885
is,5,matched non-transition bars,2124,0.5018832391713748,
oos,5,transition into trending,468,0.49786324786324787,0.024216524216524205
oos,5,matched non-transition bars,1404,0.47364672364672367,
