name,both_pct,long_pct,short_pct,neutral_pct
ssl_channel_signals,0.0,50.4,49.4,0.2
halftrend_signals,0.0,54.1,45.9,0.0
didi_index_signals,0.0,50.5,49.2,0.3
kase_peak_oscillator_signals,0.0,48.6,50.7,0.7
qqe_mod_signals,0.0,50.1,49.9,0.0
schaff_trend_cycle_signals,0.0,49.7,50.3,0.0
glitch_index_signals,0.0,32.2,32.5,35.3
ehlers_reverse_ema_signals,0.0,49.9,50.1,0.0
chandelier_exit_signals,0.0,47.9,52.1,0.0
polychromatic_momentum_signals,0.0,48.8,50.8,0.5
mama_fama_signals,0.0,50.1,49.8,0.1
kuskus_starlight_signals,0.0,48.7,50.8,0.5
bears_bulls_impulse_signals,0.0,34.6,34.5,30.9
fx_sniper_ergodic_cci_signals,0.0,50.6,49.0,0.4
lemantrend_signals,0.0,49.3,50.1,0.6
waddah_attar_explosion_signals,0.0,46.8,49.9,3.2
volatility_quality_signals,0.0,72.8,27.0,0.2
j_tpo_signals,0.0,49.1,50.2,0.7
hieken_ashi_smoothed_signals,0.0,50.3,48.2,1.4
coral_signals,0.0,50.9,49.1,0.0
trend_direction_force_index_signals,0.0,19.7,19.6,60.7
dspo_signals,0.0,49.9,49.6,0.5
vortex_signals,0.0,49.8,50.0,0.2
adx_dmi_signals,0.0,18.9,17.2,63.9
parabolic_sar_signals,0.0,50.4,49.6,0.0
donchian_breakout_signals,0.0,50.0,49.6,0.4
ichimoku_signals,0.0,33.8,33.8,32.4
linreg_slope_signals,0.0,35.4,35.1,29.5
chaikin_money_flow_signals,0.0,0.0,0.0,100.0
coppock_curve_signals,0.0,50.2,49.4,0.4
dpo_signals,0.0,50.9,47.8,1.3
ease_of_movement_signals,0.0,0.0,0.0,100.0
kalman_filter_signals,0.0,48.7,51.2,0.0
laguerre_filter_signals,0.0,50.0,50.0,0.0
price_momentum_oscillator_signals,0.0,51.9,47.2,0.9
relative_vigor_index_signals,0.0,43.0,42.2,14.8
supertrend_signals,0.0,47.6,52.3,0.2
fisher_transform_signals,0.0,50.7,49.1,0.2
aroon_signals,0.0,48.9,50.7,0.4
center_of_gravity_signals,0.0,49.9,49.9,0.2
rex_oscillator_signals,0.0,49.7,50.0,0.4
