knob,variant,state,sep_is,sep_oos
N,15,trending,0.19650755128385994,0.15021900134242208
N,15,ranging,0.149346790802206,0.15263849716676875
N,15,trend-in-range,0.07336672761794352,0.07457783539048635
N,15,neither,0.06360580200400873,0.09094521346213821
N,23,trending,0.12161263968238283,0.10072070789164564
N,23,ranging,0.12013501490049501,0.09626409545542444
N,23,trend-in-range,0.025722750309272978,0.0113148139244824
N,23,neither,0.029709751125366682,0.05806871162329648
dwell,4,trending,0.17509092009196253,0.14049487909187724
dwell,4,ranging,0.14017896095390392,0.14440981966180644
dwell,4,trend-in-range,0.0562457559135819,0.06404841282478203
dwell,4,neither,0.04556789903583923,0.08826996589642891
dwell,6,trending,0.16519298665499746,0.11998804122505424
dwell,6,ranging,0.12357472120317047,0.12369738282674998
dwell,6,trend-in-range,0.05172944971821941,0.06300104228489468
dwell,6,neither,0.043519581847578245,0.08391433026039093
band,0.20,trending,0.1736777076635891,0.13752042756709795
band,0.20,ranging,0.13187204969476043,0.13260166506052218
band,0.20,trend-in-range,0.05624422209660773,0.06493258788855209
band,0.20,neither,0.04167986555095175,0.08085456042150586
band,0.31,trending,0.17087891282888173,0.12789716353963865
band,0.31,ranging,0.13263361456874612,0.1328846468720663
band,0.31,trend-in-range,0.052612058454854796,0.06777910832802553
band,0.31,neither,0.04187563330808844,0.09037969938926546
act_cuts,"0.25, 0.50",trending,0.16840635134755502,0.12284842068518012
act_cuts,"0.25, 0.50",ranging,0.12741475757946974,0.1311617275457435
act_cuts,"0.25, 0.50",trend-in-range,0.05649226033438305,0.061565374287397556
act_cuts,"0.25, 0.50",neither,0.049085838709497724,0.08808919195027407
act_cuts,"0.417, 0.833",trending,0.1706315445306028,0.12468661423304424
act_cuts,"0.417, 0.833",ranging,0.12836836645968894,0.12908660231552044
act_cuts,"0.417, 0.833",trend-in-range,0.05578009000970115,0.06749454603085517
act_cuts,"0.417, 0.833",neither,0.04759148902565438,0.08836592017234927
score_q,0.40,trending,0.17770340157882356,0.1318431904127933
score_q,0.40,ranging,0.1420466084962625,0.11186750840430212
score_q,0.40,trend-in-range,0.03811961962259101,0.049718921835396404
score_q,0.40,neither,0.03957459498028808,0.07736475161782137
score_q,0.60,trending,0.15606556358527401,0.10865778200765872
score_q,0.60,ranging,0.12943492293386755,0.1458910068430657
score_q,0.60,trend-in-range,0.07924660576000875,0.07489730043492852
score_q,0.60,neither,0.03484915082674867,0.08848334559698322
weights,tilt up,trending,0.146945353865104,0.11852121713022915
weights,tilt up,ranging,0.10886502444878654,0.11154340452942899
weights,tilt up,trend-in-range,0.04167369476586121,0.06597011994628985
weights,tilt up,neither,0.045275505501932,0.08231825624255953
weights,tilt down,trending,0.2018327372636669,0.14682129322425486
weights,tilt down,ranging,0.15441928745004552,0.15555488047222438
weights,tilt down,trend-in-range,0.06579659754095017,0.06627550621111572
weights,tilt down,neither,0.04072439131370889,0.09450008830574673
bump,0.56,trending,0.16771886419215154,0.1257448928684785
bump,0.56,ranging,0.1299280073137044,0.13248436907506053
bump,0.56,trend-in-range,0.0506004479933016,0.06136402894310884
bump,0.56,neither,0.04791681494012716,0.08925428814786372
bump,0.94,trending,0.1716875091068663,0.13508530222622156
bump,0.94,ranging,0.12926617687986616,0.1373158239043645
bump,0.94,trend-in-range,0.057261142478581405,0.05885386101028556
bump,0.94,neither,0.040418758817984304,0.08664556454971009
drop_tests,False (keep tests),trending,0.16019094747548268,0.12888755069439378
drop_tests,False (keep tests),ranging,0.13221945223357895,0.10006393644305751
drop_tests,False (keep tests),trend-in-range,0.033121191052401466,0.04573080874374135
drop_tests,False (keep tests),neither,0.03721477492376875,0.06540904426316196
kfail,15,trending,0.17825672014590052,0.1357293139438096
kfail,15,ranging,0.13240608799828507,0.12630908640072558
kfail,15,trend-in-range,0.056730463856078286,0.06460104057764827
kfail,15,neither,0.045111669503131724,0.08041178137854273
kfail,25,trending,0.1655075259835601,0.1399380049267412
kfail,25,ranging,0.1388585348016472,0.13495532866686866
kfail,25,trend-in-range,0.05063490940536475,0.05063919123773214
kfail,25,neither,0.03960142440082117,0.08429545480484285
volwin,45,trending,0.1678458194428877,0.12382278073025138
volwin,45,ranging,0.1319906907439859,0.13838568525903655
volwin,45,trend-in-range,0.049591323720661405,0.06125198296551697
volwin,45,neither,0.04197827009556825,0.0925028762711548
volwin,75,trending,0.17896963001721514,0.14028971896258646
volwin,75,ranging,0.133754010142985,0.13674918486989118
volwin,75,trend-in-range,0.05559341267778818,0.06534963372468885
volwin,75,neither,0.045409734608500334,0.08726901262494685
actL,21,trending,0.17414573563129904,0.12362485681354765
actL,21,ranging,0.13135662939290732,0.14227727153500136
actL,21,trend-in-range,0.06310809013507479,0.07461432533839503
actL,21,neither,0.041913060128153726,0.09395643670210059
actL,35,trending,0.16526775517697706,0.11859045700643528
actL,35,ranging,0.12001502861097196,0.12383745258731799
actL,35,trend-in-range,0.06679426384354095,0.06774328811278643
actL,35,neither,0.04829621958404402,0.096961463594438
