ticker,config,detector,logic,oos_sharpe,base_sharpe,n_obs,delta
EURGBP,c0,trend_sma200,switch,0.28912982282020533,0.28912982282020533,2753,0.0
EURGBP,c0,trend_sma200,switch_backwards,-0.8679027973158986,0.28912982282020533,2753,-1.1570326201361039
EURGBP,c0,trend_sma200,gate,0.029589653174329784,0.28912982282020533,2753,-0.25954016964587556
EURGBP,c0,vol_regime,switch,0.28912982282020533,0.28912982282020533,2753,0.0
EURGBP,c0,vol_regime,switch_backwards,-0.8679027973158986,0.28912982282020533,2753,-1.1570326201361039
EURGBP,c0,vol_regime,gate,0.0658296560177909,0.28912982282020533,2753,-0.22330016680241443
EURGBP,c0,markov_naive,switch,0.04501830906994591,0.28912982282020533,2753,-0.2441115137502594
EURGBP,c0,markov_naive,switch_backwards,-0.6673601944927605,0.28912982282020533,2753,-0.9564900173129658
EURGBP,c0,markov_naive,gate,0.2558885905121864,0.28912982282020533,2753,-0.03324123230801895
EURGBP,c0,hmm_2state,switch,-0.5364982701192609,0.28912982282020533,2753,-0.8256280929394662
EURGBP,c0,hmm_2state,switch_backwards,-0.09364955397595541,0.28912982282020533,2753,-0.38277937679616075
EURGBP,c0,hmm_2state,gate,-0.06626320075829113,0.28912982282020533,2753,-0.35539302357849645
EURGBP,c1,trend_sma200,switch,0.03363357274925263,0.27559375650986057,2753,-0.24196018376060793
EURGBP,c1,trend_sma200,switch_backwards,-0.41089075218255566,0.27559375650986057,2753,-0.6864845086924163
EURGBP,c1,trend_sma200,gate,0.4867400718543546,0.27559375650986057,2753,0.21114631534449402
EURGBP,c1,vol_regime,switch,-0.29064227186711716,0.27559375650986057,2753,-0.5662360283769777
EURGBP,c1,vol_regime,switch_backwards,-0.07709254793674171,0.27559375650986057,2753,-0.35268630444660226
EURGBP,c1,vol_regime,gate,0.21280933719957448,0.27559375650986057,2753,-0.06278441931028608
EURGBP,c1,markov_naive,switch,0.1428074584227842,0.27559375650986057,2753,-0.13278629808707637
EURGBP,c1,markov_naive,switch_backwards,-0.4932344366311028,0.27559375650986057,2753,-0.7688281931409633
EURGBP,c1,markov_naive,gate,0.4604271641688351,0.27559375650986057,2753,0.18483340765897455
EURGBP,c1,hmm_2state,switch,-0.25649355562083814,0.27559375650986057,2753,-0.5320873121306987
EURGBP,c1,hmm_2state,switch_backwards,-0.10467446499631942,0.27559375650986057,2753,-0.38026822150618
EURGBP,c1,hmm_2state,gate,0.135115995938851,0.27559375650986057,2753,-0.14047776057100955
EURGBP,c2,trend_sma200,switch,0.2881372365919051,0.5747160978733764,2753,-0.2865788612814713
EURGBP,c2,trend_sma200,switch_backwards,-0.0358966374461843,0.5747160978733764,2753,-0.6106127353195607
EURGBP,c2,trend_sma200,gate,0.8137094426343385,0.5747160978733764,2753,0.23899334476096212
EURGBP,c2,vol_regime,switch,-0.032183004479956916,0.5747160978733764,2753,-0.6068991023533333
EURGBP,c2,vol_regime,switch_backwards,0.299588083263263,0.5747160978733764,2753,-0.2751280146101134
EURGBP,c2,vol_regime,gate,0.3691366536393481,0.5747160978733764,2753,-0.2055794442340283
EURGBP,c2,markov_naive,switch,0.2953165931883495,0.5747160978733764,2753,-0.2793995046850269
EURGBP,c2,markov_naive,switch_backwards,-0.013185067957560422,0.5747160978733764,2753,-0.5879011658309369
EURGBP,c2,markov_naive,gate,0.17969917437872426,0.5747160978733764,2753,-0.3950169234946521
EURGBP,c2,hmm_2state,switch,0.2501713808745321,0.5747160978733764,2753,-0.3245447169988443
EURGBP,c2,hmm_2state,switch_backwards,0.011187125616028117,0.5747160978733764,2753,-0.5635289722573483
EURGBP,c2,hmm_2state,gate,0.2806377530328157,0.5747160978733764,2753,-0.2940783448405607
EURGBP,c3,trend_sma200,switch,-0.31511346029636705,0.07729205354487843,2753,-0.3924055138412455
EURGBP,c3,trend_sma200,switch_backwards,-0.27766853782336864,0.07729205354487843,2753,-0.3549605913682471
EURGBP,c3,trend_sma200,gate,0.08035599935893953,0.07729205354487843,2753,0.003063945814061095
EURGBP,c3,vol_regime,switch,-0.09243741383916045,0.07729205354487843,2753,-0.16972946738403888
EURGBP,c3,vol_regime,switch_backwards,-0.5044701064858805,0.07729205354487843,2753,-0.581762160030759
EURGBP,c3,vol_regime,gate,0.24419994667711956,0.07729205354487843,2753,0.16690789313224114
EURGBP,c3,markov_naive,switch,-0.08522139548843341,0.07729205354487843,2753,-0.16251344903331183
EURGBP,c3,markov_naive,switch_backwards,-0.4930936870512195,0.07729205354487843,2753,-0.5703857405960979
EURGBP,c3,markov_naive,gate,0.035534196771437786,0.07729205354487843,2753,-0.04175785677344065
EURGBP,c3,hmm_2state,switch,-0.3438160569586509,0.07729205354487843,2753,-0.42110811050352936
EURGBP,c3,hmm_2state,switch_backwards,-0.2498872128372239,0.07729205354487843,2753,-0.3271792663821023
EURGBP,c3,hmm_2state,gate,0.003510542929689569,0.07729205354487843,2753,-0.07378151061518887
EURGBP,c4,trend_sma200,switch,0.3846231083958397,0.3846231083958397,2753,0.0
EURGBP,c4,trend_sma200,switch_backwards,-0.5482634118166257,0.3846231083958397,2753,-0.9328865202124654
EURGBP,c4,trend_sma200,gate,-0.007174545684262261,0.3846231083958397,2753,-0.3917976540801019
EURGBP,c4,vol_regime,switch,0.3846231083958397,0.3846231083958397,2753,0.0
EURGBP,c4,vol_regime,switch_backwards,-0.5482634118166257,0.3846231083958397,2753,-0.9328865202124654
EURGBP,c4,vol_regime,gate,0.2529303936378162,0.3846231083958397,2753,-0.13169271475802347
EURGBP,c4,markov_naive,switch,0.3846231083958397,0.3846231083958397,2753,0.0
EURGBP,c4,markov_naive,switch_backwards,-0.5482634118166257,0.3846231083958397,2753,-0.9328865202124654
EURGBP,c4,markov_naive,gate,0.5197517252446412,0.3846231083958397,2753,0.1351286168488015
EURGBP,c4,hmm_2state,switch,0.3846231083958397,0.3846231083958397,2753,0.0
EURGBP,c4,hmm_2state,switch_backwards,-0.5482634118166257,0.3846231083958397,2753,-0.9328865202124654
EURGBP,c4,hmm_2state,gate,0.1588145067143821,0.3846231083958397,2753,-0.22580860168145758
EURAUD,c0,trend_sma200,switch,-0.0926630766068977,-0.0926630766068977,2753,0.0
EURAUD,c0,trend_sma200,switch_backwards,-0.48964114548532395,-0.0926630766068977,2753,-0.39697806887842624
EURAUD,c0,trend_sma200,gate,-0.24922085003193295,-0.0926630766068977,2753,-0.15655777342503524
EURAUD,c0,vol_regime,switch,-0.46108988353094243,-0.0926630766068977,2753,-0.3684268069240447
EURAUD,c0,vol_regime,switch_backwards,-0.14110004945870191,-0.0926630766068977,2753,-0.04843697285180422
EURAUD,c0,vol_regime,gate,-0.23112409094239125,-0.0926630766068977,2753,-0.13846101433549357
EURAUD,c0,markov_naive,switch,-0.30854079695401343,-0.0926630766068977,2753,-0.21587772034711572
EURAUD,c0,markov_naive,switch_backwards,-0.2945020639630663,-0.0926630766068977,2753,-0.20183898735616856
EURAUD,c0,markov_naive,gate,0.009738174514427265,-0.0926630766068977,2753,0.10240125112132496
EURAUD,c0,hmm_2state,switch,-0.0926630766068977,-0.0926630766068977,2753,0.0
EURAUD,c0,hmm_2state,switch_backwards,-0.48964114548532395,-0.0926630766068977,2753,-0.39697806887842624
EURAUD,c0,hmm_2state,gate,-0.20357795497970893,-0.0926630766068977,2753,-0.11091487837281123
EURAUD,c1,trend_sma200,switch,0.13939423777018733,0.4026304087705811,2753,-0.26323617100039376
EURAUD,c1,trend_sma200,switch_backwards,-0.19528028971116929,0.4026304087705811,2753,-0.5979106984817504
EURAUD,c1,trend_sma200,gate,0.46875067814636723,0.4026304087705811,2753,0.06612026937578613
EURAUD,c1,vol_regime,switch,-0.0480871971142965,0.4026304087705811,2753,-0.4507176058848776
EURAUD,c1,vol_regime,switch_backwards,-0.003520675358533619,0.4026304087705811,2753,-0.4061510841291147
EURAUD,c1,vol_regime,gate,0.10836152110955656,0.4026304087705811,2753,-0.29426888766102455
