budget,draw,median_year_pct,total_return_pct,max_dd_pct,trades
team1,0,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,0,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,1,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,1,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,2,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,2,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,3,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,3,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,4,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,4,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,5,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,5,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,6,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,6,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,7,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,7,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,8,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,8,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,9,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,9,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,10,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,10,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,11,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,11,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,12,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,12,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,13,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,13,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,14,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,14,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,15,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,15,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,16,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,16,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,17,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,17,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,18,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,18,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,19,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,19,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,20,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,20,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,21,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,21,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,22,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,22,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,23,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,23,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
team1,24,-0.5916860237597823,1.2475803604035565,3.6538434626084513,308302
team2,24,-0.8875290356396738,1.8713705406053331,5.480765193912678,308302
