bucket,n,hazard
1-2,29907,0.31500986391145885
3-5,21174,0.19868706904694436
6-10,15902,0.1757640548358697
11-20,8815,0.16914350538854225
21-40,1273,0.18931657501963864
40+,13,0.38461538461538464
