# VOTE-TIMING LEAK (HANDOFF 0d, 15 Sep 2026): built with entry-day votes -- every number in this file is contaminated and may not be quoted. Readers pass comment='#'.
book,budget,year,return_pct,max_dd_pct,realised_vol_pct
ALWAYS_ON,team1,2016,2.6731206755464028,1.0161216679029619,1.9572108079043995
ALWAYS_ON,team1,2017,3.380570618268876,0.7487697704448437,1.3524889634092285
ALWAYS_ON,team1,2018,6.575691575843574,0.7055649564570263,1.844118690743059
ALWAYS_ON,team1,2019,2.514407558589129,1.513690581732353,1.510178798314407
ALWAYS_ON,team1,2020,4.8034497934491345,0.8929498394320681,1.9199104237681024
ALWAYS_ON,team2,2016,4.0096810133196055,1.5241825018544428,2.935816211856599
ALWAYS_ON,team2,2017,5.070855927403313,1.123154655667264,2.028733445113843
ALWAYS_ON,team2,2018,9.863537363765362,1.0583474346855404,2.7661780361145887
ALWAYS_ON,team2,2019,3.771611337883695,2.27053587259853,2.265268197471611
ALWAYS_ON,team2,2020,7.205174690173701,1.3394247591481028,2.879865635652154
H10_ROUTED_repro,team1,2016,4.363886768519764,0.9648454519759722,2.412774612728615
H10_ROUTED_repro,team1,2017,3.926649783034817,0.7108009144486265,1.787801486792786
H10_ROUTED_repro,team1,2018,8.516274286224892,0.6465564909206512,2.1241039360499205
H10_ROUTED_repro,team1,2019,5.09125866979625,1.3626824289994104,2.3723467432457657
H10_ROUTED_repro,team1,2020,6.035792310540822,1.8580732248721925,2.9085893812707546
H10_ROUTED_repro,team2,2016,6.545830152779647,1.4472681779639593,3.6191619190929236
H10_ROUTED_repro,team2,2017,5.889974674552226,1.066201371672939,2.6817022301891797
H10_ROUTED_repro,team2,2018,12.774411429337338,0.9698347363809754,3.1861559040748815
H10_ROUTED_repro,team2,2019,7.636888004694375,2.0440236434991164,3.5585201148686494
H10_ROUTED_repro,team2,2020,9.053688465811234,2.7871098373082903,4.362884071906132
5pm TIRx ACTi,team1,2016,3.910886439308062,0.8988298339378332,2.253506044533115
5pm TIRx ACTi,team1,2017,3.308186704193218,1.4122270658515346,2.232658118720532
5pm TIRx ACTi,team1,2018,8.123193191899473,0.7321235571352398,2.114843689973288
5pm TIRx ACTi,team1,2019,5.375258164062969,1.707990809002049,2.4515516890415783
5pm TIRx ACTi,team1,2020,4.389590879592064,1.7929457410891625,2.66319731545431
5pm TIRx ACTi,team2,2016,5.8663296589620915,1.3482447509067503,3.380259066799673
5pm TIRx ACTi,team2,2017,4.962280056289826,2.1183405987773067,3.3489871780807987
5pm TIRx ACTi,team2,2018,12.184789787849208,1.098185335702862,3.172265534959932
5pm TIRx ACTi,team2,2019,8.062887246094453,2.5619862135030727,3.6773275335623676
5pm TIRx ACTi,team2,2020,6.584386319388097,2.689418611633748,3.9947959731814655
5pm TIRi ACTi,team1,2016,3.227257373830548,1.012832358393793,2.184781066604053
5pm TIRi ACTi,team1,2017,1.9178256937021099,1.1274776553720258,2.050131510582326
5pm TIRi ACTi,team1,2018,6.445444052930848,0.8538531845478117,2.0504421440099634
5pm TIRi ACTi,team1,2019,3.9426724021766013,1.562143972006427,1.9887301648726718
5pm TIRi ACTi,team1,2020,2.7685531751214416,2.22852235653696,2.491260337596199
5pm TIRi ACTi,team2,2016,4.840886060745822,1.51924853759069,3.27717159990608
5pm TIRi ACTi,team2,2017,2.8767385405531662,1.6912164830580387,3.075197265873489
5pm TIRi ACTi,team2,2018,9.668166079396274,1.280779776821717,3.075663216014946
5pm TIRi ACTi,team2,2019,5.914008603264902,2.3432159580096403,2.9830952473090084
5pm TIRi ACTi,team2,2020,4.152829762682163,3.342783534805442,3.7368905063942988
5pm TIRx ACTw,team1,2016,5.78987877136481,0.9761206132994502,2.6234495720380284
5pm TIRx ACTw,team1,2017,3.6178103897438714,1.0143605050161555,2.4134168274402117
5pm TIRx ACTw,team1,2018,10.558737624818669,0.6016320098356722,2.4413143796257604
5pm TIRx ACTw,team1,2019,5.124201785166525,1.7070604329671928,2.3728840346777567
5pm TIRx ACTw,team1,2020,3.947775407492875,1.7191168803586474,2.553935309146582
5pm TIRx ACTw,team2,2016,8.684818157047216,1.4641809199491762,3.935174358057043
5pm TIRx ACTw,team2,2017,5.426715584615808,1.5215407575242332,3.6201252411603178
5pm TIRx ACTw,team2,2018,15.838106437228003,0.9024480147535092,3.661971569438641
5pm TIRx ACTw,team2,2019,7.686302677749788,2.5605906494507886,3.5593260520166354
5pm TIRx ACTw,team2,2020,5.9216631112393125,2.578675320537969,3.8309029637198733
5pm TIRi ACTw,team1,2016,3.3497157110992943,0.9160199210289874,2.325780107310495
5pm TIRi ACTw,team1,2017,2.7477474631961387,1.0412422345778936,1.9943240881099613
5pm TIRi ACTw,team1,2018,6.642529550996711,1.0332928604795928,2.0612072748679973
5pm TIRi ACTw,team1,2019,4.514847866215393,1.411800010523282,2.0162233831199927
5pm TIRi ACTw,team1,2020,2.695967455438634,2.3104341362998544,2.4636914612893897
5pm TIRi ACTw,team2,2016,5.024573566648942,1.3740298815434822,3.4886701609657442
5pm TIRi ACTw,team2,2017,4.121621194794209,1.5618633518668399,2.9914861321649426
5pm TIRi ACTw,team2,2018,9.963794326495071,1.5499392907193905,3.091810912301997
5pm TIRi ACTw,team2,2019,6.772271799323089,2.1177000157849237,3.024335074679989
5pm TIRi ACTw,team2,2020,4.043951183157948,3.4656512044497796,3.695537191934085
