block,end,pair_a,pair_b,kappa,observed,expected,shared_leg
is,top,CADCHF,EURCAD,0.3835668280022331,0.5438163416440385,0.2599625083810154,CAD
is,top,AUDCHF,EURAUD,0.37960115107800846,0.537151320661565,0.25394980963829417,AUD
is,top,CHFJPY,EURJPY,0.366914234647704,0.537151320661565,0.2689005113219193,JPY
is,top,EURNZD,NZDCHF,0.3296339955105054,0.5058010367810417,0.26279232552177706,NZD
is,top,AUDUSD,NZDUSD,0.3292924039778518,0.5137003209084177,0.27494532345280953,USD
is,top,EURUSD,USDCHF,0.30942651407329524,0.4900024685262898,0.26148694980762743,USD
is,top,EURGBP,GBPCHF,0.2701023590041337,0.46284867933843493,0.26407308300287113,GBP
is,top,NZDCAD,NZDUSD,0.25492614887288645,0.45050604788941,0.2624973332786532,NZD
is,top,AUDJPY,EURJPY,0.2336691274100583,0.4379165638114046,0.2665264361737879,JPY
is,top,AUDJPY,NZDJPY,0.23209059785916242,0.4324858059738336,0.2609620452048039,JPY
is,bottom,GBPNZD,GBPUSD,-0.07278270450964523,0.21402122932609233,0.2673457845937513,GBP
is,bottom,EURCAD,GBPNZD,-0.07297990538740673,0.2046408294248334,0.2587380559676029,none
is,bottom,EURGBP,NZDJPY,-0.07500548958730449,0.20735620834361887,0.26266070328563834,none
is,bottom,NZDJPY,USDCHF,-0.0781044941694642,0.20266600839298937,0.2604297673193078,none
is,bottom,EURCAD,NZDCHF,-0.08151576926117392,0.19550728215255492,0.2561433307652779,none
is,bottom,AUDJPY,EURCAD,-0.08166908828742078,0.19501357689459392,0.25579233813557467,none
is,bottom,EURUSD,GBPJPY,-0.08522671054506314,0.1979758084423599,0.2609616186512609,none
is,bottom,CADCHF,GBPNZD,-0.09019584894733051,0.20760306097259937,0.2731609281098236,none
is,bottom,EURUSD,NZDJPY,-0.09064349088639831,0.19402616637867193,0.2610107332449312,none
is,bottom,CADCHF,NZDCHF,-0.09895317498680335,0.19328560849173043,0.2659246909969964,CHF
oos,top,CADCHF,EURCAD,0.31510023087828587,0.5195635816403311,0.29853032513683014,CAD
oos,top,AUDJPY,NZDJPY,0.2689266313690435,0.47027840481565086,0.27541937934857136,JPY
oos,top,CADJPY,GBPJPY,0.261396122002324,0.4533483822422874,0.25988525914640187,JPY
oos,top,EURNZD,NZDCHF,0.2571732765093986,0.454477050413845,0.2656121106915761,NZD
oos,top,AUDCHF,EURAUD,0.25506471316433177,0.46237772761474794,0.27829667638787686,AUD
oos,top,CHFJPY,EURJPY,0.242052923364844,0.43867569601203915,0.25941490996981725,JPY
oos,top,EURJPY,GBPJPY,0.23287087472147466,0.43077501881113617,0.25798022466922693,JPY
oos,top,CADJPY,EURJPY,0.23052266201951235,0.42814145974416856,0.2568221154417772,JPY
oos,top,AUDJPY,CADJPY,0.20739925567478049,0.4104589917231001,0.25619422830746197,JPY
oos,top,GBPJPY,USDJPY,0.2056504958397568,0.41384499623777277,0.26209432914307845,JPY
oos,bottom,AUDNZD,USDCAD,-0.08823025465012886,0.23137697516930023,0.2936944901630072,none
oos,bottom,GBPAUD,USDCHF,-0.0885453674222149,0.2035364936042137,0.26832309407379856,none
oos,bottom,EURCHF,USDCHF,-0.08948598180229494,0.19751693002257337,0.2634296508800328,CHF
oos,bottom,EURUSD,GBPNZD,-0.09591902962306709,0.1854778028592927,0.256767904266745,none
oos,bottom,AUDNZD,EURGBP,-0.10365129631787123,0.2035364936042137,0.27833772401388035,none
oos,bottom,EURUSD,GBPCHF,-0.10462353879871615,0.20127915726109857,0.27692936581134736,none
oos,bottom,EURAUD,EURGBP,-0.11226219029756448,0.19074492099322798,0.2724241765421593,EUR
oos,bottom,CADJPY,EURUSD,-0.11613351917391589,0.17155756207674944,0.25775686896635286,none
oos,bottom,GBPCAD,USDCAD,-0.15374302267645198,0.18585402558314523,0.2943437503715518,CAD
oos,bottom,EURUSD,GBPJPY,-0.18380955673494154,0.13243039879608728,0.26713752539998786,none
