,is,oos
trending (straight+large),0.25522317188983856,0.24267743146826887
drifting (straight+small),0.24500576583909917,0.24337481894748136
volatile chop (choppy+large),0.24477682811016144,0.2478139584786224
dead (choppy+small),0.25499423416090083,0.2661337911056274
