c1,c2,vol,base,exit_ind,n_pick,n_w2,n_w3,n_blind,expectancy_R,total_R,profit_factor,win_rate,sharpe,sortino,max_dd_R,calmar
adx_dmi_signals,center_of_gravity_signals,williams_vix_fix_volume_signals,tma_baseline,vortex_exit,168,128,122,250,0.0740132121412341,18.503303035308544,1.2843683495443667,0.376,1.547768402931695,11.869964694815987,12.864787065247825,1.4382906566166396
adx_dmi_signals,ichimoku_signals,variance_volume_signals,wma_baseline,kalman_filter_exit,174,208,174,382,0.112405594931708,42.938937263912464,1.638581129906918,0.3612565445026178,3.309514105454064,13.705101266833578,9.687359747021636,4.4324705993409586
adx_dmi_signals,kuskus_starlight_signals,variance_volume_signals,tma_baseline,ichimoku_exit,216,222,192,414,0.0612581497552048,25.36087399865482,1.2818314439006298,0.3429951690821256,1.8105892490183249,7.984316378000877,8.851050462811216,2.865295379933904
adx_dmi_signals,trend_direction_force_index_signals,variance_volume_signals,kama_baseline,dspo_exit,138,104,76,180,0.1385642433156768,24.941563796821814,1.619890632349774,0.3833333333333333,2.2288240123909557,12.130160648083884,5.991107074930177,4.163097652049975
aroon_signals,adx_dmi_signals,variance_volume_signals,frama_baseline,donchian_breakout_exit,822,774,814,1588,0.040948404780178,65.02606679092274,1.194517046034686,0.3243073047858942,2.620793744750649,9.959478641063551,22.265109614423206,2.920536566718685
aroon_signals,bears_bulls_impulse_signals,variance_volume_signals,fantail_vma,didi_index_exit,1148,880,964,1844,0.0546188521610091,100.71716338490064,1.2737990958208212,0.3573752711496746,3.892113070278242,14.397615656765872,18.8523057941843,5.342432086793893
aroon_signals,chandelier_exit_signals,waddah_attar_explosion_volume_signals,mcginley_dynamic_index,ichimoku_exit,1206,1018,1070,2088,0.0412173748719592,86.06187873265098,1.1814047673201016,0.3314176245210728,2.868536178567141,12.147771573338638,24.664992568855837,3.4892318938429434
aroon_signals,hieken_ashi_smoothed_signals,waddah_attar_explosion_volume_signals,ema_baseline,ehlers_reverse_ema_exit,1588,1356,1378,2734,0.0557943162895907,152.54166073574112,1.2605569845278748,0.3244330651060716,4.40690006682119,17.513933193870823,29.81439131926308,5.11637682293329
aroon_signals,lemantrend_signals,williams_vix_fix_volume_signals,rma_baseline,fx_sniper_ergodic_cci_exit,284,222,230,452,0.0431751850382382,19.515183637283677,1.2036807855867018,0.4446902654867257,1.6431790984784964,6.047190131993571,9.399388896074298,2.076218342815275
aroon_signals,polychromatic_momentum_signals,williams_vix_fix_volume_signals,lsma_baseline,ehlers_reverse_ema_exit,222,224,240,464,0.0958485070453875,44.47370726905979,1.5438378472312178,0.4547413793103448,3.546010667739899,13.093998660819503,12.776391513940354,3.480928650357529
aroon_signals,supertrend_signals,volatility_ratio_volume_signals,mcginley_dynamic_index,bears_bulls_impulse_exit,1994,1634,1682,3316,0.0401882972647768,133.2643937299995,1.1668628047861818,0.3184559710494571,3.208088647405932,15.330090578709854,27.80315088070583,4.793139968264502
aroon_signals,vortex_signals,variance_volume_signals,sma_baseline,supertrend_exit,1434,1214,1288,2502,0.0480472100535237,120.21411955391662,1.2018200108017665,0.3361310951239009,3.367957203278491,15.7803536687884,32.82594594691571,3.66216771782663
bears_bulls_impulse_signals,bears_bulls_impulse_signals,variance_volume_signals,mcginley_dynamic_index,schaff_trend_cycle_exit,2556,2168,2236,4404,0.0466920345214829,205.63172003261076,1.1891864242028234,0.3331062670299727,2.5707978875041086,21.980921780840937,26.694086432999725,7.703268682699888
bears_bulls_impulse_signals,chandelier_exit_signals,chaikin_volatility_volume_signals,sma_baseline,dpo_exit,1506,1278,1208,2486,0.0536375854645519,133.34303746487615,1.2090001297024455,0.3459372485921158,1.7860239037464902,20.931662068192875,21.014864420543347,6.34517714682589
bears_bulls_impulse_signals,donchian_breakout_signals,chaikin_volatility_volume_signals,mcginley_dynamic_index,didi_index_exit,1190,928,934,1862,0.0952424869892412,177.34151077396737,1.3729285574619787,0.3603651987110634,2.4145222386821943,34.87391487050224,16.35850282928132,10.840937745019698
bears_bulls_impulse_signals,dspo_signals,efficiency_ratio_volume_signals,tma_baseline,ichimoku_exit,594,550,506,1056,0.0929452839517796,98.15021985307942,1.3463899876991974,0.3570075757575757,1.409363910405909,27.829497577128222,17.199854413016695,5.706456432491674
bears_bulls_impulse_signals,dspo_signals,variance_volume_signals,frama_baseline,price_momentum_oscillator_exit,2266,1908,1926,3834,0.047359046558785,181.5745845063819,1.1987840864263752,0.3307250912884715,2.340819538429495,18.76409746184217,23.385795859068693,7.764310678183303
bears_bulls_impulse_signals,glitch_index_signals,variance_volume_signals,ema_baseline,parabolic_sar_exit,368,334,314,648,0.043313234799728,28.0669761502238,1.164347949271073,0.3672839506172839,1.5231692026061918,10.367266236724303,15.742841827514,1.7828405098481477
bears_bulls_impulse_signals,kase_peak_oscillator_signals,chaikin_volatility_volume_signals,ema_baseline,aroon_exit,1808,1486,1396,2882,0.0567646187877153,163.59563134619566,1.2184644172679748,0.3466342817487856,2.1376081788079344,25.187096106056995,28.729388960204233,5.6943651524509376
bears_bulls_impulse_signals,relative_vigor_index_signals,volatility_ratio_volume_signals,wma_baseline,qqe_mod_exit,448,342,382,724,0.0711968212078972,51.54649855451758,1.3030380025905468,0.3770718232044199,2.638635278189365,14.825898212060714,14.575181169307406,3.536594019363877
center_of_gravity_signals,adx_dmi_signals,variance_volume_signals,wma_baseline,kalman_filter_exit,298,270,296,566,0.0513319360069765,29.05387577994872,1.2233562071760953,0.3445229681978798,1.7287927586005092,7.6511564115218444,16.437418275568678,1.767544957052786
center_of_gravity_signals,bears_bulls_impulse_signals,variance_volume_signals,vidya,j_tpo_exit,1642,1398,1458,2856,0.0702009626020745,200.4939491915249,1.3175319039745486,0.3806022408963585,2.63326972491593,24.187471771926276,18.49057403427185,10.843035420096424
center_of_gravity_signals,chandelier_exit_signals,chaikin_volatility_volume_signals,wma_baseline,supertrend_exit,1938,1492,1426,2918,0.0537670358315242,156.89221055638774,1.2215125027135765,0.3145990404386566,2.048177765357945,18.89601202725126,26.500136069219856,5.920430376152651
center_of_gravity_signals,chandelier_exit_signals,variance_volume_signals,tma_baseline,ichimoku_exit,1090,936,1014,1950,0.0770812641496699,150.3084650918565,1.3150823197130417,0.3353846153846154,1.9881355566867716,24.202922891616502,15.867618305540152,9.47265444615444
center_of_gravity_signals,coral_signals,williams_vix_fix_volume_signals,fantail_vma,polychromatic_momentum_exit,392,308,304,612,0.0599007195215697,36.65924034720066,1.23716218080422,0.3758169934640523,2.0485049687791896,12.30100874999806,16.2092754470646,2.261621160484346
center_of_gravity_signals,donchian_breakout_signals,chaikin_volatility_volume_signals,tma_baseline,schaff_trend_cycle_exit,1488,1124,1142,2266,0.0568668198310081,128.86021373706484,1.2318880356681146,0.3177405119152692,1.740548972050206,18.72154713244104,20.384986526298047,6.3213293553481735
center_of_gravity_signals,donchian_breakout_signals,variance_volume_signals,super_smoother_2pole_baseline,halftrend_exit,2376,1876,1988,3864,0.0441796031035517,170.70998639212394,1.204642646942831,0.3403209109730848,2.293015562217999,16.797936854776523,20.333008766071075,8.39570711625233
center_of_gravity_signals,dspo_signals,williams_vix_fix_volume_signals,alma_baseline,mama_fama_exit,230,216,234,450,0.0423356497465695,19.05104238595629,1.2102240445692194,0.4177777777777778,1.5249444000604382,5.612633477364041,6.576317723233405,2.896916357713536
center_of_gravity_signals,glitch_index_signals,variance_volume_signals,mcginley_dynamic_index,fisher_transform_exit,188,170,186,356,0.0528649925406045,18.819937344455212,1.3013855538674406,0.4213483146067415,1.8073389362973704,5.727666226908499,8.282536181974915,2.272243299753111
center_of_gravity_signals,kase_peak_oscillator_signals,efficiency_ratio_volume_signals,tma_baseline,vortex_exit,232,216,246,462,0.2044405947237755,94.45155476238428,1.8172138660516304,0.3766233766233766,1.3465069936116754,36.31451747118136,14.12151887791201,6.688484119800983
center_of_gravity_signals,laguerre_filter_signals,chaikin_volatility_volume_signals,kama_baseline,mama_fama_exit,1890,1472,1428,2900,0.0498221635056153,144.4842741662844,1.1990893514373815,0.3158620689655172,1.88613052473007,18.300311804646203,24.839318107497192,5.81675686671427
center_of_gravity_signals,laguerre_filter_signals,efficiency_ratio_volume_signals,t3_baseline,volatility_quality_exit,434,462,420,882,0.0982890069495317,86.69090412948681,1.4067034158888738,0.3435374149659864,1.2152905237980425,20.932030297399766,21.05954090720309,4.11646695013354
center_of_gravity_signals,laguerre_filter_signals,variance_volume_signals,frama_baseline,donchian_breakout_exit,1842,1580,1712,3292,0.0524861830224627,172.78451450994737,1.2334144947643522,0.3341433778857837,2.346941487887108,18.422048213394927,25.897391778025156,6.671888659326731
center_of_gravity_signals,linreg_slope_signals,efficiency_ratio_volume_signals,super_smoother_2pole_baseline,trend_direction_force_index_exit,1244,1056,942,1998,0.0410198507485557,81.95766179561443,1.188782240841327,0.3598598598598598,1.1214351849217763,11.264246015087153,31.031672706858792,2.6410971322696275
center_of_gravity_signals,linreg_slope_signals,variance_volume_signals,fantail_vma,didi_index_exit,934,720,806,1526,0.0690141610053075,105.3156096940994,1.3173797535850442,0.3610747051114024,4.042334526306723,16.698273068564337,15.163966839996917,6.945122658558968
center_of_gravity_signals,price_momentum_oscillator_signals,chaikin_volatility_volume_signals,fantail_vma,laguerre_filter_exit,2142,1682,1664,3346,0.046584391849065,155.8713751269717,1.2086686095350885,0.3383144052600119,2.1556813224976947,16.787626771556134,27.60133350340368,5.64724074319635
center_of_gravity_signals,price_momentum_oscillator_signals,efficiency_ratio_volume_signals,rma_baseline,ssl_channel_exit,490,462,444,906,0.0484351776587009,43.88227095878304,1.2105827399781948,0.2505518763796909,0.6748284794239056,8.801359010388085,25.98342521766883,1.688856284003039
center_of_gravity_signals,relative_vigor_index_signals,chaikin_volatility_volume_signals,ema_baseline,kuskus_starlight_exit,1514,1202,1210,2412,0.0639407730787303,154.2251446658976,1.2800899304414552,0.3092868988391376,2.065549597149679,19.74502619998668,16.867823526608476,9.143156164908422
center_of_gravity_signals,supertrend_signals,efficiency_ratio_volume_signals,kama_baseline,relative_vigor_index_exit,554,472,484,956,0.1062643696392779,101.58873737514968,1.54369586396621,0.4393305439330544,1.4413607576168526,19.62723224954861,21.917102661366545,4.635135352731682
center_of_gravity_signals,trend_direction_force_index_signals,williams_vix_fix_volume_signals,vidya,j_tpo_exit,164,194,184,378,0.0897252703574469,33.91615219511493,1.4457003013563614,0.4417989417989418,2.7968954101340544,11.57321511396463,7.999999999999973,4.239519024389381
chandelier_exit_signals,dspo_signals,williams_vix_fix_volume_signals,lsma_baseline,ehlers_reverse_ema_exit,216,200,232,432,0.0658646384269248,28.453523800431523,1.372327420426187,0.4212962962962963,2.4376061571071936,7.86379293017826,10.874290442189924,2.6165867052840457
chandelier_exit_signals,fx_sniper_ergodic_cci_signals,damiani_volatmeter_volume_signals,t3_baseline,kuskus_starlight_exit,898,748,696,1444,0.0578522731074943,83.53868236722191,1.2431627931885334,0.3614958448753462,3.0196637435762916,15.576573483813304,24.87887984308759,3.357815259131633
chandelier_exit_signals,fx_sniper_ergodic_cci_signals,ttm_squeeze_volume_signals,fantail_vma,schaff_trend_cycle_exit,1084,900,990,1890,0.0499486284313543,94.4029077352596,1.228010504525963,0.3423280423280423,3.2013587953402234,13.706225960268144,15.913726703014916,5.932168466697031
