signal,batch,family,in_h10_2002-2020,in_5pm_2002-2020,to_h10_2002-2020,si_h10_2002-2020,ao_h10_2002-2020,mo_h10_2002-2020,dec_h10_2002-2020,tsb_h10_2002-2020,to_5pm_2002-2020,si_5pm_2002-2020,ao_5pm_2002-2020,mo_5pm_2002-2020,dec_5pm_2002-2020,tsb_5pm_2002-2020,fails_in_other
hz500_su1_v60_pl,trend-duration,hz_su,True,False,-11.53,-0.02231,0.893,-0.991,0.938,6.0,-7.31,-0.01858,0.643,-0.904,0.704,6.0,|t| OOS >= 8;effect >= 0.0221;agree >= 0.893;monotonic >= 0.95
hz750_bu_10_pl,trend-duration,hz_bu,True,False,-12.25,-0.02314,0.893,-0.957,0.997,5.0,-10.71,-0.02235,0.714,-0.94,0.877,5.0,agree >= 0.893;monotonic >= 0.95
hz750_hi_8_pl,trend-duration,hz_hi,True,False,-12.51,-0.02283,0.893,-0.978,1.027,5.0,-10.22,-0.02145,0.75,-0.953,0.874,5.0,effect >= 0.0221;agree >= 0.893
hz750_sg1_v20_pl,trend-duration,hz_sg,True,False,-11.23,-0.02526,0.893,-0.951,0.838,5.0,-6.08,-0.0217,0.571,-0.896,0.52,5.0,|t| OOS >= 8;effect >= 0.0221;agree >= 0.893;monotonic >= 0.95;decay >= 0.60
hz750_su1_v10_pl,trend-duration,hz_su,True,False,-13.45,-0.02523,0.964,-0.97,1.008,5.0,-9.55,-0.01943,0.786,-0.998,0.906,5.0,effect >= 0.0221;agree >= 0.893
hz750_su1_v20_pl,trend-duration,hz_su,True,False,-13.5,-0.02315,0.893,-0.952,1.102,4.0,-7.67,-0.01904,0.679,-0.965,0.743,5.0,|t| OOS >= 8;effect >= 0.0221;agree >= 0.893
hz750_su1_v40_pl,trend-duration,hz_su,True,False,-12.92,-0.02426,0.893,-0.957,1.005,4.0,-7.85,-0.0179,0.714,-0.948,0.811,5.0,|t| OOS >= 8;effect >= 0.0221;agree >= 0.893;monotonic >= 0.95
ra_ts_hi_8_pl,trend-duration,ts_hi,True,False,-12.16,-0.02344,0.929,-0.955,0.976,5.0,-9.52,-0.02195,0.714,-0.988,0.797,5.0,effect >= 0.0221;agree >= 0.893
ra_ts_sg1_v40_pl,trend-duration,ts_sg,True,False,-9.96,-0.02296,0.893,-0.959,0.831,5.0,-5.91,-0.01806,0.643,-0.961,0.614,5.0,|t| OOS >= 8;effect >= 0.0221;agree >= 0.893
ra_ts_sg1_v60_pl,trend-duration,ts_sg,True,False,-9.79,-0.02267,0.929,-0.956,0.826,5.0,-5.23,-0.01918,0.607,-0.927,0.513,5.0,|t| OOS >= 8;effect >= 0.0221;agree >= 0.893;monotonic >= 0.95;decay >= 0.60
ra_ts_su1_v10_pl,trend-duration,ts_su,True,False,-11.42,-0.02272,0.893,-0.994,0.961,5.0,-8.24,-0.02092,0.643,-0.963,0.729,5.0,effect >= 0.0221;agree >= 0.893
ra_ts_su1_v20_pl,trend-duration,ts_su,True,False,-11.06,-0.0228,0.893,-0.98,0.929,5.0,-6.96,-0.01876,0.643,-0.88,0.69,5.0,|t| OOS >= 8;effect >= 0.0221;agree >= 0.893;monotonic >= 0.95
rb_bd5_20_ch,trend-duration,bd,True,False,-18.65,-0.02369,0.929,-0.978,1.499,6.0,-10.91,-0.01763,0.821,-0.935,1.132,5.0,effect >= 0.0221;agree >= 0.893;monotonic >= 0.95
rb_pdm_50_ch,trend-duration,pdm,True,False,18.37,0.02618,0.893,0.995,1.315,6.0,14.0,0.01889,0.821,0.725,1.35,6.0,effect >= 0.0221;agree >= 0.893;monotonic >= 0.95
rb_xsctop_r10_ts,trend-nonmomentum,cross-sectional,True,False,-20.92,-0.02666,0.893,-0.983,1.531,5.0,-14.75,-0.03594,0.821,-0.99,0.79,5.0,agree >= 0.893
rb_xsctop_r15_ts,trend-nonmomentum,cross-sectional,True,False,-20.46,-0.02217,0.893,-0.974,1.735,5.0,-13.53,-0.0247,0.786,-0.946,1.024,5.0,agree >= 0.893;monotonic >= 0.95
rb_xsctop_r20_pd,trend-nonmomentum,cross-sectional,True,False,-17.2,-0.02782,0.893,-0.956,1.171,6.0,-12.48,-0.0356,0.786,-0.901,0.626,6.0,agree >= 0.893;monotonic >= 0.95
rb_xsctop_r30_pd,trend-nonmomentum,cross-sectional,True,False,-22.25,-0.03127,0.929,-0.967,1.307,4.0,-15.35,-0.02804,0.786,-0.97,0.957,5.0,agree >= 0.893
rc_cx2_s150_ch,trend-duration,cx_s,True,False,-10.9,-0.02915,0.893,-0.982,0.711,6.0,-4.44,-0.00949,0.643,-0.651,0.862,3.0,|t| OOS >= 8;effect >= 0.0221;agree >= 0.893;monotonic >= 0.95
rc_xsctop_r10_pd,trend-nonmomentum,cross-sectional,True,False,-25.87,-0.02671,0.964,-0.986,1.761,5.0,-13.38,-0.0257,0.75,-0.886,0.91,5.0,agree >= 0.893;monotonic >= 0.95
rc_xsctop_r10_ts,trend-nonmomentum,cross-sectional,True,False,-21.9,-0.03022,0.893,-0.966,1.376,4.0,-15.66,-0.03591,0.786,-0.912,0.822,5.0,agree >= 0.893;monotonic >= 0.95
rc_xsctop_r15_pd,trend-nonmomentum,cross-sectional,True,False,-23.05,-0.02713,0.929,-0.965,1.53,6.0,-13.64,-0.03235,0.786,-0.853,0.741,6.0,agree >= 0.893;monotonic >= 0.95
rc_xsctop_r15_ts,trend-nonmomentum,cross-sectional,True,False,-22.65,-0.02215,0.964,-0.988,1.91,5.0,-11.44,-0.02886,0.821,-0.912,0.733,6.0,agree >= 0.893;monotonic >= 0.95
rc_xsctop_r20_pd,trend-nonmomentum,cross-sectional,True,False,-19.1,-0.03245,0.964,-0.969,1.074,6.0,-14.32,-0.03743,0.893,-0.936,0.668,6.0,monotonic >= 0.95
rc_xsctop_r20_ts,trend-nonmomentum,cross-sectional,False,True,-19.21,-0.01075,0.964,-0.982,3.418,5.0,-10.98,-0.02979,0.929,-0.958,0.678,5.0,effect >= 0.0221
rc_xsctop_r30_pd,trend-nonmomentum,cross-sectional,True,True,-19.37,-0.02279,0.964,-0.959,1.536,5.0,-16.97,-0.02472,0.893,-0.975,1.197,5.0,
rd_xsctop_r10_pd,trend-nonmomentum,cross-sectional,True,False,-22.51,-0.02483,0.929,-0.968,1.641,5.0,-11.5,-0.02178,0.786,-0.72,0.924,4.0,effect >= 0.0221;agree >= 0.893;monotonic >= 0.95
rd_xsctop_r15_pd,trend-nonmomentum,cross-sectional,True,False,-18.45,-0.03317,0.929,-0.965,0.998,6.0,-13.63,-0.03051,0.857,-0.809,0.78,6.0,agree >= 0.893;monotonic >= 0.95
rd_xsctop_r5_ts,trend-nonmomentum,cross-sectional,True,False,-18.26,-0.0288,0.964,-0.979,1.204,5.0,-18.77,-0.02619,0.857,-0.959,1.302,5.0,agree >= 0.893
z_paneldisp_30,cross-sectional,z_paneldisp,True,False,-25.98,-0.02327,0.929,-0.992,2.14,,-23.6,-0.01204,0.893,-0.922,3.62,,effect >= 0.0221;monotonic >= 0.95
z_panelvol_15,cross-sectional,z_panelvol,True,True,-22.35,-0.02505,0.964,-0.983,1.697,,-17.82,-0.02322,0.893,-0.957,1.417,,
z_panelvol_20,cross-sectional,z_panelvol,True,False,-26.29,-0.02422,0.893,-0.974,2.077,,-20.05,-0.01791,0.857,-0.982,2.071,,effect >= 0.0221;agree >= 0.893
