sleeve,cell,net,retdd,pf,trades,win,avg,expo,retexp,sharpe,data_pct,imp_retexp,imp_retdd,imp_pf,imp_win,imp_avg
mean_reversion,BASELINE,378563.24991834443,8.781608397865032,1.0425674704561383,2108,0.4939952318352978,179.58408440149165,0.6030581532838869,627739.2119763573,0.18479272578281908,1.0,0.0,0.0,0.0,0.0,0.0
mean_reversion,low|down,89167.51474923022,7.1930438920595385,1.1027674819631088,365,0.5080095746639661,244.29456095679512,0.7198515769944341,123869.30528308013,0.4871098236110529,0.10919141054581236,-0.802673940197087,-0.18089675989101295,0.057742077335898534,0.02836938886353635,0.36033525337708583
mean_reversion,med|down,78429.42437867321,3.1456651385134116,1.075754766110332,430,0.4895031490552834,182.39401018296095,0.7321039825841977,107128.8044381772,0.3683840738574137,0.10492583037729765,-0.8293418629992927,-0.6417894085008187,0.03183227617841733,-0.009093372750431872,0.015646853065148125
mean_reversion,high|down,87611.6816116248,3.991541376149325,1.0550295544180732,349,0.49866220735785954,251.0363369960596,0.7243217054263565,120956.86344240373,0.2616307768049647,0.11946518492793888,-0.8073135131042931,-0.5454657967759368,0.01195326375997774,0.009447410059451267,0.39787630865341006
mean_reversion,low|flat,-41333.984356838,-0.8493774362908965,0.9252087167581017,659,0.4457981880662293,-62.72228278731108,0.36708715596330277,-112599.9198974156,-0.2783669039767426,0.11716650542835644,-1.1793737235928101,-1.096722308466567,-0.1125670587503469,-0.09756580764961276,-1.3492641510874896
mean_reversion,med|flat,12504.901031563633,0.5657758750351113,1.0191298856473825,741,0.451925820256776,16.875709894147953,0.37019433882551755,33779.28757969885,0.06665612307485455,0.1272170267655595,-0.9461889795392118,-0.9355726366513153,-0.022480640795843665,-0.08516157417597925,-0.9060289226053053
mean_reversion,high|flat,-20323.471255933786,-0.5540067048415512,0.9666866906903366,471,0.44146559428060766,-43.14962050092099,0.3243478260869565,-62659.495829286476,-0.10670804359859595,0.09984372286855357,-1.0998177183037698,-1.0630871566735132,-0.07278260823983196,-0.10633632506842494,-1.2402753041547516
mean_reversion,low|up,62027.8057472397,3.4582870599134603,1.057822755505984,364,0.48326491948215977,170.40605974516401,0.7217728153127493,85938.12960434456,0.2818586389505339,0.12230025360198422,-0.8630989940332399,-0.6061897885637633,0.01463241994608877,-0.021721489726272525,-0.05110711612844576
mean_reversion,med|up,20200.76685596431,0.5360261766865726,1.0153411320214156,462,0.4828074147445875,43.72460358433833,0.7447839831401475,27122.98775652254,0.07729563443415116,0.12751263033430077,-0.956792586413187,-0.9389603643887274,-0.026114701644019966,-0.02264762161599254,-0.7565229472864403
mean_reversion,high|up,58183.87036418731,2.1683668304256805,1.0567355805013148,255,0.4868131868131868,228.17204064387178,0.7514861294583883,77425.0755714169,0.28140976206309376,0.09493353398545272,-0.8766604441872384,-0.7530786238483544,0.013589633713564586,-0.014538693006060366,0.27055825355744356
momentum,BASELINE,-630980.3451059771,-0.9204792217729405,0.9577583266114005,873,0.4940542574204211,-722.772445711314,1.0,-630980.3451059771,-0.2472217799562443,1.0,0.0,0.0,0.0,0.0,0.0
momentum,low|down,-143257.92431053644,-0.9915802078464963,0.8919301394560637,188,0.47263088137839626,-762.0102356943428,1.0,-143257.92431053644,-0.6722766408214875,0.10919141054581236,-0.7729597674132379,0.07724344492709756,-0.06873152164412955,-0.043362395364998085,0.05428788855448552
momentum,med|down,-115655.33783594635,-0.9605180910318007,0.9234445105647939,239,0.4925717213114754,-483.9135474307379,1.0,-115655.33783594635,-0.4691822322726217,0.10492583037729765,-0.8167053241309421,0.043497852327118336,-0.03582721767401453,-0.00300075565927993,-0.33047593291344135
momentum,high|down,-45047.66746628272,-0.4240190703861634,0.9797225189922963,155,0.4924288310115082,-290.630112685695,1.0,-45047.66746628272,-0.11774925018349988,0.11946518492793888,-0.928606861028743,-0.5393496557483853,0.022932917178184464,-0.003289975512810406,-0.5978954172780171
momentum,low|flat,-23882.647495325822,-0.4156798947055609,0.9835564239731908,353,0.4974194288335818,-67.65622519922329,1.0,-23882.647495325822,-0.09841524582035632,0.11716650542835644,-0.9621499343354117,-0.5484092580548234,0.026935915507062536,0.006811339772135883,-0.9063934636680295
momentum,med|flat,-37111.87109454568,-0.39033870683948824,0.978838829792359,430,0.5023766768775747,-86.30667696405972,1.0,-37111.87109454568,-0.12463512481847083,0.1272170267655595,-0.9411837922014631,-0.5759396870603396,0.02201025310376825,0.01684515279881804,-0.88058941998111
momentum,high|flat,-17302.775234602093,-0.2823630437282378,0.98937877309524,294,0.49441948108421513,-58.85297698844249,1.0,-17302.775234602093,-0.06089097551469437,0.09984372286855357,-0.9725779489506984,-0.6932434355396131,0.03301505777111258,0.0007392379648765157,-0.9185732973944205
momentum,low|up,-90771.6364229825,-0.7536372164117686,0.9408121091169243,181,0.49897447584320875,-501.50075371813534,1.0,-90771.6364229825,-0.3593590166715182,0.12230025360198422,-0.8561418955011398,-0.1812555910168363,-0.017693625859075413,0.009958862511330935,-0.30614295454417184
momentum,med|up,-52502.36774055522,-0.6325693085847933,0.9705115739995063,256,0.4979449889345558,-205.08737398654384,1.0,-52502.36774055522,-0.17518679580654065,0.12751263033430077,-0.9167923879915196,-0.3127826314575599,0.01331572593393937,0.007875109779337253,-0.7162490418617055
momentum,high|up,-70131.95195782253,-0.6788232424663527,0.9511229907906957,144,0.4962840627580512,-487.02744415154535,1.0,-70131.95195782253,-0.28938509239588617,0.09493353398545272,-0.8888523984910442,-0.2625327911705956,-0.006927985522382163,0.004513280280737719,-0.3261676658519558
