N,B,D,R,M,selected_by,block,null,real,surrogate,sd,p,corrected,A_corr,B_corr
3,2,0.25,0.75,5,criterion,holdout,sign,0.4171154627031321,0.42555532655889117,0.027913022692516085,0.5867768595041323,-0.008439863855759067,0.08002080188854321,0.0093644358198397
3,2,0.25,0.75,5,criterion,holdout,iid,0.4171154627031321,0.41162570304574236,0.026557188677051327,0.3884297520661157,0.005489759657389737,0.08002080188854321,0.0093644358198397
