,team1|NO_CUT,team2|NO_CUT
2016-01-04,-0.1051421581326597,-0.15771323719898955
2016-01-05,-0.05721678235467989,-0.08582517353201984
2016-01-06,-0.03323253006885069,-0.049848795103276035
2016-01-07,0.2257281603095119,0.33859224046426784
2016-01-08,0.09576540344991838,0.14364810517487756
2016-01-11,-0.04701978674974464,-0.07052968012461695
2016-01-12,0.01199490368640665,0.017992355529609972
2016-01-13,-0.0035968106367639196,-0.00539521595514588
2016-01-14,-0.014019982152801964,-0.021029973229202945
2016-01-15,0.10938750692078553,0.1640812603811783
2016-01-18,-0.009109283160282953,-0.013663924740424428
2016-01-19,-0.0038957628910729707,-0.005843644336609456
2016-01-20,0.00432093437062427,0.006481401555936406
2016-01-21,-0.1109649571075767,-0.16644743566136505
2016-01-22,-0.019206389378659365,-0.02880958406798905
2016-01-25,-0.12908208572345556,-0.19362312858518332
2016-01-26,-0.1161530916821778,-0.1742296375232667
2016-01-27,0.18181983476686994,0.2727297521503049
2016-01-28,0.007199938072823463,0.010799907109235195
2016-01-29,0.23559530864930675,0.35339296297396017
2016-02-01,-0.015018986736596384,-0.022528480104894576
2016-02-02,-0.14401679245905705,-0.21602518868858558
2016-02-03,0.059140171142013406,0.0887102567130201
2016-02-04,-0.14726872945245445,-0.22090309417868167
2016-02-05,-0.18276727419151073,-0.2741509112872661
2016-02-08,0.011320649386391555,0.016980974079587333
2016-02-09,0.11318642745545787,0.1697796411831868
2016-02-10,-0.1423002529963159,-0.21345037949447387
2016-02-11,0.024048890587615536,0.0360733358814233
2016-02-12,-0.029487156911044067,-0.044230735366566104
2016-02-15,-0.20961371823505506,-0.3144205773525826
2016-02-16,-0.034219546258972125,-0.05132931938845819
2016-02-17,0.3043832732213343,0.4565749098320015
2016-02-18,-0.1229773585400612,-0.1844660378100918
2016-02-19,-0.13954003625222883,-0.20931005437834324
2016-02-22,0.4846843357007435,0.7270265035511152
2016-02-23,-0.1057674664827421,-0.15865119972411315
2016-02-24,0.19047642714803423,0.2857146407220513
2016-02-25,0.20683880274455738,0.3102582041168361
2016-02-26,0.14611230604897263,0.21916845907345892
2016-02-29,0.05981536690860392,0.08972305036290588
2016-03-01,0.02660159196111791,0.03990238794167686
2016-03-02,-0.15135150201488995,-0.22702725302233492
2016-03-03,-0.16439895968817228,-0.2465984395322584
2016-03-04,0.17525013536926215,0.2628752030538932
