# VOTE-TIMING LEAK (HANDOFF 0d, 15 Sep 2026): built with entry-day votes -- every number in this file is contaminated and may not be quoted. Readers pass comment='#'.
budget,yardstick,tier,members,share_of_return_pct,share_of_drawdown_pct,mean_member_pnl,share_of_entries_pct,mean_R_per_trade_tradeyears,build_quality_median
team1,sortino,1,823,3.9339287,8.815792,0.0013880316,10.292075,-0.07540936482082945,-5.336469001023943
team1,sortino,2,823,7.6895223,9.913013,0.0027131403,11.20674,-0.06822150087162371,0.8437285401211585
team1,sortino,3,824,14.692949,12.994751,0.00517791,10.877774,-0.05245697811521798,4.500657179274624
team1,sortino,4,823,16.69094,14.797303,0.0058891647,11.217528,-0.04484235870930144,7.363135610241851
team1,sortino,5,824,16.100714,12.358757,0.005674017,11.185581,-0.03287364026225041,10.41800894916491
team1,sortino,6,823,13.513166,12.875178,0.004767931,10.844573,-0.031244241508008416,15.001812744142818
team1,sortino,7,824,9.218056,8.260163,0.0032485148,10.667758,-0.025211735812529314,22.755545971230113
team1,sortino,8,823,7.691583,8.400799,0.0027138675,9.7908325,-0.029877569174370754,40.700207742326555
team1,sortino,9,824,3.963577,5.2976522,0.0013967955,6.919565,-0.037582351731837174,69.78771585094523
team1,sortino,10,824,6.505563,6.28659,0.0022926112,6.997572,-0.027756421864432976,118.5343973453802
team1,expectancy_R,1,823,3.9947445,8.624856,0.0014094897,10.31196,-0.07414204783856454,-0.05627816788055612
team1,expectancy_R,2,823,6.2667775,10.35388,0.0022111447,11.639232,-0.07058015552533439,0.010189410617264609
team1,expectancy_R,3,824,11.292371,11.224678,0.00397952,11.035141,-0.060364903440964686,0.056421454722725375
team1,expectancy_R,4,823,12.998018,11.686373,0.004586169,11.0583105,-0.053401935462718694,0.09224563846191526
team1,expectancy_R,5,824,15.148456,13.355755,0.0053384337,11.188627,-0.045016991042471775,0.12933127917265705
team1,expectancy_R,6,823,19.980028,15.638088,0.007049673,11.571018,-0.02672073774985957,0.1697070058515419
team1,expectancy_R,7,824,16.394222,12.156156,0.0057774517,10.806912,-0.01617066248889404,0.23148202673211915
team1,expectancy_R,8,823,10.474575,9.451051,0.003695807,10.08206,-0.011486726166999006,0.3658627701184106
