window,years_after,median_R,share_positive,n
2011-2015,1,-0.04451813894116685,0.428,250
2011-2015,2,0.0007419801323107,0.504,249
2011-2015,3,0.0698883479780595,0.592,250
2011-2015,4,-0.12391325306713585,0.36,248
2011-2015,5,-0.01338661525335625,0.48,250
2012-2016,1,-0.017668861711746447,0.46,250
2012-2016,2,0.00386449273040285,0.524,250
2012-2016,3,-0.1067388168685268,0.356,249
2012-2016,4,-0.0195933781389055,0.464,250
2013-2017,1,0.040543338442932744,0.548,250
2013-2017,2,-0.10431963268599125,0.32,250
2013-2017,3,-0.019091851556234,0.468,250
2014-2018,1,-0.08184294523252006,0.368,250
2014-2018,2,-0.02847197938871835,0.448,250
2015-2019,1,-0.00457643383389955,0.488,250
