event,ccy,sev,pair,pre_ret,crisis_ret,aligned,shape2,abs_crisis
2007-02-27,global,1,AUDCAD,0.0076598166021053515,0.007028156142564912,1,trending,0.007028156142564912
2007-02-27,global,1,AUDCHF,0.008295368849495333,-0.0016269998539871766,0,ranging,0.0016269998539871766
2007-02-27,global,1,AUDJPY,0.017756512493354526,-0.00850468295833784,0,trending,0.00850468295833784
2007-02-27,global,1,AUDNZD,0.00784596654191283,0.009149455918276761,1,trending,0.009149455918276761
2007-02-27,global,1,AUDUSD,0.027320989252880956,-0.0011427120365667953,0,trend-in-range,0.0011427120365667953
2007-02-27,global,1,CADCHF,0.0005286410149907272,-0.008694485184865819,0,trending,0.008694485184865819
2007-02-27,global,1,CADJPY,0.010106408823672197,-0.01573089290131091,0,neither,0.01573089290131091
2007-02-27,global,1,CHFJPY,0.009676257141386646,-0.0065032258064515736,0,trend-in-range,0.0065032258064515736
2007-02-27,global,1,EURAUD,-0.009239114237177048,-0.0004163073537719608,1,ranging,0.0004163073537719608
2007-02-27,global,1,EURCAD,-0.0015655577299412693,0.0066321578777093215,0,trend-in-range,0.0066321578777093215
2007-02-27,global,1,EURCHF,-0.0010469591993841343,-0.0022947871119793906,1,trending,0.0022947871119793906
2007-02-27,global,1,EURGBP,0.016330175258044033,0.011957681365575956,1,trending,0.011957681365575956
2007-02-27,global,1,EURJPY,0.008569762429958772,-0.00858061293751522,0,trending,0.00858061293751522
2007-02-27,global,1,EURNZD,-0.0017733354828309844,0.008928571428571397,0,trend-in-range,0.008928571428571397
2007-02-27,global,1,EURUSD,0.01782861376739442,-0.0015254262886831293,0,ranging,0.0015254262886831293
2007-02-27,global,1,GBPAUD,-0.025401201142069563,-0.01208180303851325,1,ranging,0.01208180303851325
2007-02-27,global,1,GBPCAD,-0.017970265029088606,-0.005109393423293529,1,trending,0.005109393423293529
2007-02-27,global,1,GBPCHF,-0.017248043878958397,-0.013881330531392067,1,trending,0.013881330531392067
2007-02-27,global,1,GBPJPY,-0.007677969296500442,-0.020469541995618235,1,trending,0.020469541995618235
2007-02-27,global,1,GBPNZD,-0.018089185542853214,-0.0029057848293072563,1,trend-in-range,0.0029057848293072563
2007-02-27,global,1,GBPUSD,0.001234045374114645,-0.01321489363870798,0,trend-in-range,0.01321489363870798
2007-02-27,global,1,NZDCAD,0.00016993178452628932,-0.0022292447514760116,0,trending,0.0022292447514760116
2007-02-27,global,1,NZDCHF,0.0006875057292143882,-0.01090785271463468,0,trending,0.01090785271463468
2007-02-27,global,1,NZDJPY,0.010380418755529197,-0.017634226154405463,0,trending,0.017634226154405463
2007-02-27,global,1,NZDUSD,0.019676840215439695,-0.010363064608347572,0,trending,0.010363064608347572
2007-02-27,global,1,USDCAD,-0.01918363897574571,0.00822622107969151,0,neither,0.00822622107969151
2007-02-27,global,1,USDCHF,-0.01858869520124451,-0.0004928738653632303,1,neither,0.0004928738653632303
2007-02-27,global,1,USDJPY,-0.009100242289844296,-0.007283549691784574,1,neither,0.007283549691784574
2007-08-09,global,3,AUDCAD,-0.005958139125846529,-0.03228209861441633,1,neither,0.03228209861441633
2007-08-09,global,3,AUDCHF,-0.008723723146689233,-0.023017449981310723,1,trending,0.023017449981310723
2007-08-09,global,3,AUDJPY,-0.022928006815922886,-0.04081144871679965,1,trending,0.04081144871679965
2007-08-09,global,3,AUDNZD,0.01758251722887194,0.014727358014638758,1,ranging,0.014727358014638758
2007-08-09,global,3,AUDUSD,-0.0005795421616923147,-0.026468165234788787,1,trending,0.026468165234788787
2007-08-09,global,3,CADCHF,-0.0027879984967531524,0.009187047942419424,0,trending,0.009187047942419424
2007-08-09,global,3,CADJPY,-0.017200709378605072,-0.009149343789726205,1,trending,0.009149343789726205
2007-08-09,global,3,CHFJPY,-0.01426362087138111,-0.017794207008304586,1,trending,0.017794207008304586
2007-08-09,global,3,EURAUD,0.004349463377895102,0.027116180252711564,1,trend-in-range,0.027116180252711564
2007-08-09,global,3,EURCAD,-0.0015112098649572303,-0.005784301530041058,1,trend-in-range,0.005784301530041058
2007-08-09,global,3,EURCHF,-0.004414105842057037,0.003348712151303168,0,trending,0.003348712151303168
2007-08-09,global,3,EURGBP,0.0013601821461308727,0.004275147928993972,1,ranging,0.004275147928993972
2007-08-09,global,3,EURJPY,-0.018780960074125996,-0.01467603821214658,1,trending,0.01467603821214658
2007-08-09,global,3,EURNZD,0.022293682413204507,0.04206863569649899,1,trending,0.04206863569649899
2007-08-09,global,3,EURUSD,0.0038048815976137185,-0.00021201465094355942,0,trending,0.00021201465094355942
2007-08-09,global,3,GBPAUD,0.002886492911112981,0.02253820408266094,1,trend-in-range,0.02253820408266094
2007-08-09,global,3,GBPCAD,-0.0030984022696729507,-0.010086098562532286,1,trending,0.010086098562532286
2007-08-09,global,3,GBPCHF,-0.005832164181539312,-0.0011235212477694878,1,ranging,0.0011235212477694878
2007-08-09,global,3,GBPJPY,-0.020110475042683484,-0.01919714928606686,1,trend-in-range,0.01919714928606686
2007-08-09,global,3,GBPNZD,0.020766213620634577,0.037576829603644724,1,trending,0.037576829603644724
2007-08-09,global,3,GBPUSD,0.0023026170127973256,-0.004527078452885802,0,trending,0.004527078452885802
2007-08-09,global,3,NZDCAD,-0.023384936173307946,-0.04593626249292859,1,neither,0.04593626249292859
2007-08-09,global,3,NZDCHF,-0.02608548240130526,-0.03718277920432189,1,trending,0.03718277920432189
2007-08-09,global,3,NZDJPY,-0.04018034189818187,-0.05465329596740609,1,trending,0.05465329596740609
2007-08-09,global,3,NZDUSD,-0.018086996535988664,-0.04057720441548085,1,trending,0.04057720441548085
2007-08-09,global,3,USDCAD,-0.00538694992412736,-0.0055864337568058975,1,trend-in-range,0.0055864337568058975
2007-08-09,global,3,USDCHF,-0.008148006929535767,0.0035438171256634288,0,ranging,0.0035438171256634288
2007-08-09,global,3,USDJPY,-0.02250200035924821,-0.01466556089635096,1,neither,0.01466556089635096
2008-03-16,USD,2,AUDUSD,0.03107674029745655,-0.009297834483357192,0,trending,0.009297834483357192
2008-03-16,USD,2,EURUSD,0.06754529355673622,0.003770082204321845,1,trending,0.003770082204321845
2008-03-16,USD,2,GBPUSD,0.029752192535182687,-0.007618809404702387,0,neither,0.007618809404702387
2008-03-16,USD,2,NZDUSD,0.02933434573525684,-0.019207008873413423,0,ranging,0.019207008873413423
2008-03-16,USD,2,USDCAD,-0.01748880259799601,0.027386964886964904,0,trend-in-range,0.027386964886964904
2008-03-16,USD,2,USDCHF,-0.08686306970448066,0.008684258638552045,0,trending,0.008684258638552045
2008-03-16,USD,2,USDJPY,-0.08099610461880902,0.0243193260043153,0,trend-in-range,0.0243193260043153
2008-09-15,global,3,AUDCAD,-0.04821076267399149,-0.023228346456693028,1,trending,0.023228346456693028
2008-09-15,global,3,AUDCHF,-0.019402953630943576,-0.01223102302898349,1,trending,0.01223102302898349
2008-09-15,global,3,AUDJPY,-0.07128605304668478,-0.004157290062774099,1,trending,0.004157290062774099
2008-09-15,global,3,AUDNZD,0.00576766193506284,-0.03291259278637082,0,trending,0.03291259278637082
2008-09-15,global,3,AUDUSD,-0.04904292410353506,-0.017666092260391952,1,trending,0.017666092260391952
2008-09-15,global,3,CADCHF,0.030276967084790884,0.011272605171007699,1,ranging,0.011272605171007699
