budget,N,draw,total_return_pct,median_year_pct
team1,10,0,1.1569408378376433,-0.36709528705619954
team1,10,1,-3.8404392762331723,-0.6013007405824798
team1,10,2,-1.7913642188943535,-0.7826286632181779
team1,10,3,2.4204924864223423,-0.07683296451705107
team1,10,4,-2.6047086850704044,-0.717792641240318
team1,10,5,-0.18857132903141627,0.3347158291246942
team1,10,6,-1.7366874553200988,-0.2688774230442475
team1,10,7,-1.1081493093149173,-0.649180855576385
team1,10,8,-0.3054064972507564,-0.6360438920745496
team1,10,9,-0.6481332431997631,-0.3138898238270537
team1,10,10,1.0843380120896633,0.8898369366222821
team1,10,11,-4.469054665217067,-0.5669069912549962
team1,10,12,-4.116197217841617,-0.2718673481326899
team1,10,13,-1.332455080546329,-0.09442647516618621
team1,10,14,1.019847555377754,0.0740391509878213
team1,10,15,-1.5147425356613498,-0.02266026081719391
team1,10,16,-1.1946696135305448,-0.27210875704675586
team1,10,17,3.389582143828867,0.7363420880369002
team1,10,18,-5.278512826156118,-0.983547800610127
team1,10,19,-3.4076400403060054,-0.38088340389388026
team1,10,20,-0.9373906469208483,-0.1314172913314886
team1,10,21,1.820204443711602,0.6580813193184631
team1,10,22,-6.036544339350097,-1.5265897209519876
team1,10,23,0.9913368498753465,0.0016873565276268425
team1,10,24,3.275191391506029,0.49991206013133144
team1,15,0,-0.2216672676318896,-0.04548348760806449
team1,15,1,-4.666262475685007,-0.7164083337252708
team1,15,2,-3.514315206100054,-0.6815320626845742
team1,15,3,-1.527211488603823,-0.9519081447129494
team1,15,4,-2.350942994316299,-0.009641961385401049
team1,15,5,-0.5094232883402476,-0.23965268691697958
team1,15,6,-2.631093174388633,-0.36274217873288084
team1,15,7,2.437995081515603,-0.4705946478844816
team1,15,8,-2.6654916745521255,-0.7429990304012978
team1,15,9,-4.007355194165676,-0.9155543308777925
team1,15,10,-2.1393675384241853,-0.869173077784983
team1,15,11,-0.30380152199493127,0.11987207064704153
team1,15,12,0.99355881228065,0.5644331700405748
team1,15,13,-1.207111043013629,-0.4984803655201232
team1,15,14,-1.1713240131893485,0.7079326176503993
team1,15,15,0.14724421361392714,0.3378169073447689
team1,15,16,0.6763189668172235,-0.434848219682426
team1,15,17,1.1737952500570057,-0.16258122341664377
team1,15,18,-3.2487193724276606,-0.2971433905635559
team1,15,19,0.7859675395974257,0.3705330338788804
team1,15,20,-3.9268629329686466,-1.2698228367009268
team1,15,21,-0.5966039537220671,0.2541426112163963
team1,15,22,1.1738542645819345,-0.494192345913508
team1,15,23,1.2692925284948606,0.11216227772607446
team1,15,24,0.5523790530523768,0.36903700687424645
team1,20,0,-0.46787873290275434,-0.07945965423606742
team1,20,1,1.241897096901515,0.13679515073243498
team1,20,2,7.260050995655295,1.2685795102035131
team1,20,3,0.7460683121621376,0.13651076365491838
team1,20,4,-1.6478745766743055,-0.48875824585181016
team1,20,5,-2.474928364540288,-0.36193039111953895
team1,20,6,-1.956211605289874,-0.5649370853425446
team1,20,7,0.07853185286085207,0.04664262281361149
team1,20,8,3.5879827437256733,0.5925842827753343
team1,20,9,-2.002508693540123,-0.7273942913580104
team1,20,10,1.9103789611203612,0.11659919682845798
team1,20,11,-3.572404315940567,-0.7777436194212559
team1,20,12,0.6936877762525347,0.02487754882358292
team1,20,13,-3.2028582901457203,-0.3896190297626257
team1,20,14,5.324616934447226,0.9192206768446445
team1,20,15,-0.9990752564069248,-0.5504552990210048
team1,20,16,2.7693769748037864,0.12449356538499172
team1,20,17,0.6677516093818694,0.13468530711676951
team1,20,18,0.5590267983999944,0.4416646190119572
team1,20,19,0.36635305350124325,-0.42376816555927016
team1,20,20,0.8022323855185025,0.13252332495022487
team1,20,21,-0.12142170587093293,0.8946544427769718
team1,20,22,0.24222060740131335,0.02721401100666862
team1,20,23,-1.2748666642814825,-0.295731714876749
team1,20,24,-2.854805798785855,-0.6845542623411991
team1,25,0,1.615008657319355,0.27533829917290764
team1,25,1,0.8605558953564083,0.9076412137267629
team1,25,2,-1.8191443887652627,0.2137573496815331
team1,25,3,-5.42506482446689,-1.4459420158595147
team1,25,4,-2.154542330593853,-0.3218726424512931
team1,25,5,-0.3208985737081691,0.09035650923071407
team1,25,6,-1.0991016096657251,-0.057955474941033744
team1,25,7,-2.7223037610637504,-0.2791972241902459
team1,25,8,-3.694919539370707,-0.8451988460026534
team1,25,9,-0.06981166403662731,0.1770306923146555
team1,25,10,-1.0252322055753207,-0.32243243798385424
team1,25,11,0.9701114089366927,0.2196888513280779
team1,25,12,-1.1368397427473083,0.6117560928633188
team1,25,13,0.6396608910515227,-0.34207162215276216
team1,25,14,-1.5729140461767108,-0.46564735105907606
team1,25,15,-3.179888607138846,-0.9696369331618769
team1,25,16,-0.6509946328205771,-0.08338861667796946
team1,25,17,-0.8968784984455865,-0.15090915285626627
team1,25,18,2.9896108010485163,0.26472820925956636
team1,25,19,-0.6370290252806825,-0.5679513948765688
team1,25,20,-2.732943466588006,-0.2617038777827222
team1,25,21,0.08492303414006841,0.3988939084212146
team1,25,22,1.5109524632417437,0.24291902752076128
team1,25,23,-5.777772785123065,-0.932999289733687
team1,25,24,7.286473735985143,1.471037155180878
team1,30,0,-1.0674774704159569,-0.40675050514011085
team1,30,1,-2.8409114145907868,-0.18817753650551589
team1,30,2,3.903125402079684,0.7356100566317815
team1,30,3,3.197120740265415,-0.006853641210835572
team1,30,4,1.118405439463686,0.5561166317534945
team1,30,5,-0.537168797821451,0.2712540508937205
team1,30,6,2.170438243675453,0.4578027271441676
team1,30,7,-3.710518389393731,-1.255270333891048
team1,30,8,-1.9774512070908972,-0.9200572018466805
team1,30,9,0.43090024395593013,0.06341339873416715
team1,30,10,1.389140294635083,0.5726564079635765
team1,30,11,-0.8851827628996166,-0.6282944622403419
team1,30,12,-1.7446862093200655,-0.9094734759947394
team1,30,13,0.43798306630226647,0.09696211335887547
team1,30,14,2.3611667513818366,0.264513874482894
team1,30,15,1.020938476949731,0.39955975845900776
team1,30,16,-5.10390282972242,-0.7356555622309774
team1,30,17,0.16242039739077252,0.2229066162711027
team1,30,18,-1.8980350984800842,-0.4215393479807122
team1,30,19,-2.1131647064774146,-0.8601047281930722
team1,30,20,-4.788005886445624,-0.8849173001531447
team1,30,21,-3.263255558873805,-0.5278652978074104
team1,30,22,-0.9342321175425263,-0.5665794184148298
team1,30,23,1.0485205586390636,0.38653488043299467
team1,30,24,-2.7198845359110937,-1.2915429928595121
team1,40,0,-0.6921620950388281,-1.209834223019131
team1,40,1,-4.368048421516743,-1.0035767649960046
team1,40,2,-5.948429454813329,-1.1358536637735102
team1,40,3,-5.108292491997954,-0.4407384092528529
team1,40,4,-3.1331026199012566,-0.3759856514935206
team1,40,5,-1.9133163722176243,-0.3471123634406672
team1,40,6,-0.16267973851320094,-0.20785663554004263
team1,40,7,-0.27584593257327095,-0.6966922492653883
team1,40,8,2.4634838383645583,-0.1647956761223698
team1,40,9,-1.7808291848954625,-0.5634003173204394
team1,40,10,-0.2988505344788899,-0.048268543510913337
team1,40,11,-3.647793620564141,0.10883536119132858
team1,40,12,-2.9293559362345425,-0.44313841517981317
team1,40,13,1.3847204988216062,0.06407191497926173
team1,40,14,-3.711661235146922,-0.23426712156490978
team1,40,15,-0.900678232945778,-0.5097599606415766
team1,40,16,0.4509688052962628,-0.21213424600158765
team1,40,17,-1.6778859880203187,0.07112891126737673
team1,40,18,0.6871432769924015,-0.2700756369675385
team1,40,19,-4.513150991601589,-0.6345322081605866
team1,40,20,1.8370844878091732,0.2935606313684029
team1,40,21,-4.1846942108038245,-0.5998074903721308
team1,40,22,3.970567392601084,0.42639485081314404
team1,40,23,-2.863860574754857,-0.19662993809265944
team1,40,24,1.5286710092959392,0.3651815495415907
team1,50,0,-0.489065920851973,-0.09216578695543694
team1,50,1,-6.927935075171236,-1.6979869853261549
team1,50,2,-1.9025853706013476,-0.21510628384186478
team1,50,3,-2.2832297614023975,0.18753431141783056
team1,50,4,-0.8663081373735795,-0.5268755752099653
team1,50,5,-2.137975972081726,-0.5545995652037763
team1,50,6,0.521432342916976,-0.0008093012524801324
team1,50,7,0.12582316851584685,0.30595255466718196
team1,50,8,-3.6850996688494364,-0.15146747351342116
team1,50,9,-1.8177042160091104,-0.2729074101191743
team1,50,10,-2.2625179687687225,-0.09284096742151272
team1,50,11,3.0167270427860595,0.8969214644279595
team1,50,12,0.036952151838441694,0.5581605008838451
team1,50,13,1.9523745991853696,0.6445974327796989
team1,50,14,-2.808741393191336,-0.7777277298773946
team1,50,15,-2.535768516078475,-0.1820585064043057
team1,50,16,1.7596586712879696,0.20201897719318374
team1,50,17,-3.4854470667348565,-1.2459540337288186
team1,50,18,-2.1362415584841505,-0.9880681611114672
team1,50,19,1.059105029278616,-0.20439441075137543
team1,50,20,-1.3317694734199488,-0.9760691778293153
team1,50,21,-0.8362570428060198,-0.800435326246903
team1,50,22,-0.5222444999258076,-1.2646971273486696
team1,50,23,-0.5036986851080603,0.2087483560544991
team1,50,24,-2.846144316116098,-1.4419255389372787
team1,75,0,-0.5177132660129289,0.12951089373688654
team1,75,1,4.353984232824912,0.5439519473261949
team1,75,2,-0.26041205200967943,-0.5705740298382673
team1,75,3,-1.684337502887625,-0.5259361354547356
team1,75,4,-0.4464026157447147,-0.05315932391198684
team1,75,5,0.5596314877147719,0.4383308671378253
team1,75,6,6.241584745452769,1.5959628999773479
team1,75,7,0.7152234828653842,0.20244257512151714
team1,75,8,-3.5657735562991455,0.26468621515422347
team1,75,9,1.1723204845138209,-0.22951355999169498
team1,75,10,3.8182687539618136,1.0144153062836787
team1,75,11,0.06638622145958495,-0.10645662792283157
team1,75,12,2.1726244104700556,0.03394998877983231
team1,75,13,2.1115238271333707,0.833664906174379
team1,75,14,-1.9260759420223175,-0.7393173199801534
team1,75,15,0.10295703098552322,-0.5891498727092114
team1,75,16,3.4290832700019296,0.4091992455128083
team1,75,17,-0.32643945595579016,-1.0478027688414733
team1,75,18,1.875240595589501,0.46877288023132313
team1,75,19,-0.1775872100849183,-0.1660942761602042
team1,75,20,3.7912564825306876,0.027871287627773713
team1,75,21,0.4497807311516043,-0.09421865185662798
team1,75,22,-3.0601667195836373,-0.9409644987648547
team1,75,23,0.8789721598486815,-0.5808774854908446
team1,75,24,3.948534526649552,0.12729441257590676
team1,100,0,2.83575670553555,0.40239071104249663
team1,100,1,1.9115798491491358,0.534740549059283
team1,100,2,-3.9973796319351935,-1.0829946099202747
team1,100,3,5.491996293541597,0.2888436436278642
team1,100,4,5.0449693063182455,0.6386419322110418
team1,100,5,0.12905009311934434,-0.15912281343022242
team1,100,6,-1.077201438717109,-0.8530445426388216
team1,100,7,0.8590918678435258,-0.5555148859944505
team1,100,8,2.2798602370823966,0.8130094125684408
team1,100,9,5.370283614829269,1.696283557253758
team1,100,10,0.8596298448344594,-0.30234186245619593
team1,100,11,0.8209173754601651,0.34198698179439724
team1,100,12,6.85757278126461,0.5979254668247741
team1,100,13,1.8307692062810381,0.25589122081202753
team1,100,14,3.3464189966601237,0.9483803150057839
team1,100,15,0.07406708381389915,0.08102472324315535
team1,100,16,2.6244263519946096,0.21259283446080546
team1,100,17,3.027965096835858,0.3857468403458767
team1,100,18,0.9222632756639704,-0.31436409109019536
team1,100,19,0.4271368579940147,0.3620139615145536
team1,100,20,-0.24060603948470222,-0.3871595912771997
team1,100,21,-1.466914091622972,-0.19183329117024575
team1,100,22,2.937195496553508,0.5729958521906174
team1,100,23,2.2221094222995834,0.9331284307203035
team1,100,24,0.5780518820766105,-0.2537559353788389
team1,ALL,0,12.093668034331781,2.0608712050339246
team1,ALL,1,12.093668034331781,2.0608712050339246
team1,ALL,2,12.093668034331781,2.0608712050339246
team1,ALL,3,12.093668034331781,2.0608712050339246
team1,ALL,4,12.093668034331781,2.0608712050339246
team1,ALL,5,12.093668034331781,2.0608712050339246
team1,ALL,6,12.093668034331781,2.0608712050339246
team1,ALL,7,12.093668034331781,2.0608712050339246
team1,ALL,8,12.093668034331781,2.0608712050339246
team1,ALL,9,12.093668034331781,2.0608712050339246
team1,ALL,10,12.093668034331781,2.0608712050339246
team1,ALL,11,12.093668034331781,2.0608712050339246
team1,ALL,12,12.093668034331781,2.0608712050339246
team1,ALL,13,12.093668034331781,2.0608712050339246
team1,ALL,14,12.093668034331781,2.0608712050339246
team1,ALL,15,12.093668034331781,2.0608712050339246
team1,ALL,16,12.093668034331781,2.0608712050339246
team1,ALL,17,12.093668034331781,2.0608712050339246
team1,ALL,18,12.093668034331781,2.0608712050339246
team1,ALL,19,12.093668034331781,2.0608712050339246
team1,ALL,20,12.093668034331781,2.0608712050339246
team1,ALL,21,12.093668034331781,2.0608712050339246
team1,ALL,22,12.093668034331781,2.0608712050339246
team1,ALL,23,12.093668034331781,2.0608712050339246
team1,ALL,24,12.093668034331781,2.0608712050339246
team1,101,0,3.7527942250826882,0.9952666345805578
team1,101,1,0.23457993098695673,0.12162798662257521
team1,101,2,1.044157885087215,1.0294176854801438
team1,101,3,1.8433917216917162,0.2733836615882838
team1,101,4,3.8936282443131827,0.5185864908880357
team1,101,5,-0.42577092410173556,0.01356792560900651
team1,101,6,-0.9452761395692291,-0.7092722948174144
team1,101,7,0.6546647119589176,0.2599335498811415
team1,101,8,2.5328126860057587,1.4350557459670803
team1,101,9,-0.4370679895506624,-0.1250043458764203
team1,101,10,8.881932186428593,1.9248255304105628
team1,101,11,-1.5596557368543211,-0.544447730671101
team1,101,12,3.0309372524404488,0.11462000847537063
team1,101,13,1.090948508510495,0.2752532095794141
team1,101,14,2.206395613835282,0.4002448533535107
team1,101,15,0.26531981099830965,0.26470243914636116
team1,101,16,-0.2305268803768863,0.3309981427476898
team1,101,17,-3.637680252529849,-1.0845510556575437
team1,101,18,-1.9493290178212233,-0.2588152132690836
team1,101,19,0.27057258790154926,-0.31211705991187266
team1,101,20,0.3026104264466086,0.3266249339109748
team1,101,21,1.9174013473282099,0.09637511259688515
team1,101,22,3.589973948334378,0.5140855391182528
team1,101,23,-1.0478066951891722,-0.3079569723517282
team1,101,24,1.800275200463615,0.07621649188275868
team1,102,0,0.6994161032193023,0.20057205083932692
team1,102,1,5.54520345859882,0.9215835198186901
team1,102,2,2.6223794280018224,1.244983477337687
team1,102,3,-0.3121563489026893,-0.5510199767089123
team1,102,4,-0.4979017189582764,-0.38023864344799463
team1,102,5,2.9427742576085043,0.6727316440411993
team1,102,6,1.5093180030383584,0.21870561400756094
team1,102,7,3.051249193335762,0.28165110476311483
team1,102,8,1.32854352537201,-0.04867124018265494
team1,102,9,2.4563398493420783,0.2707133870448634
team1,102,10,-0.6775128989148911,0.2351240639855936
team1,102,11,1.8132554011285,0.27774860042021676
team1,102,12,1.5449963055908338,0.11666292377195563
team1,102,13,-3.7709074518901917,-1.4251461627117374
team1,102,14,-0.9228354446835443,0.14247609458129779
team1,102,15,-1.3540068660651479,-0.3490259735524265
team1,102,16,2.322111805032556,0.7768965308763706
team1,102,17,-0.42895353432394767,-0.09854110897375107
team1,102,18,1.5885917468779067,0.29373412943188004
team1,102,19,2.692121233251323,-0.6273813422583888
team1,102,20,1.5478559149275217,0.19453706369080243
team1,102,21,-2.797346850620672,-0.9467603328701408
