trades,hit_rate_pct,r_per_unit,worst_dip_R,dim,bucket,period
0,,,,entry_dow,Mon,IS
0,,,,exit_dow,Mon,IS
0,,,,entry_dow,Tue,IS
0,,,,exit_dow,Tue,IS
0,,,,entry_dow,Wed,IS
0,,,,exit_dow,Wed,IS
0,,,,entry_dow,Thu,IS
0,,,,exit_dow,Thu,IS
0,,,,entry_dow,Fri,IS
0,,,,exit_dow,Fri,IS
0,,,,weekend,held_weekend,IS
0,,,,weekend,no_weekend,IS
275,39.6,0.3293,8.974,entry_dow,Mon,OOS
262,38.5,0.3742,7.512,exit_dow,Mon,OOS
279,34.4,0.2773,21.197,entry_dow,Tue,OOS
288,39.9,0.3317,8.21,exit_dow,Tue,OOS
339,37.5,0.2579,18.142,entry_dow,Wed,OOS
299,36.5,0.2365,14.3,exit_dow,Wed,OOS
355,38.6,0.3265,10.237,entry_dow,Thu,OOS
358,34.9,0.2681,10.57,exit_dow,Thu,OOS
267,34.1,0.2093,15.586,entry_dow,Fri,OOS
308,35.7,0.2173,17.444,exit_dow,Fri,OOS
1123,47.6,0.5093,14.274,weekend,held_weekend,OOS
392,6.4,-0.3695,152.861,weekend,no_weekend,OOS
