structure,step,build,trade,cut_applied,passers,members,curve_bins,size_scale,scale_binds,cap_pct,cap_bound_days,net_min_votes,curve_mode,opposition,vote_on_entry_day,dip_budget,day_budget,build_median_year_pct
ALLPASS,1,2011-2015,2016-2016,False,250,250,6,1.477798594373237,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,8.830763590682057
SLICE_BALANCED,1,2011-2015,2016-2016,False,250,250,6,1.535682646727249,DIP95,2.0,5,0.5,fitted,net,False,5.4,3.6,18.18064560997383
ALLPASS,2,2012-2016,2017-2017,False,250,250,6,1.09019420724705,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.565732611427777
SLICE_BALANCED,2,2012-2016,2017-2017,False,250,250,6,1.1144320314550227,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,9.166495282672365
ALLPASS,3,2013-2017,2018-2018,False,250,250,6,1.1023812903842198,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,3.2882606985405287
SLICE_BALANCED,3,2013-2017,2018-2018,False,250,250,6,1.0749815121282902,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,9.670711875344384
ALLPASS,4,2014-2018,2019-2019,False,250,250,6,1.1571282887708894,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,4.171486346934958
SLICE_BALANCED,4,2014-2018,2019-2019,False,250,250,6,1.1746916355813377,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,10.291162354747826
ALLPASS,5,2015-2019,2020-2020,False,250,250,6,1.0782593192456298,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,4.608078750680104
SLICE_BALANCED,5,2015-2019,2020-2020,False,250,250,6,1.0661238702638929,actual maxDD,2.0,0,0.5,fitted,net,False,5.4,3.6,7.160221376470214
